word,count
di,121268
astéroid,116201
nu,88161
jeung,75348
nyaéta,73406
anu,70780
ieu,69498
dina,53000
the,51794
tina,43700
jadi,43143
kabupatén,37630
pikeun,35409
indonésia,35309
ka,32953
kacamatan,32406
ku,31888
ari,30914
salah,30367
marcapada,30035
propinsi,30025
nébula,29880
sahiji,29578
hiji,27107
mangrupa,25477
ti,25376
teu,24102
téh,23845
apollo,23442
of,23287
désa,22356
sarta,21645
aya,21552
rujukan,21482
taun,21321
minangka,20680
mah,20170
amor,19682
atawa,18255
kaluar,18129
ogé,17721
kawas,17259
sedengkeun,17079
daptar,16389
bagéan,16335
deukeut,15939
international,15827
robah,15791
badag,15787
ngora,15687
tutumbu,15550
cukup,15499
planet,15381
panonpoé,15361
sakumna,15331
har,15328
gedéna,15320
center,15302
union,15250
orbit,15244
planét,15204
kacatet,15185
objék,15154
kabentuk,15095
minor,15059
asteroid,15019
and,14981
nganjrek,14979
astronomical,14970
magnitudo,14956
jawa,14947
ékséntrisitas,14946
primordial,14931
référénsina,14929
bebentukan,14929
beubeulahan,14928
planétisimal,14928
mutlakna,14927
mpo,14671
bisa,13513
kalér,12909
kota,12576
in,12258
basa,11871
kana,10384
to,9834
jakarta,9758
sumatra,9688
barat,9657
éta,9556
geus,8726
sakola,8629
leuwih,7974
is,7769
kalawan,7575
kulon,7501
tumbu,7405
acéh,7306
luar,7238
nepi,6943
gampong,6621
swasta,6322
keur,6248
sunda,6236
an,6090
nagara,5986
kalurahan,5942
wewengkon,5816
poé,5806
tapi,5770
stasion,5751
dipaké,5680
bandung,5623
urang,5501
rupa,5366
tengah,5276
kidul,5237
dua,5236
kajadian,5222
as,5146
sababaraha,4999
ngaran,4969
aceh,4739
for,4671
manéhna,4595
loba,4533
disebut,4510
yén,4421
sareng,4284
amérika,4193
boga,4161
babar,4135
karéta,4105
pupus,4102
salaku,4101
deui,4088
sacara,4048
miboga,4012
henteu,3996
al,3943
kalénder,3936
jepang,3912
jalma,3870
inggris,3843
menengah,3824
bogor,3814
tempat,3809
maké,3803
alamat,3736
lengkepna,3733
mimiti,3731
mibanda,3728
cai,3682
npsn,3640
gunung,3637
nomor,3615
perang,3612
antara,3561
by,3559
kira,3539
nalika,3513
maséhi,3508
timur,3492
dan,3488
ngan,3476
on,3442
bakal,3382
sm,3379
lamun,3363
sabab,3347
anjeunna,3341
sanggeus,3341
api,3328
that,3313
tempo,3294
are,3239
tuluy,3224
dunya,3202
sajarah,3191
smk,3178
cara,3130
id,3110
jl,3097
daérah,3094
kecap,3087
waktu,3030
no,3011
saperti,3002
mangsa,3001
luhur,2993
kalayan,2992
kaasup,2974
garut,2932
ngeunaan,2905
bahan,2903
wétan,2901
biasana,2893
pulo,2866
with,2866
hirup,2820
bagian,2807
tur,2785
jalan,2763
utara,2749
jalur,2730
sok,2728
indonesia,2725
dunununu,2688
cirebon,2682
islam,2659
tutuwuhan,2656
nyieun,2654
be,2638
kiwari,2599
jurusan,2592
hal,2584
leutik,2579
lampung,2577
tanggal,2575
alatan,2573
laut,2568
raya,2553
tilu,2546
or,2534
bulan,2525
dijieun,2486
munggaran,2455
from,2430
séjén,2427
gedé,2423
asalna,2421
sarua,2417
peré,2414
karajaan,2399
negeri,2365
na,2364
kudu,2363
anggota,2358
raja,2344
selatan,2337
masarakat,2326
para,2323
dumasar,2321
utama,2310
abad,2282
kajuruan,2271
mana,2270
kitu,2251
saurang,2248
yang,2231
pisan,2211
saméméh,2210
umum,2207
sanajan,2200
at,2183
it,2168
hasil,2161
meunang,2154
manusa,2142
cianjur,2136
asia,2128
panjang,2128
ayeuna,2125
sma,2117
tangkal,2114
wangun,2110
buku,2107
jambi,2097
lantaran,2093
hartina,2077
karya,2073
daun,2071
béda,2070
ii,2069
ayana,2063
walanda,2049
batu,2040
sangkan,2034
this,2033
anyar,2024
grégorian,2001
ngagunakeun,2000
jero,1982
sukabumi,1971
nasional,1946
km,1942
tasikmalaya,1934
diwangun,1911
resmi,1911
masih,1884
kapanggih,1881
universitas,1879
jaya,1876
unggal,1855
antarana,1808
handap,1804
awak,1803
ngaliwatan,1797
can,1779
taneuh,1776
sastra,1768
new,1765
lain,1759
kurang,1759
kaayaan,1733
carita,1732
gregorian,1732
pamaréntah,1731
séjénna,1727
wilayah,1722
which,1716
has,1713
kadaharan,1712
india,1710
musik,1701
salila,1692
line,1687
tukang,1682
jaman,1680
data,1677
bangsa,1674
lauk,1654
ékonomi,1652
pamaréntahan,1636
utamana,1631
sumber,1628
kulawarga,1622
sistem,1620
sakabéh,1617
lianna,1615
cm,1615
jumlah,1610
kadua,1610
ubar,1592
sorangan,1583
pamaén,1576
ngandung,1573
anak,1568
pidie,1560
kahiji,1558
présidén,1557
padang,1550
was,1549
barang,1546
seni,1527
boh,1525
lagu,1525
warna,1525
kungsi,1519
suku,1519
méré,1500
dki,1500
widang,1492
de,1491
harita,1491
smks,1486
sél,1471
situs,1463
ngahasilkeun,1459
budaya,1456
radio,1455
alam,1454
istilah,1453
atas,1453
beureum,1452
prosés,1446
air,1443
bodas,1434
cina,1433
buah,1423
dipikawanoh,1422
ciamis,1421
asam,1411
asup,1410
kelas,1406
indramayu,1402
bumi,1400
surat,1398
opat,1396
kénéh,1390
walungan,1389
saterusna,1382
spésiés,1380
perancis,1378
arab,1364
internasional,1359
mun,1359
hukum,1355
kembang,1355
tanjung,1348
républik,1343
wangunan,1337
sato,1332
kulit,1332
langsung,1330
élmu,1329
imah,1327
sawatara,1323
wates,1319
one,1316
pasukan,1313
dimimitian,1308
beulah,1305
banten,1297
not,1292
lumangsung,1284
afrika,1283
lian,1282
besar,1281
jenis,1281
tenggara,1279
salasahiji,1275
dianggap,1273
contona,1272
asal,1272
pasar,1272
kituna,1271
kali,1258
ciri,1249
subang,1249
sumedang,1242
rata,1238
kasebut,1229
sora,1229
sisi,1228
agama,1227
puseur,1225
saprak,1224
awéwé,1218
have,1215
pusat,1214
program,1213
ditulis,1211
baru,1208
kuningan,1205
kimia,1204
also,1202
panyakit,1194
ngawengku,1193
april,1192
dasar,1191
fungsi,1181
tv,1180
ngaranna,1175
basisir,1173
penting,1167
éropa,1163
world,1159
dunia,1156
university,1152
waé,1149
used,1147
ngawangun,1146
koréa,1145
baris,1138
grup,1128
biasa,1124
tingkat,1120
aktor,1120
taman,1119
manuk,1110
budak,1109
sarikat,1107
kabupaten,1107
ukuran,1101
husus,1095
salian,1094
muhammad,1093
maranéhna,1092
isbn,1092
unsur,1089
kahirupan,1082
kapuloan,1079
kayaning,1078
alat,1077
kampung,1076
ahli,1073
usum,1072
time,1070
ngabalukarkeun,1068
ukur,1066
atikan,1063
si,1059
tim,1059
kai,1055
lima,1050
awal,1044
bentuk,1044
mindeng,1043
inohong,1042
other,1040
terus,1039
