word,count
och,1044600
av,610650
en,549175
som,533543
att,402936
på,382120
med,371072
till,370531
den,369225
är,360802
för,322626
det,236791
de,220541
ett,212151
var,206076
från,200598
han,186527
har,168840
under,148798
om,125150
vid,120407
även,109373
år,99133
sig,91797
men,89071
efter,88211
eller,87727
inte,85113
talet,78281
svenska,73549
kan,73176
sin,72040
man,71499
the,69578
andra,67212
hade,67097
där,67049
blev,65646
då,61356
första,61293
finns,53063
hon,52832
mot,52091
sedan,50410
sverige,49891
bland,49385
hans,49072
genom,49057
över,48719
externa,48449
länkar,48417
så,48346
detta,48284
också,47752
två,47654
mellan,46340
in,43266
när,42754
svensk,42671
personer,42631
se,41343
of,40378
fick,40252
samt,38929
annat,37998
källor,37968
född,36709
inom,36460
ut,35520
skulle,35327
referenser,35254
flera,33731
vilket,33566
olika,33539
upp,33210
dock,33135
senare,32826
stockholm,32652
kommun,32206
denna,32173
ha,31612
kom,30749
vara,30712
tidigare,29657
många,29589
samma,28927
död,28824
än,28443
sitt,28394
stora,28251
sina,28251
födda,28162
dessa,28010
del,28003
alla,27927
usa,26896
tre,26877
tv,26564
mycket,26054
skådespelare,25930
män,24733
nya,24346
mer,23842
fram,23379
exempel,23236
tillsammans,22908
ofta,22431
namnet,22366
amerikansk,22277
ligger,22165
utan,22071
amerikanska,21379
enligt,21057
dess,20463
namn,20433
januari,20289
tid,19987
staden,19704
maj,19615
började,19094
gjorde,18862
mars,18808
några,18604
stor,18591
noter,18498
december,18291
kunde,17861
hos,17837
sveriges,17804
juni,17804
oktober,17730
hela,17684
mest,17622
september,17553
används,17245
författare,17208
början,17196
varit,17090
honom,16999
blir,16989
april,16942
juli,16902
avlidna,16885
största,16728
större,16651
spelare,16412
november,16400
historia,16313
få,16169
augusti,16157
både,16056
and,15782
kommer,15722
tog,15633
bara,15568
fanns,15536
februari,15510
eftersom,15504
fyra,15428
mindre,15358
cirka,15171
gick,15068
ska,14947
får,14838
något,14809
grund,14484
ur,14416
km,14410
här,14404
vissa,14237
endast,14223
deras,14223
tyska,14125
innan,14106
medan,14040
dem,13968
new,13923
kallas,13882
filmen,13689
hennes,13604
spelade,13553
går,13531
vann,13475
norra,13446
före,13427
församling,13355
filmer,13338
ny,13305
politiker,13290
plats,13241
nu,13202
redan,13177
idag,13114
därefter,13097
gamla,13045
bli,12892
socken,12891
delar,12666
levande,12628
son,12558
åren,12492
film,12485
allt,12481
vidare,12402
john,12334
län,12283
först,12223
sista,12136
barn,12126
någon,12013
von,12002
meter,11999
delen,11874
södra,11870
carl,11845
års,11824
nr,11672
hur,11645
varje,11598
invånare,11591
åt,11554
kyrkan,11546
antal,11498
per,11472
slutet,11467
området,11432
därför,11355
tiden,11306
omkring,11273
karl,11103
tyskland,11071
vilken,11002
kung,10854
helt,10797
känd,10796
brittiska,10788
ii,10657
sätt,10632
kvinnor,10602
album,10539
franska,10526
båda,10451
göteborg,10445
ta,10437
engelska,10429
runt,10414
främst,10384
johan,10319
frankrike,10302
finland,10289
vad,10280
vill,10245
uppsala,10240
själv,10191
kyrka,10087
består,10071
blivit,9903
webbplats,9894
gör,9891
serien,9869
vm,9831
stockholms,9827
istället,9772
fem,9753
gången,9750
bästa,9683
säsongen,9626
jag,9556
gav,9540
ibland,9502
erik,9499
samtidigt,9473
universitet,9471
kända,9468
stort,9460
musik,9423
form,9343
kallade,9334
stad,9301
annan,9270
europa,9266
kr,9260
landet,9245
äldre,9219
county,9139
vilka,9110
trots,9006
förekommer,8989
därmed,8982
översättning,8936
nära,8928
vi,8861
nuvarande,8832
tillbaka,8734
utanför,8732
skrev,8661
malmö,8659
längre,8634
biografi,8616
ger,8605
bildade,8582
to,8576
göra,8572
exempelvis,8571
året,8570
egen,8482
samband,8479
kunna,8467
orter,8453
la,8449
flesta,8448
låg,8448
sång,8431
tredje,8428
språk,8419
york,8407
olympiska,8403
byggdes,8389
urval,8374
bandet,8349
gruppen,8337
ner,8279
västra,8276
ab,8257
miljoner,8249
dag,8208
världen,8192
enda,8191
måste,8190
albumet,8163
norge,8137
övriga,8022
