word,count
ya,661246
wa,408164
na,375011
katika,161236
kwa,151971
ni,127191
la,102786
za,101912
mwaka,64743
vya,58869
kama,53293
cha,52395
pia,51941
yake,44199
lugha,43904
mto,41714
orodha,40712
mito,37568
nje,36848
kuwa,35926
the,35818
mkoa,34149
kwenye,34089
nchini,33676
viungo,33204
watu,31430
of,30421
kutoka,30050
wilaya,29296
kati,28500
tanzania,28073
afrika,27642
au,27028
marejeo,25993
tazama,25643
kenya,25537
tanbihi,24182
mji,22998
watakatifu,22808
zaidi,22756
alikuwa,21329
wakati,20780
mnamo,20158
bahari,20044
wake,19255
nchi,18977
kusini,18725
kwanza,18244
baada,17690
pamoja,17377
hii,17330
miaka,17209
kaunti,16952
hadi,16657
marekani,16557
maji,16303
jina,16265
mwa,15973
kazi,15897
waliozaliwa,15854
lakini,15754
and,15619
uganda,15367
wakazi,15361
mara,15266
juu,15050
huko,14932
kata,14897
tarehe,14705
eneo,14459
idadi,13433
miji,13393
kaskazini,13196
hiyo,13093
org,13039
ilikuwa,12947
moja,12875
mashariki,12856
ndani,12494
ambayo,12352
sehemu,12209
karne,12095
mkuu,11962
geonames,11752
makala,11633
kuhusu,11629
in,11164
waliofariki,10872
magharibi,10664
hivyo,10625
nyingi,10528
sana,10510
chini,10363
tuzo,10180
kale,10108
hatimaye,10071
kwamba,10059
tangu,10017
hasa,9783
filamu,9782
kubwa,9617
yao,9551
wakristo,9482
chuo,9446
muziki,9313
kundi,9252
ziwa,9194
huo,9111
ambao,9104
maisha,8860
namba,8831
kuna,8803
alizaliwa,8640
ili,8477
sababu,8466
tu,8363
kawaida,8284
mpira,8253
hata,8248
timu,8207
kila,8144
de,8139
historia,8039
mbalimbali,7914
unapatikana,7883
kikuu,7822
milima,7637
taifa,7627
kanisa,7617
mungu,7613
iko,7591
wanawake,7433
kk,7428
sensa,7397
uingereza,7375
kabla,7366
jimbo,7347
ambaye,7307
hali,7294
wengi,7288
siku,7287
vile,7280
new,7176
ufaransa,7175
huu,7115
yenye,7063
yanaishia,7054
hindi,7020
walio,6991
baadaye,6747
dunia,6733
njia,6698
kongo,6682
serikali,6664
upande,6657
aina,6655
wasemaji,6550
papa,6439
kufuatana,6432
hai,6415
sasa,6411
mpya,6403
karibu,6342
shule,6337
mtu,6325
ambapo,6314
lake,6310
matukio,6286
kuu,6279
italia,6267
vita,6177
albamu,6158
muda,6102
kutokana,6096
dhidi,6087
tofauti,6082
yote,6053
akiwa,6035
tena,6004
mchezaji,5986
nile,5957
mbili,5842
wapatao,5755
wenye,5731
mmoja,5731
zake,5718
leo,5705
ethnologue,5704
ujerumani,5698
burundi,5688
uainishaji,5688
pili,5649
iliyofanyika,5639
kristo,5629
elimu,5611
olac,5579
wengine,5568
mtakatifu,5561
glottolog,5560
multitree,5540
mjini,5539
hivi,5530
kimataifa,5530
nyingine,5525
wote,5521
maeneo,5508
nafasi,5466
mediteranea,5403
ulaya,5362
kadhaa,5324
klabu,5321
visiwa,5320
hilo,5294
asili,5291
inayozungumzwa,5288
ajili,5271
habari,5229
wao,5205
ina,5201
nigeria,5196
duniani,5154
nyimbo,5123
wimbo,5091
bora,5051
imehesabiwa,5040
botswana,5038
naili,5014
agano,5007
watoto,4986
tatu,4972
bunge,4958
familia,4922
inahusu,4910
sikukuu,4900
wachezaji,4882
kuliko,4877
matumizi,4856
rais,4851
humo,4840
japani,4797
mkubwa,4782
chake,4709
kiingereza,4707
zamani,4703
kuanzia,4693
januari,4671
yeye,4670
awali,4660
hili,4627
bila,4599
on,4562
michezo,4536
muhimu,4535
sheria,4490
misri,4486
wafransisko,4455
rasmi,4453
kufanya,4431
jamii,4428
oktoba,4424
jamhuri,4412
mei,4412
mwisho,4390
hapo,4374
kupitia,4353
arusha,4336
shirika,4295
maarufu,4285
zote,4275
isbn,4255
julai,4246
juni,4236
walikuwa,4218
biashara,4217
chama,4177
to,4172
kampuni,4171
pekee,4135
roma,4127
com,4122
nobel,4118
machi,4111
mfano,4108
imani,4107
haki,4105
baadhi,4089
yaani,4088
picha,4013
kipindi,4005
mujibu,3994
mwandishi,3990
mengine,3985
agosti,3979
aprili,3978
mshindi,3973
novemba,3968
kutumia,3959
maana,3945
septemba,3931
wiki,3926
desemba,3911
spishi,3907
for,3906
si,3880
kisiwa,3875
kabisa,3868
mazingira,3866
by,3857
uwanja,3838
umoja,3828
york,3817
al,3809
www,3774
februari,3768
huwa,3737
umri,3736
ikiwa,3730
korongo,3728
binadamu,3706
hayo,3702
tovuti,3698
mlima,3673
msingi,3664
ambazo,3661
kupata,3646
hizi,3599
mfalme,3584
ingawa,3575
tanganyika,3570
http,3549
nguvu,3545
wafiadini,3535
kifo,3519
john,3518
mita,3500
dini,3499
takriban,3495
