word,count
we,86404
je,49987
do,48275
co,44899
nŏleży,43585
zorty,42908
go,42528
ôpisoł,42288
of,39141
sōm,38711
niy,38572
life,38546
catalogue,38505
podgatōnki,38351
żŏdne,37925
wymianowane,37924
familije,36139
grzib,36061
ascomycota,29920
nojprzōd,15748
mu,15705
doł,15651
terŏźnõ,15609
nazwã,15607
basidiomycota,10383
na,9487
grōmady,7616
krōlestwa,6643
grzibōw,6625
porost,6482
ze,6003
mjasto,5431
mjasta,5431
gmin,5145
roku,4502
polsce,3713
klasy,3684
kryśe,3488
wojewůdztwje,3362
wjeś,3336
to,3267
sam,3127
rzyndu,2873
śe,2789
mo,2757
ludźi,2736
phyllachora,2692
helotiales,2675
tyż,2448
km,2425
uod,2369
sztaće,2276
xanthoparmelia,2247
gmińe,2232
podug,2180
regijůńe,2166
sie,2104
xylariales,2077
gminy,1990
bez,1939
danych,1882
parmeliaceae,1829
půmjyszkiwało,1821
wjyrchu,1787
śedźiba,1764
ôd,1722
departamyńće,1651
de,1576
wojewůdztwa,1566
mycosphaerellaceae,1409
usa,1403
po,1392
the,1371
abo,1335
za,1329
syd,1308
hrabstwje,1306
gminu,1239
cortinarius,1230
phyllachoraceae,1217
dothideomycetes,1178
stolica,1167
necowe,1155
prowincyji,1152
puccinia,1119
kej,1115
elix,1111
hypocreales,1067
jako,1066
andrea,1066
mycosphaerella,1065
saccardo,1056
pier,1052
zygomycota,1046
francyji,1021
uostrzodek,1021
pol,958
hale,956
uodwołańa,939
berk,922
kery,898
godki,866
mjym,857
neczajta,844
rok,842
wśe,821
entoloma,817
podle,806
sordariomycetes,806
lotach,804
parmotrema,774
jak,773
pezizales,768
ex,762
cooke,754
wieś,749
mazowjeckim,741
rodzyńi,727
ar,726
penicillium,726
candida,723
en,717
kere,716
lecanora,715
uobwodźe,707
von,700
septoria,700
ńy,696
sům,694
joseph,692
wjejskigo,690
in,684
sacc,678
bůł,671
ellis,669
fries,665
caloplaca,664
ramaria,664
pucciniaceae,655
russula,648
franz,646
porostyt,646
uo,641
pleosporales,638
köttkjen,635
trichocomaceae,635
leotiomycetes,634
mjejsko,632
ryvarden,631
krysu,630
rodz,625
admińistracyjńy,620
polyporaceae,617
ślōnsku,608
ślůnska,603
aspergillus,603
phoma,602
pertusaria,594
speg,593
polski,588
thelotrema,585
hypotrachyna,579
cladonia,576
elias,574
pod,573
pleosporaceae,563
singer,541
wilhelm,535
vánky,534
godka,523
kero,515
kwjetńa,515
tego,508
tyn,507
karl,503
helotiaceae,499
nad,497
bōł,495
jean,492
lo,487
uromyces,485
gŏdka,484
nale,481
tym,481
um,478
ramularia,476
italiji,474
industryje,473
william,473
corner,470
pseudocercospora,468
cladosporium,467
phomopsis,459
david,457
nectriaceae,454
rhytismataceae,453
tajli,451
czyrwca,451
mjymcach,450
gōrnym,446
lavart,445
boże,440
śwjynta,440
verrucaria,439
iże,438
landźe,438
hyaloscyphaceae,438
hyde,437
crous,435
tajla,428
leptosphaeria,425
horak,418
ruchůme,417
broome,417
buellia,417
mjano,415
laboulbeniaceae,415
rozlygowane,413
müll,412
wjelgij,411
przi,411
petr,410
stoleće,408
cercospora,408
kole,406
nauki,405
agaricaceae,404
rehm,403
czeskij,401
miyszkańcōw,398
ii,398
braun,397
chytridiomycota,397
alternaria,396
lophodermium,396
ino,395
zachodnij,393
marca,390
śedleckigo,386
san,385
umarći,385
chaetomium,384
henn,382
fuckel,381
połedniowo,375
kreju,375
hrabstwa,373
ôpolskim,370
miała,370
skupiny,369
inocybe,369
kaj,368
jeji,367
physciaceae,367
nade,365
krysie,363
grziby,363
diaporthe,362
brytańiji,360
hymenochaetaceae,359
verrucariaceae,358
tricholomataceae,357
noleżoła,355
meruliaceae,355
saccharomycetes,354
wojewōdztwie,352
szpańiji,352
rolf,352
ślōnska,351
jego,350
botryosphaeriaceae,348
saccharomycetales,348
ćało,347
wjelkanoc,345
ganoderma,341
miles,339
půmorskim,339
umarli,339
take,338
wjelgopolskim,337
berkeley,337
narodźyli,337
thelotremataceae,337
la,336
hypoxylon,336
industryji,334
gams,334
gminie,333
hymenochaete,333
dlŏ,332
sm,332
nectria,331
miym,330
curtis,327
arx,327
lecanoraceae,326
ascochyta,325
graphidaceae,322
acremonium,321
phellinus,321
peck,320
wele,319
reż,319
latach,318
galeryjŏ,318
edward,317
godce,316
tygo,315
rus,315
sutton,315
państwo,314
republiki,314
dermateaceae,312
inkszych,311
fotografiji,309
johnst,306
fusarium,306
entolomataceae,306
russulaceae,305
xaver,304
anthostomella,303
leptogium,303
terozki,302
adolf,302
fest,300
asterina,297
agaricales,297
jejich,296
fr,296
wyspje,296
śedleckim,295
agaricomycetes,295
ukrajińe,294
pyronemataceae,293
phyllosticta,292
petter,291
hughes,291
hawksw,291
inksze,290
mŏ,290
karsten,289
mycena,288
ludwig,287
and,286
johannes,286
diaporthaceae,285
ńyskorzi,282
orbiliaceae,282
sporisorium,282
marasmiaceae,280
moja,279
mjejske,278
kerych,278
republika,278
hawyna,278
samuels,278
pleospora,276
prawa,275
leopold,275
lubelskim,273
coccomyces,273
indica,272
republice,271
coby,271
nowy,270
polskij,269
saint,269
ynglandźe,268
bůła,267
van,267
microbotryum,267
kerym,266
porina,266
jygo,265
kujawsko,264
rusyji,263
gottlieb,262
novae,262
czasie,261
strophariaceae,261
müller,260
macrospora,260
kohlm,260
gomphaceae,260
być,258
elegans,258
půłnocnyj,257
alexander,257
petrak,257
mortierella,256
mordecai,255
cubitt,255
hendrik,255
bat,255
conocybe,255
plac,254
status,254
christiaan,254
persoon,254
kultury,253
rejůńe,251
rogers,251
bůło,250
půłnocno,250
vain,249
polsko,248
skiż,248
ukr,248
tak,246
hypocreaceae,245
boidin,245
der,244
glomus,243
ôn,242
thaxt,242
argoviensis,242
passalora,241
lasiosphaeriaceae,240
lachnum,240
john,239
höhnel,239
polske,238
gitara,238
massee,238
erysiphe,238
listopada,237
iii,236
sverige,236
clavariaceae,236
ślůnskim,235
ôstoł,235
jones,235
everh,235
matsush,235
ang,234
smittium,234
rinodina,234
jedyn,233
den,231
phaeosphaeria,231
myriotrema,231
hjortstam,231
urocystis,231
louis,230
dennis,230
lecidea,230
xx,229
xix,229
aże,228
new,228
aptroot,228
pleurotaceae,228
petersen,226
didymella,226
skuli,225
wyspy,225
tyž,225
gatōnek,225
dzieli,223
zelandiae,223
leptosphaeriaceae,223
george,222
ramalinaceae,222
ustilaginaceae,222
dwa,221
przed,220
placu,220
mollisia,220
zahlbruckner,219
leif,219
tomentella,219
ślōnskij,218
było,218
państwa,218
noleżoło,218
mycenaceae,218
miasta,217
nyl,217
amphisphaeriaceae,216
hymenoscyphus,216
et,214
artens,214
lumbsch,214
peziza,213
ślůnsku,212
reid,212
małopolskim,211
gŏdki,210
lutygo,210
phaeosphaeriaceae,210
podospora,210
chaetomiaceae,210
keryj,209
wojewůdztwo,209
schweinitz,209
agaricus,209
brazyliji,208
cladoniaceae,208
tyj,207
arthonia,207
ślōnsk,206
połedńowo,206
podkarpackim,206
uůn,205
pyrenopeziza,205
trzi,204
usnea,204
inonotus,204
morsko,201
graphis,201
pertusariaceae,201
ślůnsko,200
narcisse,200
patouillard,200
uokryngu,199
amerikańske,199
dolnoślůnskim,199
theophile,199
friedrich,198
śwjata,198
tilletia,198
miasto,197
ej,197
asterinaceae,197
kurtzman,197
mjoł,196
rzykům,196
ślůnske,195
łůdzkim,195
diplodia,195
davidiellaceae,195
chalara,195
mjyndzy,193
boletaceae,193
påträffad,193
gro,192
meksyku,192
cain,192
teloschistaceae,192
entyloma,192
jan,191
ku,191
bůły,191
isbn,191
barr,191
aspicilia,191
linki,190
françois,190
alpes,190
georg,190
xylaria,190
połedńowyj,189
te,189
lot,189
hyphoderma,189
ale,188
nylander,188
idźe,187
ju,187
hoog,187
grudńa,186
erysiphaceae,186
erysiphales,186
nar,185
james,185
underarter,185
trappe,184
sclerotiniaceae,184
colletotrichum,183
ocellularia,183
bōła,182
rusyje,182
gŏdek,182
castañeda,182
ůng,181
erik,181
majům,180
redhead,180
roz,179
nojsrogsze,179
miyndzy,179
skirz,178
johann,178
galerina,178
zamiast,177
peniophora,177
dostoł,176
pterula,176
pterulaceae,176
acarospora,176
hebeloma,176
robert,175
lignicola,175
bionectriaceae,175
clitocybe,175
pjyrszy,174
śyrpńa,174
august,174
africana,174
drechsler,174
pyrenula,174
lactarius,174
kerŏ,173
lŏt,173
ślůnski,173
al,173
phillips,173
crespo,173
psathyrellaceae,173
ślůnskij,172
mln,172
australis,172
nazywany,172
blanco,172
entomophthoraceae,172
kaliforńijo,171
legeriomycetaceae,171
wingf,171
muzyka,170
ophiostoma,170
polyporus,170
chaetosphaeriaceae,170
půmjyszkowoło,170
warmińsko,169
zaś,168
zorta,168
autůnůmicznyj,168
finns,168
collema,168
coprinopsis,168
phanerochaetaceae,168
ganodermataceae,168
wojny,167
atoli,167
lipca,167
skupina,167
paul,167
taksōn,167
henri,167
magnus,167
arg,167
inocybaceae,167
thelephora,167
hans,166
uůnygo,166
lloyd,166
udagawa,166
czas,165
państwůw,165
teratosphaeria,165
hypocrea,165
tremellales,165
psathyrella,165
favolaschia,165
psilocybe,165
gymnosporangium,165
ojropy,164
styczńa,164
venturiaceae,164
już,162
tam,162
svenska,162
murrill,162
curvularia,162
hyphodontia,162
marasmius,162
anthracoideaceae,162
rzyki,161
dystrykće,161
kendr,161
collemataceae,161
kraju,160
paźdźerńika,160
microspora,160
databasen,160
dyntaxa,160
montagne,160
trichoderma,160
halosphaeriaceae,160
miano,159
nowo,159
los,159
av,159
japonica,159
acharius,159
rosellinia,159
pestalotiopsis,159
rhizocarpon,159
typhula,159
stolice,158
nash,158
potym,157
skłod,157
cantharellus,157
fomitopsidaceae,157
może,156
zajta,156
tul,156
coniothyrium,156
chaetosphaeria,156
vararia,156
thelephoraceae,156
xviii,155
szwajcaryji,155
arnold,155
ta,153
lůmbardyjo,153
scleroderma,153
mont,152
le,152
pat,152
kurok,152
była,151
mocka,151
japůńiji,151
szwecyji,151
simmons,151
mucor,151
guignardia,151
australiensis,151
josef,150
stagonospora,150
gnomoniaceae,150
aleurodiscus,150
carl,149
spůlnoće,149
cucurbitaria,149
grańica,148
znůmy,148
austriji,148
kirk,148
słowacyji,148
döbbeler,148
tych,147
stoleciŏ,147
ja,147
zachodńopůmorskim,147
not,147
minuta,147
theiss,147
bulbothrix,147
cif,146
stigmidium,146
phanerochaete,146
uůna,144
marino,144
santa,144
turystyki,144
giacopo,144
bresàdola,144
cytospora,144
paecilomyces,143
życiŏ,142
france,142
massal,142
venturia,142
tubeufiaceae,142
emile,142
boudier,142
pleurotus,142
arab,141
haute,141
spooner,141
stev,141
lichtw,141
meliola,141
lophiostoma,141
relicina,141
elsinoë,141
stolećo,140
mjyszkańcůw,140
rozlygowano,140
teksas,140
wszyjske,139
gōrnego,139
nowe,139
stolicům,139
dyskografijo,139
mirabilis,139
ôstała,138
czynsto,138
on,138
zajmuje,138
belgiji,138
uostoł,138
stolecie,138
sydow,138
guarro,138
corda,138
pyxine,138
pseudocyphellaria,138
tyromyces,138
amauroderma,138
cantharellaceae,138
ônego,137
höhn,137
stereaceae,137
winter,136
ophiostomatales,136
ojropje,135
jork,135
syncephalis,135
fotkaraktär,135
sporavtrycksfärg,135
parmelia,135
krům,134
morzym,134
xvii,134
harris,134
americana,134
petch,134
raj,134
hafellner,134
archer,134
ophiostomataceae,134
tricholoma,134
typhulaceae,134
kedy,133
zaôbycz,133
przez,133
alphonso,133
eucalypti,133
coppins,133
corticiaceae,133
zewnyntrzne,132
nu,132
samson,132
nag,132
bolbitiaceae,132
trametes,132
clavulina,132
cunn,131
baptiste,131
gnomonia,131
lanq,131
uůne,130
charles,130
parmulariaceae,130
tulasnella,130
szlagcojg,129
śwjyntokrziskim,129
wynecyjo,129
nyskim,129
taylor,129
stevens,129
kalb,129
ramalina,129
clavaria,129
riskor,129
pucciniomycetes,129
macalpinomyces,129
grupy,128
rhône,128
castellano,128
epibryon,128
cordycipitaceae,128
vilgalys,128
pucciniales,128
kamracke,127
sztatu,127
seine,127
pezizaceae,127
pl,126
heinrich,126
deighton,126
podlaskim,126
mucoraceae,126
jørg,126
ascobolus,126
umbilicaria,126
trichophyton,126
laboulbenia,126
hohenbuehelia,126
perenniporia,126
raveneliaceae,126
ustilago,126
nowyj,125
bezma,125
gordon,125
designated,125
roland,125
camarosporium,125
namn,125
orton,125
jersey,124
grove,124
użiwanŏ,124
rhizophydium,124
chytridiaceae,124
ruchu,123
ur,123
align,123
hypoderma,123
metschnikowia,123
gymnomyces,123
australiji,122
leży,122
wyspa,122
ślůnsk,122
afriki,122
szpile,122
fusbalu,122
sv,122
mill,122
census,122
sitt,122
gällande,122
irlandyji,121
angelskij,121
moc,121
krys,121
angeles,121
theodor,121
fick,121
caliciaceae,121
społym,120
historyjo,120
zachodńij,120
siy,120
wydarzyńo,120
desmazières,120
microthyriaceae,120
clavicipitaceae,120
uredo,120
razy,119
wjelgopolskigo,119
gilles,119
holm,119
lecideaceae,119
niyskorzij,118
uoficjalno,118
wśi,118
arthur,118
szpil,118
walt,118
desm,118
microascaceae,118
bjołoruśi,117
vi,117
christian,117
conidiobolus,117
cochliobolus,117
sporidesmium,117
canoparmelia,117
phlebia,117
rigidoporus,117
rokach,116
regijůnu,116
swoje,116
dowńij,116
śwjeće,116
city,116
alba,116
půmjyszkowało,116
intermedia,116
massarina,116
tuckerman,116
herriot,116
cunningham,116
hygrophoraceae,116
wszyjskich,115
klub,115
rhododendri,115
kühner,115
jednym,114
srogi,114
słowa,114
ślůnskigo,114
jednak,114
width,114
roberts,114
variabilis,114
thirum,114
insignis,114
sporormiella,114
biscogniauxia,114
coniochaeta,114
pluteus,114
phragmidium,114
mazurskim,113
axel,113
diederich,113
preussia,113
essl,113
nemania,113
polskigo,112
polityker,112
ludźe,112
růmůńiji,112
microsporum,112
utöver,112
nominatformen,112
också,112
underarten,112
moser,112
machiel,112
evert,112
chiel,112
noordeloos,112
wrześńa,111
grupa,111
aquatica,111
brasiliensis,111
niessl,111
bipolaris,111
lepraria,111
gilb,111
gelasinospora,111
vezda,111
microbotryaceae,111
wystympuje,110
śl,110
hugo,110
sivan,110
lachnocladiaceae,110
exobasidium,110
rzyka,109
jigo,109
uopolskim,109
lücking,109
botryobasidium,109
katowicach,108
inkszymi,108
white,108
pulchella,108
diaporthales,108
daldinia,108
lecania,108
lentinus,108
eli,107
drugij,107
nojbarzi,107
gŏdce,107
du,107
