word,count
nu,63658
tu,49113
ku,46974
sa,31466
tademaw,16838
atu,16748
niyazu,9742
ci,8695
kamu,8587
ngangan,5978
izaw,5687
cidekay,5479
caay,5319
han,5301
mihcaan,5161
kanatal,5121
hulam,4756
demiad,4585
ya,4514
ay,4243
idaw,4226
bulad,4190
cacay,4188
pangcah,3957
sakizaya,3771
yincumin,3726
itini,3540
natinengan,3385
ni,3144
taywan,3037
satu,2994
sulit,2934
katukuh,2879
zuma,2748
nida,2723
amis,2628
nika,2626
kawaw,2575
anu,2545
pulung,2481
namakay,2466
luma,2338
nasulitan,2300
amilika,2300
tatama,2289
cay,2268
an,2247
bataan,2244
ihekalay,2194
li,2177
of,2141
henay,2115
subal,2041
tatayna,2038
tusa,2038
tabakiay,2037
siwkay,2032
si,2024
zumaay,2004
mihca,1986
se,1947
binacadan,1925
niza,1891
namakayniay,1794
nasakamuan,1770
lala,1751
kya,1730
tayan,1687
ka,1663
hananay,1647
kasabinawlan,1638
amin,1632
sisa,1572
malalitin,1569
mueneng,1548
pakalatu,1533
aca,1515
ke,1497
yadah,1493
ayza,1482
mala,1478
sausi,1468
lalangawan,1464
babalaki,1423
ingcumin,1406
lima,1405
cacudadan,1400
tapang,1395
puyuma,1343
paywan,1330
laaluwa,1326
kaku,1312
nuheni,1280
buyu,1254
tina,1240
sakay,1232
wawa,1216
yuwatan,1202
na,1188
ta,1172
tulu,1162
lisin,1156
taluku,1147
la,1142
lasubu,1141
mahida,1139
kami,1122
sananay,1110
tademawan,1102
kakuniza,1098
kapah,1094
mang,1087
mihcan,1063
kenis,1058
nipaluma,1057
balucu,1049
saan,1043
cu,1034
nba,1029
hina,1029
kumud,1028
rukay,1018
kabana,1012
udip,1011
niyadu,1009
mali,1005
bayu,999
malebut,998
yu,980
tumuk,967
katuud,967
ina,967
hitay,962
kuni,961
and,951
kayadah,950
ma,940
ciniza,937
ti,937
taneng,931
kanas,918
the,914
papah,913
heni,905
kitakit,901
pu,899
kuwan,892
sabaw,891
maka,890
kina,886
cou,883
km,874
saka,868
ahebal,857
saca,855
saw,851
angangan,842
https,842
kitidaan,838
cudad,837
makaala,835
sejek,823
miunduay,815
ce,803
cung,801
san,799
bunun,797
cinida,793
kuyni,792
kasalumaluma,791
kulit,782
nalecuhan,781
sakatusa,781
adidi,777
balu,776
kakitidaan,768
siwa,764
pa,763
saayaway,761
uzip,755
inayi,746
nanum,743
mililid,738
umah,733
su,732
lu,730
te,724
luyaluy,721
mi,720
mahiniay,716
kakitizaan,715
org,713
lalumaay,706
kasabinacadan,702
binawlan,701
kilang,701
ayda,701
kalilidan,700
kabanaan,699
muengeneng,698
silecaday,698
saadidi,697
katuuday,696
sepat,693
kabalan,688
kalinku,686
mu,683
itiza,672
satabakiaya,669
micakat,667
puluung,667
tapalong,667
tayal,665
labu,660
kyu,657
kung,655
aku,654
maydih,651
kanakanabu,648
kiya,647
syubay,646
walu,644
haw,642
matineng,641
basketball,641
pitu,640
national,636
yami,636
kaw,635
lan,634
tabakiaya,633
kita,628
wayway,628
enem,628
hekal,622
in,622
association,617
ba,615
kuo,614
tuud,612
zh,609
canan,608
zazan,604
misumad,596
pasubana,595
lacul,593
hu,592
timul,590
kungku,590
tayni,589
kalisiw,589
tusaay,589
wiki,586
hakay,582
pi,576
wikipedia,574
paiwan,569
itida,569
mikitinay,566
tay,566
putiput,564
malingatu,562
di,561
mapalaway,557
pangangan,556
langaw,552
heci,547
petun,546
sakacacay,545
hantu,544
hamin,543
tung,541
cen,541
sauwac,538
mita,535
nisakaput,534
hawsa,532
state,531
imelang,530
sakamu,524
tayda,519
musakamu,517
list,516
yi,515
sayaway,512
tau,512
mangasiw,511
current,510
heads,510
government,509
dadiw,506
zumazuma,506
mapulung,501
congtung,499
muenengay,498
nina,498
en,497
nikayadah,496
min,495
sakatulu,495
tayza,493
mamin,491
tini,491
masa,491
mapatay,485
nayay,483
kalecad,482
tada,482
lists,482
players,481
katineng,480
ayaw,480
patideng,479
aydaay,477
cin,475
chengzhi,470
kapahay,467
nisulitan,467
kuheni,464
he,463
kasumamadan,460
yincumincu,459
malecad,453
cayay,453
mahiza,452
nan,446
mukan,445
kilakilangan,445
laylay,444
amana,443
nay,439
cuo,437
maku,437
lin,437
buting,437
kisu,418
tatenga,417
tusu,417
sin,411
nalimaan,404
mihecaan,404
uyni,403
duma,402
uyiniyan,401
sakaudip,401
masakaputay,400
cebang,400
misanga,395
al,395
ing,395
ngatu,394
micumud,394
nikaudip,393
nyadu,393
lipun,392
ayam,392
tanayu,390
wan,388
aadupan,386
de,382
namaka,381
mata,379
malaheci,378
teban,377
sen,377
sasubana,376
adidiay,376
namin,376
saungay,374
nanu,374
tawya,370
sakapahay,369
baluhay,368
cia,368
situlu,367
niya,366
sanek,366
satipan,363
talakaw,362
kiyu,358
taw,357
nayi,355
mimaliay,355
zen,355
wama,352
aw,351
talakaway,351
makay,351
satabakiay,349
manamuh,348
lami,348
is,347
ibuyuay,346
tuluay,346
ibukelalay,344
sumanahay,344
sakakaay,343
hekalay,343
inayay,339
pasu,338
tuni,336
iti,335
kakanen,335
taluma,334
lipunan,334
icelang,333
kala,333
el,332
likisi,331
itiniay,328
saysit,327
tahekal,324
nangan,324
ngasaw,323
nai,323
taitung,322
yadahay,321
tan,321
cacayay,320
ranchanruy,319
niyam,318
balunga,318
cilal,316
sakamusa,316
hualien,314
tangah,313
itawya,313
ha,312
banuh,310
sakidaya,309
dada,307
dadan,307
yunminhuy,306
tw,305
isu,305
maudip,305
ilabu,304
truku,302
zayhan,301
tatengaay,298
bali,297
kiwkay,296
kapulungan,296
kanca,295
ye,295
mikilim,295
timulan,294
dadipasan,294
tangbulanay,293
akaway,293
sabak,292
asip,292
lun,292
alaw,291
malukay,291
to,291
nutipan,290
patizeng,289
misapayu,289
tabaki,288
saysiat,285
wacu,285
lutuk,284
wang,283
maala,282
micidekay,282
tuse,281
katinengan,281
liwliw,280
tun,279
hay,279
minanam,278
amihcaan,277
adada,275
pan,273
sasa,273
dipun,273
tuku,272
inay,272
sadikuday,269
luo,269
tiya,268
acasa,268
cunli,266
ngiha,265
bu,265
azihan,264
cabay,263
ayzaay,262
salengacay,259
tinaku,257
maadih,256
pay,255
miadih,254
sapuyu,254
tunu,253
seci,252
ziday,252
sasasedsed,252
muculil,251
kanatalay,250
tin,248
langawan,248
nakamuan,248
nilacul,247
maazih,246
da,246
limaay,246
kakiliman,245
mikuwanay,243
wina,243
cing,241
mangalay,241
hulic,240
man,240
uyza,240
cun,239
cilekay,238
kanahatu,236
micapi,236
patahekal,236
kan,235
tuway,235
miliyas,234
africa,234
enal,234
say,232
haymaw,232
satalakaway,232
nanumay,231
akuti,231
pin,231
kalingku,230
paluma,230
amisan,230
nuayawan,230
hung,229
aadihan,229
kakalukan,227
fa,227
kitakitay,226
sepatay,226
demiadan,226
calay,225
mahini,225
mikuwan,225
kay,224
nuwalian,224
micudaday,223
le,223
nipangangan,222
may,222
kakanan,222
pakala,222
misingkiway,221
pusung,221
wa,221
ita,220
tungusay,218
tuas,217
laluma,217
kawawan,216
palatuh,216
banges,215
ayawan,214
kuku,214
balaki,214
silsil,213
nutimulan,213
katalalan,211
idang,211
patahkal,210
mabulaw,210
paw,210
cacanan,210
sakul,209
kun,208
europe,207
ciw,205
aidangan,205
kunika,205
atademaw,204
misulit,204
nadikudan,204
yang,204
acawa,203
matenes,203
kilul,203
cacaya,203
pahanhanan,202
siang,202
hen,202
wikipayke,201
iga,201
kalunasulitan,201
incumin,201
enemay,201
makatukuh,200
habayiing,200
satangahan,199
lumeniay,199
saydan,198
micidek,198
www,197
cong,197
namakayni,197
pabaw,195
uynian,195
nisangaan,194
kakawsan,193
cya,193
mey,193
nilaculan,193
lamal,192
hungti,191
habay,190
palekal,189
selal,189
malumanay,188
labi,188
mudadiw,188
pinaay,188
uwac,188
matinengay,188
mauzip,188
panan,186
midebung,186
tida,186
simal,186
namapili,186
low,186
kusi,186
ulic,183
lay,183
wi,183
ama,182
dietu,182
takubuwan,182
sapapili,182
dumaay,181
ze,181
canada,181
butung,181
misu,180
misuayaw,179
