word,count
na,21987
ga,21600
sa,10060
tay,8873
hya,6984
ru,5499
qu,5300
nya,5281
kawas,5276
maki,4673
nqu,4187
squliq,3688
biru,3316
kwara,3255
nha,3142
uli,2861
hi,2700
ryax,2693
ku,2674
tayan,2619
qalang,2588
naha,2585
qutux,2577
la,2543
lga,2358
gyencumin,2358
squ,2199
qani,2093
kya,2028
balay,1969
koka,1924
pqwasan,1911
of,1901
niya,1781
laqi,1687
byacing,1680
binah,1614
te,1597
sku,1565
ta,1530
buwan,1527
kyan,1512
pinspngan,1502
musa,1495
knita,1463
ini,1458
llyung,1419
kyokay,1403
cinkhulan,1403
brbiru,1403
an,1326
alang,1291
rgyax,1259
kokka,1198
ngasal,1195
hiya,1170
sazing,1159
aring,1134
nanu,1126
kayal,1117
mari,1087
tayal,1055
krahu,1040
rhzyal,1038
gaga,1029
wal,999
mrhuw,969
mkyahu,962
mkraya,953
ka,944
san,933
cikuy,924
sraral,922
kinhulan,913
seng,899
yasa,898
tuqi,896
lists,891
utu,875
kbhul,854
sali,834
magal,822
maha,810
ubuy,806
mki,802
pinspung,797
kki,793
atu,788
ssquliq,785
ki,783
misuw,775
glgan,773
kisya,765
llaw,765
kahun,758
nba,755
zil,750
km,744
linhuyan,743
yat,742
basu,736
ana,734
go,731
ungat,725
rekisi,721
pinbahu,719
ro,718
pinlpgan,716
ppqbaqan,716
spyangan,708
qqmayh,701
atayal,686
qaniy,665
keng,663
nanak,639
si,632
cyux,609
mrkyas,607
inlungan,602
uzi,598
mopuw,592
mqeru,578
lalu,569
sq,564
cyugal,559
qasa,553
amis,553
nyux,551
rux,551
rhyal,543
spzyang,541
zyuwaw,539
mwah,538
basketball,537
wagi,537
national,531
qnxan,527
babaw,526
association,524
players,524
ms,522
spyang,513
lihuyan,503
spazyang,488
kahul,488
state,484
bziran,483
and,480
tehuk,469
unro,466
cingay,454
blaq,451
mha,450
government,447
list,445
current,445
heads,445
pgan,442
kin,436
iy,435
su,432
utux,432
ke,416
hopa,413
sisyuw,404
gluw,404
mtzyu,397
mspat,395
ma,394
snyan,390
sni,389
bunun,381
kinwhci,376
actors,369
kinramat,369
ruw,364
kura,359
gong,354
mqwas,349
son,340
mhuqil,338
bunge,335
pila,331
sezi,319
wayal,317
lingay,314
qsya,308
malaxmisuq,307
paywan,306
wagiq,303
minhtuw,302
payat,293
hetay,280
linhoyan,278
beh,277
mkilux,276
yow,269
htgan,259
sefu,259
cikay,254
mpitu,251
mita,249
iyu,246
mang,244
psplang,238
pspngan,234
psmsun,234
siy,228
baq,226
cinbwanan,225
mhtuw,224
wsilung,224
psatu,222
mutuw,221
mpusal,219
pqniqan,217
tegami,216
iyat,215
thoki,215
misu,214
bzinah,211
suruw,210
msqun,209
bsilung,209
llamu,209
lhlahuy,208
qyanux,207
quw,206
kbalay,206
pklahang,206
bih,206
baha,205
umi,204
pinbcyan,203
tayto,203
psrux,199
syuw,198
soto,198
pptzyuwaw,197
pqmahun,195
karing,194
kinghciyan,193
ginkgan,193
wahci,193
kinkhmayan,192
aki,192
baqun,192
pspung,192
qa,191
mzyup,190
ci,189
galun,188
cia,188
squw,188
ghyaq,188
lawsayan,187
ni,186
linpgan,184
qulih,182
minsyu,181
glabang,181
min,180
zik,180
syaw,179
mkura,178
iyal,177
minkahul,176
