word,count
ಬೊಕ್ಕ,6083
ದ್,5323
ಒಂಜಿ,3963
ಉಂಡು,3809
ಡ್,3125
ಬೇತೆ,2048
ಉಂದು,1974
ಪುದರ್,1633
ತುಳು,1591
ಪನ್ಪೆರ್,1576
ಮಲ್ತ್,1560
ಗ್,1477
ಉಲ್ಲೇಕೊ,1441
ಲಾ,1360
ಕನ್ನಡ,1340
ಪಂದ್,1319
ಮಲ್ಪುವೆರ್,1252
ಆದ್,1252
ಮಸ್ತ್,1245
ನ್,1150
ಪಂಡ್,1126
ಆಪುಂಡು,1125
ಪಂಡ,1076
ಮಿತ್ತ್,1063
ಬುಕ್ಕೊ,1045
ನೀರ್,1034
ಮೇರ್,1026
ಮಲ್ತೆರ್,1017
ಅಂಚನೆ,1007
ಉಪ್ಪುನ,986
ಮಲ್ಲ,977
ಪನ್ಪಿನ,971
ಬುಕ್ಕ,927
ರಡ್ಡ್,911
ಮತ್ತು,884
ಪ್ರಶಸ್ತಿ,880
ಆರ್,852
ಕೆಲವು,845
ತನ್ನ,832
ಇಂಚ,780
ಮಲ್ಪುನ,778
ಪನ್ಪುನ,754
ಉಪ್ಪುಂಡು,744
ಆಂಡ,740
ಶ್ರೀ,737
ಉಂದೆನ್,726
ಪನ್ಪಿ,722
ಅವು,689
ಆಯಿನ,683
ಎಡ್ಡೆ,682
ಸುರು,667
ಕರ್ನಾಟಕ,663
ಎಲ್ಯ,609
ದಿನ,593
ಮುಟ್ಟ,583
ಅತ್ತಂದೆ,579
ಬರ್ಪುಂಡು,576
ಸುಮಾರ್,571
ಸಾಹಿತ್ಯ,563
ಇಪ್ಪುಂಡು,561
ಮರ್ದ್,558
ದುಂಬು,555
ಅಂಚಾದ್,547
ಬತ್ತ್,546
ತುಳುನಾಡ್,544
ಮಾತ,539
ಆಂಡ್,536
ಇತ್ತೆ,534
ದಕ್ಷಿಣ,514
ಬೇಲೆ,512
ಪಂಡ್ದ್,511
ಎಸ್,505
ಮೂಜಿ,503
ಅರೆನ,497
ಲೆಪ್ಪುವೆರ್,494
ಉಪಯೋಗ,492
ಇತ್ತ್,490
ಇಲ್ಲ್,481
ಉಲ್ಲೇಕೊಲು,481
ಭಾರತ,479
ಜಾಸ್ತಿ,469
ಇಪ್ಪುನ,467
ಪೂ,465
ಪಾಡ್ದ್,455
ಇತ್ತಿನ,453
ಕ್ರಿಕೆಟ್,450
ಮಲ್ಪೆರೆ,441
ಮಾತ್ರ,433
ಅತ್ತ್ಂಡ,430
ಬಾರಿ,429
ಭಾರತೀಯ,424
ಬಿ,420
ಭಾರತದ,416
ಡಾ,416
ಮಲ್ತಿನ,415
ಸುರುತ,413
ಇತ್ತ್ಂಡ್,410
ನೇ,408
ಮದಿಮೆ,405
ಅಪ್ಪೆ,405
ಇಜ್ಜಿ,402
ಇತ್ತೆರ್,401
ಮರ,398
ಪೊಸ,393
ಜನ,378
ಮೆರೆನ,377
ದಿಂಜ,376
ಪೂಜೆ,371
ಕೆ,366
ಕಾಲೊಡು,362
ಜಿಲ್ಲೆದ,360
ದೆರ್,357
ಬಳಕೆ,356
ಒಂತೆ,355
ಮುಲ್ಪ,349
ದೀದ್,349
ಶಿಕ್ಷಣ,348
ನಮ್ಮ,344
ನಾಲ್,344
ಪೊಣ್ಣು,342
ಇಸವಿಡ್,342
ಮೀನ್,338
ಡ್ದ್,338
ಮಂಗಳೂರು,337
ತಯಾರ್,332
ವರ್ಷ,328
ಸೇವೆ,321
ಸಾಮಾನ್ಯವಾದ್,316
ಒರಿ,316
ಆಫ್,315
ಮೀ,314
ಅವೆನ್,314
ಜೀವನ,313
ದೇವಸ್ಥಾನ,309
ತಿಕ್ಕುಂಡು,309
ಇರೆ,304
ಒಟ್ಟುಗು,304
ಉಪ್ಪು,303
ಉತ್ತರ,303
ಇಂಚಿತ್ತಿ,299
ಪುಟ್ಟು,298
ಪಾಡ್,297
ಇಂಗ್ಲಿಷ್,296
ಮಣ್ಣ್,296
ಕಟ್ಟ್,296
ದೇವಿ,293
ಅಪಗ,292
ಒಟ್ಟು,288
ಪ್ರಕಾರ,288
ಉಡುಪಿ,287
ಮಾತಾ,286
ಸರ್ತಿ,286
ಟ್,286
ಕಾರ್,285
ಉಲ್ಲೆರ್,282
ಕೊರ್ಪೆರ್,282
ಎಂ,282
ಅಧ್ಯಯನ,282
ರಾಷ್ಟ್ರೀಯ,279
