word,count
iha,8695
ne,5380
no,4200
ba,4088
nian,3665
sira,3563
nia,2789
ida,2500
ho,2317
suku,2029
hanesan,1908
ebé,1885
husi,1848
mak,1796
tinan,1432
timor,1232
munisípiu,1186
timór,1075
lia,1072
de,1056
ema,1054
leste,968
atu,954
lorosa,947
liu,909
sai,906
ur,863
populasaun,861
li,860
ligasaun,851
tetun,847
ebe,768
administrativu,755
postu,744
km,707
halo,681
maka,672
hetan,670
portugés,665
hosi,664
rai,659
la,644
bele,642
rua,639
hamutuk,637
área,613
hodi,612
fo,597
referensia,577
fali,575
ka,563
aldeia,540
sidade,533
fila,522
total,515
hotu,514
katak,504
loron,499
mós,488
of,488
ona,454
pdf,450
to,449
mb,446
sensus,441
seluk,431
barak,427
mos,423
nebe,421
tiha,420
ita,413
the,404
kona,403
nu,396
lian,389
moris,384
boot,376
android,369
in,366
udar,362
fulan,352
naran,342
fatin,342
sistema,341
tuir,335
sei,332
mai,326
oin,324
ninia,312
laran,308
parte,303
uza,303
tan,290
suco,269
it,259
maibé,259
life,250
information,250
hirak,246
estadu,246
seeds,243
sheets,241
do,238
informasaun,231
tanba,230
foun,226
an,225
dili,224
hela,224
da,223
google,215
na,213
kapitál,205
uma,205
mane,201
rasik,196
liafuan,194
oan,191
tempu,190
entre,189
nasionál,187
feto,184
governu,183
tolu,180
and,179
baukau,178
uluk,175
tasi,173
mate,173
ermera,172
balun,171
istória,171
fó,170
servisu,164
nasaun,163
ai,162
dan,161
bainhira,160
buat,160
dala,155
ofisiál,154
os,153
aileu,152
tamba,150
bobonaru,149
brazíl,148
agora,147
hakerek,146
balu,144
membru,144
forma,142
mosu,142
europa,142
durante,139
tama,139
deit,137
di,137
ebá,136
foho,134
ak,133
as,132
inklui,131
software,131
nune,129
vikeke,129
komunidade,128
funu,127
que,124
komputador,124
tebes,123
internet,123
españól,123
vila,122
prezidente,121
maibe,121
manufahi,121
ou,120
indonézia,119
portugál,118
lautein,118
repúblika,117
ministru,116
hasoru,116
hatudu,115
españa,115
múzika,115
hahú,114
ukun,112
ko,111
ik,111
malu,111
se,111
ázia,111
oioin,110
nain,110
norte,110
hanoin,108
reinu,108
nee,108
importante,107
ki,107
grupu,107
hatene,106
depois,106
mundu,106
buka,105
leten,105
amérika,105
dezenvolvimentu,104
manatutu,104
inglés,103
besik,103
aplikasaun,102
yang,101
devices,100
simu,99
komesa,97
prosesu,97
fdtl,97
ohin,96
serbisu,96
liurai,96
ruma,95
komunikasaun,94
primeiru,93
kódigu,93
osan,93
diak,92
livre,92
inan,90
eskola,90
dalan,90
dehan,90
aragaun,90
parlamentu,89
polítika,88
tomak,88
kultura,86
dalen,86
povu,85
lima,85
kovalima,85
versaun,85
partidu,82
fahe,81
molok,81
mota,81
sékulu,80
hanaran,80
lori,80
wainhira,80
nasional,80
ainaru,80
operasaun,80
ikus,79
dadus,79
linux,79
alia,78
haree,78
area,78
troka,78
likisá,78
ke,77
indonesia,76
ami,76
austrália,75
universidade,74
resin,74
dos,74
nudar,73
nafatin,72
provínsia,72
data,72
hun,71
fretilin,71
bá,71
otas,71
polónia,71
oe,70
hafoin,70
muda,70
timoroan,70
center,70
haat,70
rihun,70
programa,70
web,70
uja,70
organizasaun,69
josé,69
funsaun,69
rain,68
matan,68
hakarak,68
hare,68
tempo,68
hili,67
lista,67
dezembru,67
maiu,67
be,67
harii,67
dahuluk,67
foss,67
livru,66
hala,66
tau,66
estuda,66
com,66
natál,66
align,65
ekonomia,65
para,64
nacional,64
lulik,64
agostu,63
labarik,63
hahu,63
ha,63
idak,63
bolu,63
neebe,63
rede,62
maski,62
park,62
independénsia,61
bee,61
aumenta,61
dezenvolve,61
súl,61
colspan,61
en,61
alemaña,61
halai,61
media,60
jeografia,60
deputadu,60
katalaun,60
mempelajari,60
foti,59
sítiu,59
matenek,59
refere,59
lospalos,59
futebol,59
aragonés,59
kusi,58
kontinua,58
hari,58
deus,58
valensianu,58
linkin,58
tenke,57
kria,57
jullu,57
europeia,57
ii,57
alemaun,57
dalam,57
utiliza,57
loos,56
duni,56
sa,56
los,56
publika,56
asesu,55
aas,55
relasaun,55
ezemplu,55
kandidatura,55
móvel,55
loro,54
sanulu,54
teknolojia,54
saida,54
akontese,54
naklibur,54
maria,54
lubu,54
microsoft,54
daudaun,53
fronteira,53
bo,53
nivel,53
kaer,53
dia,53
oras,53
komisaun,53
seksuál,53
edukasaun,52
karik,52
blog,52
festa,52
estudu,52
social,52
hardware,52
east,51
marsu,51
husik,51
port,51
labele,51
hola,51
densidade,51
romanu,51
kraik,51
jaka,51
em,50
hatama,50
ot,50
hamosu,50
konsidera,50
siénsia,50
haruka,50
furak,50
escola,50
enjeñaria,50
saun,49
lei,49
xefe,49
costa,49
fiar,49
atus,49
planeta,49
for,49
sr,49
saragosa,49
biologi,49
internasionál,48
administrasaun,48
foin,48
apoiu,48
maioria,48
áfrika,48
halibur,48
hori,48
grañén,48
situasaun,47
manu,47
aman,47
knaar,47
fatuk,47
modelu,47
open,47
estudante,46
maske,46
fonte,46
estadus,46
nos,46
janeiru,46
seguransa,46
komponente,46
bazeia,46
pada,46
kedas,45
rezultadu,45
novembru,45
lakon,45
forsa,45
at,45
mudansa,45
maromak,45
halimar,45
carvalho,45
setembru,45
seluseluk,45
unidus,45
dom,45
produtu,45
eba,45
teknologia,45
orientasaun,45
presiza,44
rejiaun,44
loke,44
hateten,44
outubru,44
juñu,44
kreda,44
númeru,44
hau,44
iliomar,44
mas,43
eleisaun,43
laiha,43
kristu,43
sul,43
unidade,43
abril,43
itália,43
sarani,43
banda,43
on,43
is,43
video,43
windows,43
organisme,43
husu,42
hasai,42
baibain,42
prinsipál,42
utc,42
psikolojia,42
omoseksuál,42
konaba,42
projetu,42
mundo,41
rohan,41
ambiente,41
han,41
kapasidade,41
merkadu,41
pesoal,41
formasaun,41
jerál,41
portugal,41
nebé,41
uzuáriu,41
sorin,40
inu,40
literatura,40
uniaun,40
territóriu,40
vise,40
fatu,40
suai,40
suporta,40
omoseksualidade,40
border,39
menus,39
objetivu,39
politika,39
tradisaun,39
governo,39
lisan,39
militár,39
mutin,39
cnrt,39
boaventura,39
alkatiri,39
bagia,39
liman,38
kuaze,38
latín,38
language,38
koalia,38
bain,38
ajuda,38
metin,38
fransés,38
leet,38
nakloke,38
atividade,38
timorense,38
hato,38
um,38
daruak,38
estado,38
família,38
same,38
español,38
album,38
daudauk,38
sra,38
px,37
okos,37
taka,37
problema,37
halao,37
zona,37
dados,37
mean,37
loja,37
mau,37
antes,36
fa,36
lubun,36
públiku,36
deklarasaun,36
malae,36
vida,36
gusmão,36
with,36
lae,36
remata,36
hakat,36
ekipa,36
falintil,36
ninian,36
maliana,36
jesus,36
dengan,36
plataforma,36
source,36
promessas,36
style,35
hitu,35
tebetebes,35
kiak,35
polítiku,35
signifika,35
asu,35
manán,35
fransa,35
neen,35
liuhosi,35
aleinde,35
enkuantu,35
et,35
sempre,35
sentru,35
identidade,34
mesak,34
santa,34
seidauk,34
luan,34
susar,34
sosiedade,34
animal,34
rona,34
dato,34
liuliu,34
gosta,34
rei,34
xina,34
língua,34
toka,34
kantiga,34
karreira,34
bobonaro,34
tutuala,34
hanorin,33
klaran,33
umanu,33
fevereiru,33
fornese,33
ós,33
luta,33
beibeik,33
