word,count
дар,292653
ва,191662
аз,188969
ба,135114
бозингарони,112798
бф,110408
ки,102941
соли,83056
ноҳияи,72526
эзоҳ,71828
аст,62362
бо,53758
деҳа,52630
маҳаллаҳои,51192
дорад,50407
ин,48141
аҳолинишини,47955
тоҷикистон,45653
рӯи,43393
русия,40623
алифбо,40151
зодагони,40033
он,36758
мешавад,36343
қарор,36047
сарчашма,35155
вилояти,34941
мебошад,33555
яке,32157
як,28312
ҳайати,27377
дохил,26539
футболбозони,26484
аҳолинишин,26262
пайвандҳо,26019
зиндагинома,25979
то,24946
миллӣ,23982
маҳалҳои,23625
коди,23569
барои,23119
федератсияи,23100
шудааст,21439
футбол,21092
мунтахаби,20545
футболбози,20455
маснади,20380
бошгоҳӣ,20353
феҳристи,19786
шуд,19576
буд,18625
фурудгоҳи,17777
вобаста,17473
номи,16217
ҷумҳурии,16203
метр,15821
ҷусторҳои,15809
манобеъ,15696
карда,15134
бонди,14724
ҳавогардҳо,14095
шаҳри,13637
фурудгоҳҳои,13500
нафар,13155
кишвари,12644
маркази,12190
вологда,12097
солҳои,11609
кард,11558
низ,11320
амрико,11087
миллии,10990
иёлоти,10870
мекунад,10745
км,10689
муттаҳидаи,10503
де,10239
клуб,10063
давлатии,10009
воқеъ,9957
онҳо,9907
сатҳи,9583
душанбе,9209
фурудгоҳ,9140
фурудгоҳҳо,9030
иото,9021
бар,9019
икао,9016
бразилия,8940
клубе,8816
донишгоҳи,8657
баландии,8608
кардааст,8592
тоҷик,8560
баҳр,8467
худро,8359
дигар,8171
умумӣ,8080
адабиёт,8066
тӯли,8032
ҷамоати,8030
испания,7999
ҳам,7867
забони,7694
худ,7677
шуда,7610
фуруди,7592
деҳаҳои,7426
пас,7204
ду,6951
ноҳияҳои,6931
ниммуҳофизатгарони,6890
шӯрои,6845
футболи,6743
анҷом,6688
эрон,6599
давлатӣ,6591
дод,6570
кор,6452
аҳолӣ,6374
буда,6354
ҳамагона,6340
тими,6325
нахустин,6286
мекунанд,6268
асри,6236
иванов,6172
ро,6152
атлетико,6112
таърих,6029
нигаред,5987
вай,5856
истифода,5848
ҳамчун,5847
дошт,5763
бораи,5710
тав,5672
сол,5655
шаҳр,5545
дода,5539
муҳофизатгарони,5501
онро,5410
таърихи,5401
мешаванд,5360
ибни,5320
ҷойгир,5192
инчунин,5179
ҳар,5033
ноҳия,5019
иотои,5014
шаҳрҳои,4933
ҳамин,4929
фаъолияти,4928
моҳи,4908
сохтаи,4856
ташкил,4848
системаи,4847
асфалт,4828
ҳавогарди,4824
байни,4769
кардани,4707
ҳавогард,4700
шудаанд,4664
канада,4626
илмӣ,4563
ҳуҷумкунандагони,4563
аргентина,4555
тоҷикон,4550
русӣ,4545
мақолоти,4498
январи,4484
ҷуғрофия,4451
деҳоти,4406
гардид,4274
марти,4274
президенти,4266
има,4063
гурӯҳ,3984
оид,3975
аҳолиаш,3960
маъмурии,3951
илмҳои,3949
ҳангоми,3921
буданд,3920
будааст,3920
ғайра,3906
бразилӣ,3871
адабиёти,3870
аслии,3868
қисми,3861
мактаби,3855
ҷшс,3849
вуҷуд,3847
аммо,3826
дарёи,3790
таъсис,3787
олии,3782
феврали,3728
саҳифаи,3727
испанӣ,3724
шуданд,3721
доранд,3711
на,3675
давраи,3663
тақсимоти,3659
асосии,3639
иркутск,3626
майи,3617
апрели,3612
ҷамоат,3608
медарояд,3593
деҳаест,3573
узви,3546
раиси,3546
декабри,3541
медиҳад,3531
архангелск,3525
хабарнигории,3512
рӯйдодҳо,3487
сиэмт,3484
воронеж,3469
ҳиндустон,3466
нав,3465
сентябри,3457
маҳаллӣ,3437
мебошанд,3430
ҷониби,3390
ҷумла,3388
октябри,3387
даст,3373
кафедраи,3369
парвози,3363
мекард,3353
иборат,3352
ҷаҳон,3334
шаҳристони,3330
июни,3328
тоҷикӣ,3315
августи,3300
баъди,3294
пеш,3293
додааст,3290
намуд,3279
маҷлиси,3274
ҷо,3258
зодрӯзҳо,3206
июли,3205
даргузаштҳо,3205
асоси,3201
аввалин,3193
ҷоизаи,3191
ноябри,3184
карданд,3171
пайдо,3157
бештар,3152
бознигаред,3150
аввал,3145
намудааст,3133
аргентинӣ,3128
бошад,3114
владимир,3102
рӯзи,3096
олимони,3094
аҳолии,3092
се,3088
нақши,3080
ум,3078
оғоз,3075
айнӣ,3069
чун,3061
ҳазор,3060
назди,3052
ӯро,3052
кишвар,3045
волгоград,3039
фаъолият,3032
миёна,3014
маскав,3012
роҳи,2997
амният,2990
вале,2972
баъзе,2963
январ,2958
шумораи,2953
май,2951
таваллуд,2940
филми,2940
гирифта,2903
давлати,2886
апрел,2883
март,2861
ёфт,2857
намуда,2848
соҳаи,2844
гирифт,2841
танҳо,2835
чунин,2833
сохта,2827
замони,2815
футебол,2815
ҳизби,2813
ҳукумати,2795
реал,2795
деҳаи,2789
садаи,2781
устони,2772
брянск,2750
вилоят,2746
ном,2736
инҷоро,2733
бингаред,2727
институти,2670
шуъбаи,2655
ширкати,2643
осиёи,2642
халқии,2639
қазоқистон,2630
шӯравӣ,2625
феврал,2619
ҳама,2600
мусиқии,2592
корҳои,2588
шудани,2584
тамоми,2574
байналмилалӣ,2566
ҳунарпешаи,2560
омӯзгории,2558
мусиқӣ,2548
намудани,2545
шаршараҳо,2532
китоби,2530
калон,2512
бисёр,2507
октябр,2496
забонҳои,2480
уругвай,2480
зиёда,2478
интихоб,2464
зиндагӣ,2456
ҳамчунин,2439
миёнаи,2435
донишкадаи,2428
июн,2422
фарҳанги,2419
хеле,2416
муҳаммад,2415
иҷшс,2413
ёфтааст,2407
август,2397
асосан,2380
баъд,2376
санъати,2376
мудири,2364
академияи,2356
муайян,2352
хатм,2341
июл,2339
ал,2327
мегирад,2316
илми,2309
