word,count
we,31296
bilen,16257
nji,12368
hem,11076
bu,10276
bir,7752
üçin,7743
da,7109
ol,7075
boýunça,6496
ýylda,6116
de,5418
bolsa,5217
onuň,4874
bolup,4351
bolan,4320
öz,4147
njy,4015
uly,3784
dünýä,3617
iň,3578
şol,3555
ýaly,3512
ýa,3409
ýylyň,3383
türkmen,3147
soň,2974
bolupdyr,2913
köp,2883
şeýle,2772
aradan,2734
wakalar,2554
tema,2248
sebitler,2234
bar,2229
çykanlar,2226
çenli,2218
inenler,2218
olar,2183
türkmenistanyň,2160
noinclude,2130
döwlet,2122
tarapyndan,2077
iki,2074
olaryň,2054
has,2038
täze,2010
diýip,1965
esasy,1933
ilkinji,1927
bolýar,1901
her,1878
garşy,1793
biri,1777
edýär,1742
ýöne,1727
sany,1724
barada,1715
ýokary,1714
emma,1687
dürli,1682
edip,1669
beýik,1665
hökmünde,1665
öň,1665
soňra,1662
diýen,1647
beýleki,1639
arasynda,1636
taryhy,1570
boldy,1554
ony,1545
görä,1533
diňe,1527
alyp,1504
başga,1503
ýyl,1480
ýerde,1467
adam,1467
häzirki,1446
gadymy,1442
ady,1442
birnäçe,1408
şu,1367
oňa,1354
ähli,1346
asyryň,1341
ýer,1340
günorta,1332
milli,1310
halk,1290
atly,1279
orta,1244
han,1239
etmek,1234
etdi,1231
merkezi,1220
gezek,1208
harby,1195
däl,1162
ýyllarda,1141
suw,1134
ykdysady,1133
dowam,1120
döwründe,1104
kabul,1090
demirgazyk,1086
emele,1084
eden,1083
ýerine,1069
degişli,1055
gün,1049
abş,1037
gelip,1037
syýasy,1035
halkara,1029
edipdir,1029
ýagny,1027
daşary,1012
belli,1002
müň,996
nyň,968
käbir,955
ýüze,950
asyrda,938
şonuň,933
doly,932
oba,920
ýurduň,916
ikinji,914
gündogar,913
basyp,899
ýok,886
soňky,884
hiç,882
özüniň,877
günbatar,872
öňki,870
ogly,865
baş,862
ii,859
esasan,851
netijesinde,849
ylmy,843
üç,839
bölegi,832
örän,831
umumy,826
sebäpli,826
şäher,821
türkmenistan,818
iri,810
wagtda,794
döwürde,791
dili,785
edilýär,777
taýdan,771
ýurt,764
sebäbi,762
eger,761
ýene,758
berýär,755
at,755
la,755
söwda,752
soltan,730
rus,728
edýän,728
içinde,725
edilen,725
arkaly,723
gelýär,720
edildi,715
möhüm,708
onda,707
biziň,703
birinji,688
kiçi,687
dini,681
ilki,674
ýyldan,672
wagty,667
iş,667
göz,658
aýynyň,656
ýerli,655
gowy,654
biler,654
eýran,648
uruş,645
iňlis,644
olary,642
wagt,640
diýlip,638
bolar,636
arap,636
şa,635
däldir,629
baradaky,626
aýynda,625
gelen,625
az,622
oguz,622
türk,619
km,618
alýar,617
şahsyýetler,614
almak,613
taryh,611
başlady,608
yslam,607
the,606
özi,602
döwleti,601
ata,600
ondan,600
den,597
durmuş,596
goşun,593
durýar,589
aşgabat,588
şäheri,586
güýçli,586
diýilýär,584
al,584
ýerleşýän,583
futbol,583
gara,580
resmi,580
özüne,574
ýerleşýär,572
gol,571
aziýa,570
le,567
saparmyrat,566
altyn,565
eýe,562
adamlar,561
hytaý,560
çykýar,559
internet,559
ak,557
aýratyn,556
olara,552
görnüşi,551
muhammet,549
men,548
rim,548
grek,545
içine,544
li,544
meşhur,543
ýerleri,543
sssr,542
bolmagy,541
bardyr,540
hakynda,536
asyr,531
bäri,529
dowamynda,529
sowet,526
başlap,526
medeni,525
beýan,524
indi,524
hereket,521
ilaty,518
ýewropa,517
bilim,514
mundan,514
ýeri,514
pul,511
ýaş,510
di,510
salgylanmalar,508
russiýa,508
ybarat,508
üsti,507
deňiz,507
ýol,505
gaty,504
dilinde,504
yglan,501
türkmenistanda,499
hanyň,496
işleri,495
pygamberimiz,495
giň,493
türkmenbaşy,493
niň,493
güni,493
mysal,492
tebigy,492
başlaýar,490
allah,490
dan,489
geçýär,487
amala,487
el,486
xix,483
gyzyl,482
agyr,479
esasynda,478
ýyllar,478
bütin,476
asyrlarda,474
mln,474
ýeke,471
dünýäniň,470
goşuny,469
şäherinde,468
uzak,468
çünki,468
ar,467
geçen,467
döwri,466
döwletiniň,466
ýurtda,463
eken,462
adamlaryň,460
täsir,458
gowrak,457
in,456
habar,453
dört,453
duş,451
maksady,449
aralygynda,449
üpjün,449
aldy,449
özüni,447
biz,447
ýaşaýan,447
paýtagty,446
demir,444
fransuz,444
berilýär,442
berdi,440
adamyň,440
ýagdaýy,440
arasyndaky,438
täzeden,438
bolmadyk,437
ýakyn,436
ýüz,436
derejede,436
ýere,435
mary,433
ri,433
ýyla,432
ýarym,431
halkynyň,430
baý,430
hili,430
talap,428
ta,427
başynda,425
dünýäde,424
prezidenti,424
zähmet,423
na,423
tarap,422
respublikasy,421
galan,421
ýagdaýda,420
ry,420
söz,419
mahmyt,418
kitap,415
halkyň,414
çap,414
kömek,412
hojalyk,412
sanly,412
ibn,412
bermek,410
üstüne,409
çykyş,409
iii,408
boýun,407
ni,405
gerek,404
mümkin,404
fransiýa,401
ne,401
urşy,401
ly,401
alan,400
sy,399
baglanyşykly,399
öňe,398
org,398
sport,398
söweş,398
daş,398
gelýän,398
si,397
ilatyň,397
şeýlelikde,397
onuñ,397
köplenç,395
maglumatlar,395
çykdy,394
mukaddes,394
zat,394
on,394
senagat,394
türkmenleriň,394
okuw,392
derejeli,392
ösen,391
hyzmat,390
geçdi,390
çykyp,387
edipdirler,387
aýry,385
https,385
aýal,382
of,382
öňünde,380
sebäp,379
peýda,377
işi,377
çykan,377
hasaplanýar,376
ulanylýar,373
ajaýyp,371
bilelikde,371
geldi,370
mümkinçilik,368
topary,367
edilipdir,367
jahan,366
munuň,366
muňa,364
deň,364
dag,364
döwletiň,363
patyşa,363
biridir,362
magtymguly,362
jemgyýetçilik,362
aýdym,362
saz,362
ga,360
bardy,360
ýyllarynda,360
görnüşleri,359
üns,358
wikipedia,356
howa,355
şondan,354
allahyň,354
ylym,353
geçirilen,353
ahyrynda,353
çeşme,352
hat,352
wiki,351
ýörite,350
musulman,349
meýdany,349
kakasy,349
şahyr,348
birleşen,348
wagtynda,348
golaý,348
adyny,346
meselem,346
germaniýa,346
bölegini,345
ýaşaýyş,343
bolmak,342
gündogarda,342
ugrunda,342
topar,342
ma,341
maglumat,341
är,340
göni,340
nemes,339
degişlidir,338
ruhy,338
dil,336
ny,335
yzyna,335
ýyllaryň,335
hezreti,333
kim,332
goşunlary,331
xx,330
irki,329
balkan,328
üstünde,327
bäş,327
hasap,327
ösüş,326
ýoly,326
ýurdy,325
görnüşinde,325
kitaby,324
beripdir,324
baryp,323
başlandy,323
gan,323
ýola,322
berip,321
ekerançylyk,321
etmegi,321
türkiýe,320
en,320
wagtyň,320
gatnaşyklary,320
taryhynda,320
amerikan,319
edebiýat,319
sanda,319
hakyky,317
geçip,317
berk,317
ene,317
bi,316
pars,315
welaýaty,315
ra,314
täk,314
italiýa,314
işläp,313
ilat,313
gysga,313
türkmenler,312
ýazyjy,311
eýranyň,311
berýän,310
netijede,309
özbaşdak,308
dogry,308
şäheriniň,307
bilýär,306
garaşsyz,306
afrika,305
işler,305
ýý,305
türki,304
birlikde,304
döwletler,303
umuman,301
mal,301
ulgamy,300
eserleri,300
gyz,300
kişi,300
ýazylan,299
ebu,299
il,298
etraby,298
edilip,298
döredildi,297
ýar,297
me,297
ýagdaý,297
garaşsyzlyk,296
welaýatynyň,296
lar,296
alyş,295
gi,295
daşarky,294
aziýanyň,294
prezident,294
xi,293
million,292
aly,292
çaga,292
sözi,292
berjaý,292
oraza,292
bol,291
erkek,291
täsiri,291
oýun,291
san,290
gaýtadan,290
osman,290
iv,289
hökümeti,289
xvi,288
ýerlerde,287
alnyp,286
eýsem,286
ýagdaýynda,286
birine,286
hywa,286
etmäge,285
sa,285
gurluşyk,284
gelipdir,283
giňden,283
özara,283
hökümet,283
web,280
halky,280
köpüsi,280
gadagan,280
getirdi,280
durmuşa,279
alp,278
laýyklykda,278
tutuş,277
yň,276
seljuk,276
bolmaly,275
jemi,275
garamazdan,275
zaman,274
edil,274
çeşmeler,274
takmynan,274
ýerden,272
özünde,272
berildi,272
açyk,270
et,270
ýanynda,269
üçünji,269
aý,269
ahmet,268
daşky,268
ýazan,267
bolupdyrlar,267
syýasaty,267
oňat,266
zerur,266
osmanly,266
derýasynyň,265
alymlar,265
latyn,263
hususy,263
ýerlerini,263
ba,263
günbatarda,262
be,262
ykrar,261
gurluşy,261
kurany,261
satyn,260
tarapdan,260
edýärler,260
adaty,260
ynsan,260
şäheriň,259
hemme,259
german,259
duran,259
öňüni,259
ençeme,258
ozal,258
aziýada,257
din,257
göçüp,257
gy,257
russiýanyň,257
kodlarynyň,257
näme,256
gürrüň,256
ýerinde,255
gaz,255
döredilen,255
domenleri,255
gyzy,254
ýokdur,254
maslahat,254
haj,254
sosial,253
nebit,253
mustafa,253
ýaşan,252
hakyndaky,252
hut,252
beren,252
namaz,252
azat,251
demokratik,251
çalt,251
meniň,251
doglan,251
meňzeş,250
sen,250
hatda,250
alýan,249
başlapdyr,249
ýaponiýa,249
diýýär,249
işleýär,248
köne,248
dolandyryş,248
edilýän,247
arslan,247
alym,247
xv,246
alypdyr,245
girýär,245
edebi,245
terjime,245
mejbur,245
maşgala,245
beg,244
gala,244
ha,243
durmuşy,242
deňziniň,242
içerki,242
ýerler,241
neşir,241
şäherler,240
düýpli,240
sv,240
bular,239
ýyldaky,239
ýerlerinde,238
toppdomän,238
görkezýär,237
abu,237
ýarymynda,237
döwür,237
kanun,237
babatda,236
xviii,236
orun,236
ýeriň,236
jogap,236
respublikasynyň,236
anyk,235
ýaşap,234
işe,234
güýç,234
getirýär,234
ka,233
gabat,232
ilatynyň,232
ähmiýeti,232
geçirildi,232
hukuk,232
urşa,232
bolmasa,231
ýyllyk,231
hemişe,231
tagta,231
bagly,231
dy,231
amerikanyň,230
öwrüldi,230
gurban,230
len,230
ymam,230
döretmek,229
diýmek,229
iñ,229
çagalar,229
ýeňiş,229
şonda,228
taryhyny,228
olardan,228
çig,228
türkmeniň,228
ösüşi,228
kyn,227
saklanyp,227
ýardam,227
pese,227
bularyň,226
tä,226
nähili,226
öý,226
çykypdyr,226
gözegçilik,226
göreş,225
tutýar,225
amatly,225
parfiýa,225
ti,225
etdiler,225
germaniýanyň,225
döwrüniň,224
öñ,224
xiii,224
türkmenleriniň,224
yza,224
maý,223
dyr,223
bolmandyr,223
çeper,223
saklamak,223
müsür,223
döwletleriň,223
böleginde,222
azyk,222
ýär,222
ýýlda,222
başlanýar,221
metr,221
görnüşde,221
içki,221
kem,221
bank,221
angliýa,220
bölünýär,220
gök,220
hökümdary,220
tutup,220
vi,220
önümleri,220
ýaşaýar,219
re,219
başlarynda,219
akymlar,219
gelmegi,218
döwrüň,217
awstriýa,217
xii,217
bo,217
gozgalaň,217
oktýabr,216
barýan,216
hindi,216
ahal,216
eý,216
kömegi,216
niýet,216
töweregi,215
hojalygy,215
ortaça,214
özboluşly,214
gazandy,214
uzynlygy,214
hakda,214
bolmaz,214
akyl,214
dörän,214
ruhnama,214
alnan,214
tehniki,213
deňzi,213
mälim,212
adamlary,212
höküm,211
sezewar,211
tiz,210
galypdyr,210
geçipdir,210
buhara,210
diýipdir,210
ösmegi,210
islendik,210
goramak,209
derejesi,209
braziliýa,208
özünden,208
pes,208
to,208
söweşde,208
berlen,208
com,207
esse,207
mynasyp,207
xvii,207
sag,207
başlygy,207
işini,207
orny,206
şäherleri,206
hany,206
bmg,206
ýewropada,206
adyndaky,205
ulanylýan,205
etmeli,204
mongol,204
bölünip,204
ses,204
dir,204
amal,204
şertnama,204
zatlar,203
çäginde,203
geçýän,203
olaryñ,203
baha,201
merw,201
şahsy,201
arassa,201
maglumatlary,201
gaýdyp,201
gul,201
edýärdi,200
etrap,200
döredýär,200
çykgytlar,200
ler,200
pikir,199
döretdi,199
an,199
gözleg,199
as,199
ynsanyň,199
geçirmek,198
fransiýanyň,198
ru,198
ýazuw,198
ki,198
gorkut,197
üstünden,197
ybaratdyr,197
gije,197
mälik,197
kemal,197
elektrik,196
beýle,196
sungat,196
döwletleriniň,196
xiv,196
and,196
eser,196
aýaly,196
ýasalan,196
erkin,196
baýram,195
işleýän,195
ýurtlaryň,195
salgyt,195
hytaýyň,195
pygamberimiziň,195
ýedi,194
döwletleri,194
basylyp,194
hereketi,193
medeniýeti,193
görnükli,192
gidýär,192
ýazypdyr,192
däp,192
etrabynyň,191
şanyň,191
bolşy,191
ösümlik,191
ýapon,190
ge,190
aýdylýar,190
halklaryň,189
ýerleşen,189
seýrek,189
ýazýar,189
gazanan,189
maddy,189
lan,189
ösüp,189
sm,188
sanjar,188
muny,188
ownuk,188
ýolbaşçylygynda,188
okamak,188
medeniýet,187
ulgamynyň,187
halas,187
adatça,187
rugsat,187
başyna,187
ägirt,187
italiýanyň,187
uniwersiteti,186
maliýe,186
zady,186
reňkli,185
günüň,185
aňladýar,185
edilmegi,185
demirgazykda,184
tarapynda,184
haýsy,184
obasynda,184
awgust,184
ýüzünde,184
ýolbaşçylyk,184
ulanmak,184
ugur,183
şoňa,183
girizildi,183
birini,182
görnüşli,182
ýiti,182
taryhynyň,182
getirip,182
agaç,182
