word,count
ng,798640
sa,738161
ang,532803
na,519032
mga,459674
ay,306522
at,292028
isang,157054
noong,87963
ito,83853
si,71187
ni,65984
bilang,63379
may,55641
mula,52014
siya,41787
para,40212
kanyang,36829
align,35154
hindi,35052
km,34461
bgcolor,34366
right,34314
id,33848
the,31584
of,30097
kung,29278
pilipinas,27300
nito,27273
sanggunian,27001
pang,24165
lungsod,24087
upang,23429
pag,22948
isa,20871
bayan,20498
unang,20097
iba,20025
din,19618
nang,19386
dahil,19002
rin,18253
ika,18168
niya,18152
kanilang,17244
hanggang,16978
naging,16300
tao,15555
ibang,15320
saan,15294
bahagi,15147
mas,15013
lalawigan,14424
pa,14010
pamamagitan,13594
ngunit,13349
kasama,13273
san,13234
kay,13116
panahon,13056
and,13032
fefefe,12863
maaaring,12775
ilang,12706
de,12597
taon,12489
ayon,12394
matatagpuan,12287
nasa,12286
panlabas,12086
timog,11845
dalawang,11770
lamang,11439
kaniyang,11369
ingles,10940
araw,10877
pagkatapos,10736
pangunahing,10720
lahat,10533
bansa,10527
nag,10377
setyembre,10147
hilagang,10076
kasaysayan,10012
maraming,9980
taong,9975
walang,9843
munisipalidad,9775
linear,9749
tulad,9735
socorro,9709
kilala,9693
oktubre,9652
lugar,9651
estados,9339
unidos,9317
rehiyon,9313
anak,9304
kabilang,9184
sila,9058
in,9019
italya,8983
pangalan,8948
bagong,8905
habang,8775
ipinanganak,8677
artista,8676
itong,8605
loob,8561
pelikula,8403
disyembre,8398
tinatawag,8230
di,8129
buong,8021
marso,7929
uri,7681
wikang,7676
pagitan,7655
ginagamit,7549
opisyal,7495
enero,7437
siglo,7399
agosto,7207
nobyembre,7163
buhay,7145
populasyon,7132
dating,7130
hapon,7077
dito,7003
siyang,6883
ilalim,6840
naman,6795
abril,6792
bago,6777
karaniwang,6765
pebrero,6654
silangan,6585
tatlong,6562
babae,6455
mundo,6371
unibersidad,6363
batas,6275
diyos,6183
mayo,6074
album,6068
kaya,5939
simbahan,5841
bawat,5800
tingnan,5765
kawing,5710
sumusunod,5685
la,5596
nila,5574
barangay,5498
maging,5494
peak,5478
aaral,5443
kitt,5414
hulyo,5408
pambansang,5386
parehong,5367
spacewatch,5355
mayroong,5352
mag,5342
higit,5310
komuna,5301
link,5277
estado,5272
hari,5173
kanluran,5166
tungkol,5123
matapos,5089
katulad,5058
mayroon,5050
wika,5047
ngayon,5042
apat,5040
mang,5023
kapag,5009
karamihan,5003
huling,4986
to,4983
malaking,4972
halimbawa,4953
sina,4938
maynila,4923
hangganan,4911
pangulo,4906
hunyo,4899
ilog,4897
sinaunang,4887
new,4860
ikalawang,4859
university,4836
pilipino,4830
aklat,4802
muling,4780
silangang,4751
dagat,4741
bansang,4731
bundok,4729
pangkat,4716
panahong,4704
niyang,4655
itinatag,4641
salitang,4638
laban,4622
aawit,4592
pamahalaan,4527
romano,4452
palomar,4444
malapit,4400
punong,4391
telebisyon,4384
binubuo,4350
bagay,4301
namatay,4294
pamilya,4268
kasalukuyang,4259
amerikanong,4242
philippine,4210
mataas,4182
ginawa,4174
for,4120
iyon,4073
ama,4057
tsina,4025
korea,4002
