word,count
im,6240
çe,5661
avtomobili,5013
in,4615
qıl,3688
soron,3654
ye,3005
ron,2869
yon,2609
don,2513
ğvim,2494
movard,2493
hodison,2480
xısusi,2477
mardon,2473
ti,2436
ružon,2377
ai,2317
vadoaşone,2147
coğrafiya,2054
kard,2006
sor,1975
di,1873
texnika,1814
iy,1788
haliş,1751
vadoyd,1717
avtomobile,1697
bı,1621
raziş,1614
stinadon,1561
km,1548
rosimon,1383
çı,1306
ton,1290
stinádon,1272
tarix,1234
de,1213
iyan,1206
vadoaşe,1116
ri,1109
marásimon,1089
širkat,1074
be,1057
re,921
şone,914
bino,906
şirk,840
soriku,799
ce,798
bed,778
sori,679
by,674
ni,642
dınyo,626
ve,603
zoye,587
amerika,585
om,574
min,569
ki,533
şe,525
zıvonon,523
xsiy,519
fi,502
rujon,470
davl,467
von,462
heste,437
karded,435
karde,431
at,418
še,418
yaponiya,394
gyl,375
zıvon,370
talya,369
bi,358
nıso,353
yol,348
avrop,347
ursiy,339
hron,331
talyad,324
od,323
almaniya,322
bu,315
do,315
mon,300
ko,293
zo,286
ku,285
li,282
nom,278
devl,271
poytaxte,265
milyone,265
hind,261
co,257
vır,251
dıjd,244
benz,243
mercedes,243
ij,239
mm,237
az,234
diyon,234
poytaxtış,231
prezident,230
no,228
bin,227
tolıš,226
amerikad,225
ro,224
tolyš,224
ford,222
nd,218
ofay,216
aid,213
tolıši,213
yn,209
toyota,209
yšt,208
fransa,207
arkanzasi,201
kaliforniya,199
ışt,199
dim,198
on,194
ım,187
mi,186
bo,185
kt,184
ozod,184
son,183
almaniyad,181
dynjo,181
te,180
mo,178
canq,174
avtomobil,173
vard,173
ijan,173
lankon,172
dı,170
is,170
roni,169
dıl,168
fransad,168
har,167
xeyzoni,166
smi,165
dekabr,164
ostoro,164
sovet,163
pı,163
lik,160
kin,157
vey,156
yo,155
ym,154
hb,152
elmi,150
mart,149
dıyo,149
cy,148
qrupi,147
motors,147
oktyabr,146
tırkiy,146
bej,143
aprel,142
general,141
fevral,140
sos,140
fş,140
peugeot,140
tolyši,139
jol,138
mand,136
nyvyšt,135
mill,135
pe,134
nav,133
po,131
masal,131
bmw,131
volkswagen,130
hm,129
mard,129
ıšt,129
avqust,128
noyabr,127
sentyabr,127
bemoni,127
dast,126
zyvon,126
audi,125
bioloqiy,125
alfa,124
voted,124
hyundai,124
may,123
of,123
imin,120
zıvonış,119
vi,118
ru,118
se,118
renault,118
non,117
vo,117
romeo,116
miyon,115
kali,115
xan,114
afrika,114
kon,114
čo,114
motor,114
ted,113
ls,113
rq,112
milyon,112
jn,111
nim,111
vitis,111
koreya,111
yanvar,110
hand,110
rem,110
zyvonon,109
sas,109
company,109
britaniya,108
si,107
vaxt,106
britaniy,105
nin,105
zi,105
bandon,103
elmon,102
avtomobilon,101
asiy,100
jon,100
oko,99
hol,98
jimon,98
rk,97
iyun,97
marde,96
sm,96
honda,96
peşt,96
mu,96
vayominqi,96
sveç,96
vyr,95
kişv,95
the,95
ci,94
doyd,93
omed,92
xuni,92
keşv,92
vot,92
iyul,92
ndon,90
alyaska,90
pulış,90
dız,89
tn,89
sıft,88
lat,88
rost,87
qor,87
dırozi,86
yal,86
koreyad,86
moskva,85
šone,84
pešt,84
st,84
hisob,84
kral,83
tiku,83
aj,83
lo,82
jo,82
mande,82
bejd,82
bar,82
şk,81
çok,81
št,81
nij,81
al,80
mir,80
mini,80
yvonon,80
group,79
lankoni,79
ar,78
nomi,78
çin,77
hestin,77
almanya,77
nazir,76
det,76
ov,76
qırd,75
tispir,75
bon,75
šairon,75
tış,75
kešv,75
misiri,74
şon,74
olimpiya,74
rh,74
nissan,74
nez,73
dumo,73
devri,73
xarem,73
lon,72
bey,72
volvo,72
zıvone,71
sur,71
hn,70
kitob,70
ukrayna,70
ji,69
rbi,69
kob,69
kam,69
almanyad,69
avropa,68
rbob,68
ha,68
