word,count
ya,47163
ke,35663
borwa,31048
aforika,30569
toropo,30205
gauteng,29780
mamelodi,29705
le,24796
go,18919
ka,14858
ba,12404
mo,10985
wa,9226
di,7574
tsa,7007
ne,6941
kwa,6535
ga,5158
tse,5047
sa,4825
se,4572
la,4547
fa,3713
ngwaga,2982
botswana,2845
mme,2733
gore,2640
jwa,2618
nna,1971
batho,1907
na,1713
bo,1711
gagwe,1547
neng,1531
gape,1432
metsi,1407
re,1350
lefatshe,1323
bone,1312
of,1228
masome,1201
yo,1181
morago,1117
tswa,1085
metswedi,1073
ntlha,1034
jaaka,1030
motse,1003
pele,974
the,921
ko,891
thata,878
dira,876
fela,800
nako,790
dingwe,766
lesome,718
jalo,675
dingwaga,662
teng,652
kgotsa,624
mabedi,623
and,615
ele,615
madi,606
rre,599
yone,593
tiro,587
mongwe,576
tlase,561
lefelo,559
ene,558
puso,551
palo,529
tla,525
kgwedi,521
kgaolong,512
godimo,511
bobedi,505
kgwele,499
ebile,479
supa,473
nngwe,472
kgaolo,466
gaborone,466
lefatsheng,465
setlhopha,465
one,462
bokone,459
sekolo,458
bona,456
nang,448
tsena,446
leng,442
ntse,440
malatsi,439
ntle,435
kgolo,427
kgosi,425
metshameko,423
eo,423
bana,422
akaretsa,420
in,412
tsaya,403
simolola,393
tlhola,366
maemo,362
dinao,360
kana,360
jo,359
nne,353
makgolo,351
nale,350
bontsi,350
bophirima,344
lwa,339
world,331
university,326
tsela,325
leina,321
tautona,314
dirisiwa,309
molao,309
thuto,309
botlhaba,308
mafelo,307
mafatshe,305
banni,303
ditiro,301
boraro,301
motho,298
selekanyo,298
dirisa,297
tona,294
united,293
pedi,289
dijo,289
mararo,288
botshelo,287
feta,287
bongwe,285
lebala,284
seemo,280
africa,279
bangwe,278
national,277
aferika,272
zimbabwe,271
botlhano,270
ditso,267
noka,267
bophara,266
tshameka,262
tsone,259
football,259
thusa,258
basadi,257
mangwe,255
dithuto,255
seo,250
karolo,248
cup,248
bong,246
fifa,246
ditlhopho,242
ngwana,240
tsotlhe,238
south,236
kgona,236
mogolo,234
ile,233
mmogo,232
letsatsi,230
african,230
tshotswe,229
dilo,228
tikologo,228
bile,227
afrika,227
loapi,225
for,224
lekgotla,223
diphologolo,222
morafe,220
lone,220
botlhokwa,220
nnang,219
dile,218
tloga,217
fenya,217
lo,217
ee,216
baagi,216
amogela,215
dintsi,214
ntsha,214
tlaa,214
motseng,213
leloko,213
gare,212
sena,211
kompone,211
mane,210
phetogo,209
bogolo,205
tharo,205
fitlha,205
farologaneng,204
batswana,203
tshwanetse,203
matlhano,202
setswana,200
gone,200
dipalo,198
bosupa,198
jang,198
motshameki,198
dirwa,197
tlhophiwa,197
oo,196
itsholelo,195
metse,192
tshwara,191
dikete,190
sentle,190
sengwe,190
naga,189
mmino,189
lephata,188
bua,188
gompieno,187
borataro,186
leswe,186
dikolo,185
difofane,184
dikgoge,183
buka,182
bereka,182
motshameko,179
kgatlhanong,179
kgotla,178
khama,177
legare,177
district,177
mosadi,175
setshaba,174
puo,173
to,173
new,173
pula,172
ngwao,172
fitlhelela,171
gantsi,170
itsege,170
tlhalosa,169
bidiwa,168
leo,168
mokgatlho,168
school,166
setse,166
kopo,166
gaufi,165
moo,165
jaana,165
simolotse,164
mafelong,164
kgone,164
ntwa,162
tlhoka,162
motsana,162
maloko,161
mefuta,161
namibia,160
lekgolo,159
mathata,158
bogosi,158
motlakase,158
kopa,157
tswang,157
jaanong,156
nfl,156
ja,155
lefelong,155
ebong,155
dikgang,153
seabe,153
tswelela,153
farologana,153
states,152
tlhokafala,150
rile,148
ditshwanelo,148
league,148
ditirelo,147
kgwebo,147
lenaneo,146
batla,145
banana,145
mmalwa,144
dipadi,144
potlana,143
ale,143
bidiwang,142
seka,142
mothusa,142
santse,142
tshwana,142
latelang,141
lengwe,141
tlogela,141
bojanala,141
motsheganong,141
tseo,141
gae,141
mengwe,140
phalane,140
bomme,139
francistown,139
tlholego,139
itsegeng,138
maemong,138
tsweng,137
nnile,137
rotloetsa,135
sepolotiki,135
american,135
mantsi,134
nakong,134
sekolong,134
mafatsheng,133
phukwi,133
yotlhe,133
dirang,132
baithuti,132
ditlhopha,130
ditlhabololo,130
sale,129
tiriso,129
sone,128
raya,128
batshameki,128
dikgato,128
fiwa,127
de,127
college,127
dirisiwang,126
tsamaiso,126
nigeria,126
aga,125
international,125
bolela,125
setlhopheng,125
maranyane,124
seetebosigo,124
kereke,124
bofelo,124
maduo,124
bonwa,123
cape,123
ngwageng,123
lwetse,123
thulaganyo,123
kago,123
moranang,122
phatwe,122
fokotsa,122
moepo,122
ntswa,121
dikhilomethara,121
merafe,120
kitso,120
seng,119
nokeng,119
ntsi,119
kgalagadi,119
mogote,118
magareng,118
toropong,117
segolo,117
mopalamente,117
sechaba,117
zambia,117
dingwageng,117
ngwanatsele,117
with,117
aa,117
eno,117
dibuka,117
tlhano,116
maikaelelo,116
bathong,116
itse,114
molelwane,114
ea,114
nosi,113
bontlha,113
boleng,112
dikgaolo,112
tlotla,112
selegae,112
stadium,112
tsenya,111
water,111
moeteledipele,111
west,110
ditlhago,109
baka,108
amerika,108
ema,108
ntlo,107
kalahari,107
mogare,107
kgang,107
maun,107
mabapi,106
eleng,106
boela,106
development,106
bokgoni,106
nama,106
on,106
ditlamorago,106
melao,105
party,105
koo,105
tshwanang,104
bao,103
botlhe,103
isa,103
ditsela,103
setlha,103
leka,102
be,102
temo,102
sefofane,102
temothuo,102
seetsele,102
molelo,101
madirelo,101
ikgogela,101
tlhakole,101
leno,100
tshegetsa,100
mokwadi,100
banna,99
seretse,99
mopitlo,99
tsewa,99
ikemetseng,98
dirile,98
institute,98
dikago,97
tsene,97
kile,97
fetsa,97
kenya,97
boferabongwe,96
setso,96
kakaretso,96
central,96
boimana,96
metshamekong,96
mokatisi,96
semmuso,95
bantsi,95
moemedi,95
mananeo,95
mmele,95
ho,95
tsholetswe,95
babereki,95
tota,94
kapa,94
botsogo,94
pina,94
tlhaelo,94
spain,94
touchdown,94
democratic,93
batsadi,93
marataro,93
george,93
sejana,93
dikgomo,92
palamente,92
kopana,92
ofisi,92
tunisia,92
fetola,91
dikarolo,91
canada,91
rragwe,91
diphetogo,91
dipina,91
mexico,91
didirisiwa,90
gaisa,89
state,89
setšhaba,89
dipula,89
komiti,89
all,89
fetoga,89
gongwe,88
mabaka,88
sele,88
matshelo,88
monna,88
okavango,88
tshamekela,88
ao,88
gotswa,87
moragonyana,87
metsana,87
motswedi,86
boferabobedi,86
phathi,86
tsweletse,86
ditlhare,85
direla,85
education,85
borobabobedi,85
metso,85
seamerika,85
yona,84
goromente,84
tumelo,84
