word,count
ve,727222
bir,433209
da,232232
de,214244
bu,209215
olarak,173841
ile,165112
için,116747
olan,111502
yılında,95820
in,92833
en,89020
tarafından,83473
sonra,79994
daha,74726
nın,72704
nin,71749
the,70411
ın,70323
ilk,64461
türk,59060
kaynakça,57704
ise,56540
çok,55356
ya,54604
büyük,52777
dış,52431
gibi,52287
türkiye,48126
bağlantılar,47936
yer,46900
kadar,43224
te,42854
arasında,41962
bağlı,41351
of,40233
veya,39605
iki,39138
un,38676
km,37767
stanbul,37024
oldu,36928
göre,36646
ayrıca,36590
yeni,36045
aynı,34767
olduğu,34669
futbolcuları,34542
ancak,33889
dünya,33594
diğer,32240
her,30828
daki,29498
birlikte,28925
eski,28736
ilçesine,28684
adı,28571
tarihinde,26932
amerikalı,26074
son,26063
nde,25931
avrupa,25861
doğumlular,25660
film,25442
alan,25080
yıl,24710
bulunan,24155
nda,24090
adlı,23838
genel,23804
ne,23760
önemli,23519
osmanlı,23447
karşı,23444
dan,22734
köy,22406
yi,22385
nun,22241
nüfus,22055
ödülü,21618
etti,21384
den,21363
üzerine,20684
bazı,20646
üniversitesi,20535
içinde,20491
birleşik,20422
birçok,20333
amerika,20320
ye,20313
futbol,20146
vardır,19969
müzik,19903
millî,19885
önce,19831
and,19789
devlet,19658
aldı,19248
tüm,19106
yüksek,19012
kez,18945
erkek,18707
yapılan,18664
kabul,18171
üç,18110
abd,18042
ankara,17983
merkezine,17884
başladı,17857
olduğunu,17840
savaşı,17803
kadın,17719
olmuştur,17715
şekilde,17680
deki,17628
üzere,17573
tek,17403
zaman,17235
kendi,17234
ii,17131
küçük,17130
yaşayan,16998
ardından,16959
gelen,16906
mayıs,16790
ta,16654
tarihi,16507
filmler,16475
devam,16317
oyuncu,16300
sahip,16289
kupası,16254
alman,16216
eylül,16139
ngiliz,16139
mart,16120
ikinci,16022
iyi,15666
ocak,15488
üzerinde,15394
haziran,15279
özel,15279
hem,15269
biri,15240
ekim,15234
ilinin,15150
sadece,15136
temmuz,15053
farklı,15043
na,14987
fazla,14983
kasım,14938
coğrafya,14881
yılı,14848
lk,14828
uzun,14802
teknik,14797
almanya,14793
fransa,14781
ortaya,14682
fakat,14644
kuzey,14624
eden,14620
orta,14613
ağustos,14532
lig,14522
geri,14420
nisan,14281
şarkı,14200
yaptı,14181
olmak,14152
on,13934
aralık,13879
kısa,13845
olup,13842
çeşitli,13818
la,13778
tarihçe,13759
bulunmaktadır,13730
fransız,13716
il,13658
sırasında,13642
uluslararası,13563
güney,13515
yüzyıl,13410
uzaklıktadır,13365
yaklaşık,13341
filmleri,13313
takımı,13299
doğu,13241
şubat,13229
insanlar,13208
devletleri,12913
merkezi,12869
kurulan,12824
takım,12822
grup,12795
futbolcular,12737
ilgili,12709
yeniden,12702
bunun,12702
savaş,12647
kişi,12523
özellikle,12436
new,12420
ki,12368
boyunca,12256
bulunur,12122
nedeniyle,12092
ölenler,12081
süre,12065
yaptığı,12029
bakınız,11979
ana,11970
şehir,11970
ama,11952
roma,11879
zamanda,11774
yılları,11657
paşa,11631
ngilizce,11590
batı,11581
eğitim,11524
resmi,11505
el,11475
yerine,11405
gün,11283
doğru,11179
başka,11169
birliği,11146
rağmen,11144
su,11072
dönem,10997
sezon,10963
onun,10821
edilen,10778
genellikle,10715
grubu,10664
ili,10638
altında,10613
az,10550
anadolu,10490
yüzyılda,10489
altın,10475
görev,10324
yı,10320
beri,10292
dört,10290
ngiltere,10256
hakkında,10239
eder,10201
tekrar,10180
john,10153
yine,10141
dir,10123
burada,10110
ligi,10093
edildi,10045
adıyla,10034
elde,10020
ali,9892
televizyon,9855
deniz,9842
geçen,9813
ait,9791
sinema,9736
sonunda,9735
ngc,9726
rus,9704
olması,9581
çıkan,9543
merkez,9498
talya,9480
söz,9474
cumhuriyeti,9444
halk,9443
yakın,9435
şu,9396
rusya,9347
başkanı,9316
onu,9314
sezonunda,9271
kazandı,9224
yol,9223
kullanılan,9217
ulusal,9198
sahipleri,9130
ilçe,9091
bölüm,9053
tiyatro,9022
almıştır,9016
gol,8997
ele,8973
hava,8961
sanat,8957
yazar,8955
birkaç,8950
tam,8913
oyunları,8913
oluşan,8852
mparatorluğu,8836
arasındaki,8795
döneminde,8794
video,8770
tv,8677
çin,8652
altı,8628
bilinen,8581
bütün,8550
albüm,8540
olur,8494
mö,8444
itibaren,8425
pek,8283
filmi,8282
verilen,8277
dahil,8264
genç,8258
belde,8203
üçüncü,8190
sonucu,8186
amerikan,8157
köyleri,8150
sahiptir,8148
çıktı,8139
adını,8118
nüfusu,8115
toplam,8110
türkçe,8065
sırada,8054
geldi,8048
sıra,8032
verdi,8031
york,8004
oğlu,7955
yapan,7930
milyon,7924
dönemde,7894
alır,7878
oyun,7873
dizi,7857
dışında,7842
bin,7821
hemen,7782
yılından,7750
açık,7746
spor,7740
to,7722
partisi,7705
sonraki,7671
doğumlu,7651
albümü,7646
köydür,7634
bey,7620
isbn,7599
neden,7597
listesi,7591
kariyeri,7570
kara,7558
paris,7546
dolayı,7541
olmayan,7521
şampiyonası,7513
gelir,7502
afrika,7501
etmiştir,7487
isimli,7461
birinci,7460
spanya,7437
align,7419
ran,7415
futbolcu,7410
siyasi,7407
tarih,7400
üst,7386
günümüzde,7381
fc,7368
sosyal,7362
askeri,7361
mahalleleri,7353
ün,7345
sitesi,7315
mahalle,7307
kalan,7304
buna,7269
tbmm,7233
örneğin,7214
mısır,7198
alt,7191
çoğu,7177
süper,7158
bilgi,7143
ay,7136
beraber,7133
çocuk,7133
com,7127
bilim,7124
edilmiştir,7117
böylece,7115
belediye,7102
bulunduğu,7079
transfer,7075
temel,7021
ödülleri,7014
talyan,6996
oyuncuları,6992
insan,6986
babası,6955
krallık,6912
parti,6904
ünlü,6904
beyaz,6897
iş,6894
albümleri,6892
le,6871
cm,6869
geniş,6833
üyeleri,6830
sahibi,6812
edilir,6806
aldığı,6779
sistemi,6779
günü,6776
ordusu,6734
beş,6733
kullanılır,6711
web,6703
zmir,6703
yapımı,6696
karar,6682
kültür,6676
yerleşim,6656
yapmıştır,6643
etmek,6640
köyün,6627
yaz,6620
mehmet,6588
ordu,6583
dil,6572
ona,6565
sultan,6558
yerel,6553
maçta,6553
yanı,6542
bölgesi,6530
bölümü,6528
yani,6513
lerde,6505
rol,6504
oyuncular,6465
modern,6457
resmî,6454
yönetim,6433
konusu,6433
yunan,6415
yıllarda,6375
kaldı,6365
ten,6361
rock,6348
inşa,6343
fifa,6343
slam,6335
maç,6304
başarılı,6300
kinci,6294
fakültesi,6279
devleti,6279
tür,6269
öğrenim,6251
asıllı,6229
tiyatrosu,6224
bölge,6224
yarı,6184
mustafa,6180
hayatı,6180
ifade,6168
mahalledir,6158
başlayan,6143
ahmet,6138
değil,6130
yılın,6115
yıllık,6109
sovyet,6098
li,6084
yanında,6081
içerisinde,6063
resim,6059
geçti,6059
oldukça,6043
başına,6033
final,6031
kralı,6005
asya,5992
for,5988
dır,5973
ülke,5956
var,5904
yıldız,5899
üyesi,5889
fenerbahçe,5888
herhangi,5827
william,5819
nden,5815
hiçbir,5812
yahudi,5811
biridir,5794
kuvvetleri,5782
okulu,5770
hareket,5768
anlamına,5765
ettiği,5761
left,5758
ayında,5755
gerçek,5752
filmin,5751
yönünde,5734
idi,5719
almaktadır,5695
galatasaray,5646
iç,5634
haline,5623
adet,5612
mücadele,5611
uss,5583
forma,5567
uefa,5554
katıldı,5549
başlamıştır,5548
kulüp,5544
güneş,5544
yıllarında,5526
an,5517
cumhuriyet,5488
yaş,5483
gurbetçi,5483
galaksidir,5479
görenler,5476
ismi,5476
sayısı,5475
ülkenin,5468
ev,5466
takımyıldızı,5451
sayıda,5450
değildir,5447
sezonu,5442
ni,5439
bunu,5437
japonya,5437
tip,5432
kitap,5431
dünyanın,5431
yardımcı,5422
meydana,5413
antik,5391
çünkü,5381
güçlü,5376
öldü,5368
at,5360
ses,5359
benzer,5358
ekonomik,5356
ortak,5344
yabancı,5329
sona,5323
girdi,5310
şeklinde,5307
sonucunda,5306
yayınları,5303
kız,5284
iii,5268
amacıyla,5255
başında,5242
dönemi,5238
david,5230
tipi,5224
lik,5223
konusunda,5221
önceki,5220
kurulu,5188
tarihli,5186
dr,5183
uygun,5175
doğal,5172
ilan,5164
srail,5163
yok,5160
oyuncusu,5150
londra,5133
basketbol,5131
düzenlenen,5128
araştırma,5103
veren,5103
michael,5085
bağımsız,5076
temsil,5076
olabilir,5070
roman,5067
sonrasında,5063
yılına,5043
james,5039
kral,5035
yazarları,5032
yazdığı,5024
yunanistan,4995
ayrı,4988
bile,4988
you,4987
kemal,4977
yazarı,4965
vardı,4953
kendisine,4951
ön,4925
şarkıcı,4924
arap,4903
van,4893
serbest,4890
bunlar,4878
sayı,4873
world,4860
single,4851
yönetmen,4843
yaygın,4842
yaşında,4832
saat,4812
bizans,4805
kanada,4803
madalya,4802
ağır,4801
hukuk,4796
beşiktaş,4789
robert,4783
şarkıları,4779
azerbaycan,4769
yayın,4757
ndeki,4757
artık,4751
avusturya,4750
tamamen,4747
profesyonel,4746
etmektedir,4739
kazanan,4732
şehrin,4722
lisesi,4719
şehri,4717
bakanlığı,4705
kıbrıs,4697
siyasetçi,4695
ndan,4690
sık,4677
ederek,4666
ticaret,4656
itibarıyla,4656
metal,4654
sonrası,4653
yardım,4652
maçında,4649
durum,4644
edebiyat,4639
geçmektedir,4637
yalnızca,4633
yaşam,4629
alanı,4626
grubun,4620
hizmet,4614
başkanlığı,4614
kendisi,4609
başlar,4605
portekiz,4596
larda,4590
tan,4588
edilmiş,4575
kısmı,4560
verdiği,4555
nı,4553
üzerinden,4537
kızı,4531
maçı,4517
eğer,4516
kayıtlarında,4511
para,4509
adam,4507
metre,4502
olimpiyatları,4492
san,4486
barış,4468
defa,4467
kontrol,4466
iken,4464
kardeşi,4446
nedenle,4443
köyü,4438
hafta,4435
güzel,4427
olmasına,4416
sanatçı,4416
festivali,4414
japon,4405
içeren,4403
düşük,4401
hiç,4395
pop,4388
avustralya,4385
suriye,4375
enerji,4374
nehri,4365
kırmızı,4360
geleneksel,4357
yapı,4355
çalışmaları,4350
berlin,4341
yolu,4341
eyaleti,4339
olsa,4337
iddia,4334
kulübü,4324
alarak,4319
dili,4316
bursa,4309
konu,4308
sürekli,4304
oynanan,4302
kitabı,4295
verildi,4289
www,4280
bunların,4274
no,4272
kendini,4272
yüzyılın,4257
bölgede,4247
hızlı,4240
erken,4227
han,4224
şampiyon,4223
charles,4216
bugün,4215
tanrı,4215
çaplı,4210
oluşur,4209
ben,4189
müziği,4188
siyah,4177
oynadı,4176
sağlık,4175
keşfedilmiştir,4167
karşısında,4164
yayınlanan,4162
sayesinde,4151
al,4149
taşımaktadır,4148
arası,4145
gitar,4131
iline,4128
çalışma,4127
annesi,4126
çift,4125
aday,4118
çalıştı,4117
yedi,4116
sovyetler,4114
eserleri,4106
klasik,4106
güç,4096
league,4090
yönetimi,4087
akdeniz,4087
seçildi,4084
bulundu,4075
kötü,4072
şey,4065
piyasaya,4063
müzesi,4061
yönettiği,4052
yarışması,4044
öğretim,4043
paul,4043
der,4038
hale,4037
belediyesi,4027
george,4024
şehirler,4016
olimpiyat,4015
erzurum,4012
yoktur,4001
müslüman,3995
kurulmuştur,3991
general,3991
ileri,3982
kişiler,3969
kent,3954
muhammed,3954
savunma,3947
bölgesinde,3946
siyasetçiler,3935
şarkısı,3934
hatta,3930
astronom,3926
komedi,3925
yapılmıştır,3922
polonya,3918
krallığı,3912
diye,3911
parçası,3911
tıp,3908
bilgisayar,3903
izin,3903
atatürk,3902
nba,3901
askerî,3900
şarkılar,3898
love,3884
verir,3883
baş,3882
milletvekilleri,3880
inç,3878
zorunda,3874
kuruldu,3861
normal,3860
yoğun,3859
top,3850
anda,3848
üzerindeki,3843
oyunu,3839
adına,3827
elektrik,3820
türü,3819
hollanda,3812
altına,3805
irak,3794
katalog,3791
bazen,3787
çalışan,3785
me,3784
kişinin,3781
doğdu,3780
örnek,3772
mm,3771
los,3760
mezun,3759
nobel,3755
olmuş,3749
dünyaya,3748
radyo,3741
ailesi,3736
von,3736
ek,3734
özellikleri,3734
aile,3732
durumu,3724
yılının,3721
destek,3721
eurovision,3714
