word,count
ka,37750
na,15829
alang,9568
ni,8261
niqan,7209
mi,6644
kiya,6468
dha,6416
wada,6007
seejiq,5888
kana,5633
kari,5145
hiyi,4950
bi,4890
mniq,4881
nii,4844
ga,4345
bay,4188
kngkawas,4026
ini,3911
idas,3780
ma,3727
pusu,3538
sapah,3494
sediq,3076
klwaan,2965
daha,2964
we,2887
hngkawas,2773
pa,2755
mangal,2729
balay,2686
ida,2652
so,2635
dxgal,2609
uri,2572
nniqan,2487
hiya,2479
truku,2466
quri,2429
knkawas,2418
do,2385
paru,2361
gaga,2277
saw,2245
seediq,2218
kingal,2197
da,2127
tnpusu,2114
qnlhangan,2015
muda,1970
dhuq,1959
ta,1956
kika,1919
nsgan,1908
cida,1907
pnyahan,1900
hini,1755
niya,1748
jiyax,1654
siida,1582
rahuq,1534
uxay,1445
hidaw,1441
hangan,1439
hari,1393
de,1355
yayung,1353
duri,1337
daw,1332
diyax,1321
km,1253
dgiyaq,1206
musa,1177
malu,1147
pnatas,1119
asi,1109
patas,1104
qsiya,1066
ba,1046
nanaq,1041
ngalan,1016
kndadax,1010
rudan,998
sayang,993
elug,987
dheran,974
dxral,964
tay,961
tunux,960
saya,950
ptasan,950
tu,936
pyasan,935
si,932
laqi,922
babaw,919
di,919
soto,914
bukung,889
kcka,874
egu,863
kska,859
nyusan,854
knhbragan,852
ya,840
knkana,838
daya,830
qhuni,821
seyhu,819
of,815
duma,814
ana,810
biyax,806
bukuy,805
miyah,804
mquri,798
amis,792
bale,782
tduwa,777
qmita,769
hunac,761
su,754
kneegu,753
kleegan,745
manu,741
brah,741
tg,737
uka,731
naq,729
sp,722
koia,721
utux,720
niyi,712
rulu,705
kmlawa,698
qpahan,695
han,693
phiyu,686
ri,671
mesa,664
cu,664
wa,663
ge,657
paah,654
pnaah,653
tung,645
tuhunac,642
pila,641
daka,636
sbiyaw,631
meniq,631
mu,624
spuda,622
kesun,616
maxal,612
knlangan,611
qpahun,600
qtaan,598
wana,597
gaya,596
san,594
ksun,593
ku,571
karac,568
tgdaya,565
ali,561
sq,561
knhbrawan,560
dungan,557
ani,557
bobo,557
tayal,556
dhiya,556
ruwan,555
ci,555
hmrinas,554
yasa,553
qmlahang,546
tanah,545
sa,545
binaw,533
knlbangan,523
ciida,521
hbaraw,520
kbkuy,513
uuda,497
knbeyhing,487
mrana,486
gsilung,485
tudaya,484
alaw,482
bunun,481
