word,count
of,44962
isbn,36324
and,33559
dictionary,20739
springer,20719
names,20710
minor,20703
planet,20699
asteroids,20694
lutz,20691
schmadel,20690
vol,10495
co,10449
journal,10431
science,10405
revised,10401
edition,10401
publications,10390
business,10380
media,10377
robin,10362
properties,10361
surface,10354
morrison,10352
elsevier,10350
heidelberg,10349
chapman,10348
enlarged,10347
comets,10347
fifth,10346
synthesis,10346
meteors,10346
zellner,10345
polarimetry,10345
radiometry,10345
spectrophotometry,10345
icarus,10345
kerrod,10345
lerner,10345
de,9094
sa,6128
excel,6060
nasa,5640
del,4311
públicas,4082
datos,4081
registro,4081
entidades,4081
locales,4081
ministerio,4081
hacienda,4081
administraciones,4081
database,3971
ipac,3945
ngc,3940
vizier,3939
extragalactic,3939
ru,2780
häm,2738
the,2647
iso,2245
dfb,1643
yılda,1623
linear,1433
ii,1263
google,1249
map,1196
belän,1050
in,986
com,962
xx,934
utc,891
nomenclature,875
lunar,819
reference,819
october,795
xix,795
publication,785
lm,784
catalogue,782
whitaker,781
andersson,779
http,701
iii,683
en,667
outmari,600
öçen,593
time,589
da,584
xviii,567
for,549
tatar,545
ul,533
to,522
buyınça,497
iv,497
bu,480
bula,477
bulğan,474
msk,471
soñ,467
iñ,461
vi,457
www,455
usgs,453
la,408
zur,401
qazan,392
on,366
ğär,365
vii,364
ber,361
european,355
bulıp,352
xvi,352
dip,349
berençe,343
yılnıñ,342
sıltamalar,335
viii,333
xvii,333
anıñ,316
press,316
by,316
itä,309
ix,306
rus,304
dä,300
yıllarda,299
uq,296
ed,290
ala,289
central,287
xalıq,286
new,282
from,278
keşe,275
üz,268
university,268
cet,265
hawa,259
däwlät,258
iec,258
xv,255
standard,246
xiii,246
töp,245
yıldan,243
läkin,241
şulay,240
torğan,238
xiv,233
qarşı,232
yäki,231
wä,231
an,231
with,230
cd,229
bar,227
tora,227
itep,226
küp,225
at,224
atomic,222
xi,221
world,219
gf,219
tä,214
şul,212
ba,212
bc,212
xxi,211
urnaşqan,210
tarafınnan,209
spacewatch,209
milli,208
şähär,206
org,204
yaña,203
fg,203
bolğar,202
tele,201
aqş,199
räsmi,198
zone,197
törki,196
hindu,196
km,195
bularaq,193
el,192
no,192
class,191
cb,190
xan,188
part,188
moscow,187
et,186
kilä,185
history,185
arasında,183
xalıqara,183
gh,181
tör,180
fe,180
msd,180
şähärendä,179
altın,178
ädäbiät,178
ce,178
india,177
hg,176
html,175
böyek,173
information,172
lat,171
kerä,170
