word,count
mu,79752
cha,50090
na,46564
ku,27737
la,26017
ni,24551
boma,23794
wa,21976
malo,21922
charu,21372
pa,19263
ŵanthu,17983
chigaŵa,17528
ya,17339
gha,15230
austria,14864
kuti,14011
misumba,13657
msumba,13183
ndipo,12208
the,11801
ghakusangika,11574
of,11537
ŵa,11026
germany,10505
africa,10138
vya,10127
kwa,9547
chikulu,8729
yulaya,7378
south,7147
chilwa,6373
ulaya,6260
united,6047
agho,5964
ghamu,5964
yaku,5929
yamu,5907
and,5740
awo,5603
europe,5432
pakati,5369
states,5354
malaŵi,4722
vinthu,4526
dazi,4455
in,4386
nyengo,4177
ivyo,4169
vyaru,4144
iyo,4042
chomene,3799
panji,3784
ichi,3731
kufuma,3591
kumpoto,3569
caru,3516
ŵanandi,3424
iyi,3407
ca,3391
za,3374
france,3326
nkhalwe,3313
portugal,3279
vigaŵa,3213
kummwela,3195
comene,3187
sukulu,3006
mizi,2964
vinyake,2956
kweni,2893
ŵasilikari,2883
nga,2785
likulu,2759
to,2714
apo,2693
ma,2688
yayi,2670
county,2664
nkhondo,2650
municipality,2604
wakaŵa,2574
zambia,2526
vyaka,2520
uyo,2511
chili,2465
district,2396
de,2387
idoko,2349
mndandanda,2334
wupu,2285
maboma,2264
malawi,2240
agha,2238
ndalama,2235
kweniso,2231
wakusangika,2223
america,2166
ntchito,2165
mwa,2161
ghachoko,2141
uwo,2135
limpopo,2105
armenia,2080
ikulu,2075
cuba,2068
nchito,2064
kumanjiliro,2042
matauni,2013
state,2012
muzi,1988
ukaboni,1975
kumwera,1970
ici,1952
cifukwa,1951
north,1931
uwu,1898
turkey,1868
ŵakaŵa,1866
lilongwe,1866
ivi,1846
nyanja,1814
nyumba,1799
vinandi,1792
zina,1780
chalo,1766
munthu,1754
gulu,1752
kuŵa,1744
england,1731
nkhani,1701
spain,1683
ufumu,1671
ilo,1662
mzimba,1661
chifukwa,1631
icho,1618
italy,1588
umo,1575
vyakurya,1568
waka,1547
for,1529
japan,1527
pamanyuma,1525
natal,1503
is,1498
ili,1491
kwazulu,1481
african,1440
britain,1436
zakusangika,1427
pulezidenti,1405
muli,1332
texas,1311
rumphi,1299
malango,1297
zakwamba,1273
nangauli,1272
yikaŵa,1267
izo,1257
lower,1251
mtundu,1250
pafupifupi,1242
makora,1234
wake,1228
ŵakamba,1223
ghanandi,1211
wanangwa,1197
clara,1170
yakwamba,1163
ndiwo,1152
paka,1151
as,1140
georgia,1138
mpaka,1127
mazaza,1125
johannesburg,1105
ndiyo,1082
fundo,1082
ŵanyake,1081
machinga,1076
cape,1076
national,1067
chaka,1062
kweneso,1057
chipani,1048
ŵana,1047
villa,1043
maji,1042
kuli,1040
ghakaŵa,1037
blantyre,1034
by,1034
cose,1026
ndyali,1016
dango,1008
utah,989
ghanyake,988
ndondomeko,986
west,980
belgium,968
udoko,965
greece,962
upper,953
chikaŵa,951
ikusangika,948
lakuti,946
ukusangika,946
nthavwa,945
zamu,932
on,931
asia,929
ŵakakhalanga,929
rhodesia,926
ukulu,920
ŵali,919
kumafumiro,916
yikuru,906
that,897
chitipa,887
ico,882
ukaŵa,878
ŵanakazi,878
para,872
umoyo,871
zinandi,866
new,859
masambiro,845
mavoti,843
wose,842
missouri,839
with,837
from,827
ohio,823
mphaka,823
vikaŵa,816
central,813
east,802
free,796
yili,791
gauteng,790
virwa,783
kuyana,772
are,768
pasi,767
mzinda,759
lili,757
india,750
mlonga,744
zomba,743
mexico,743
counties,742
pafupi,739
nduna,733
mulongozgi,732
world,725
kentucky,724
zimbabwe,722
an,719
chigawa,719
uko,718
ghali,718
ntcharu,717
makomboni,711
chose,710
was,710
nthowa,709
wakati,709
nigeria,709
virginia,708
lleida,707
mazgu,704
pali,703
kenya,702
ndipouli,700
colorado,696
pachingelezi,695
lake,694
uli,693
uganda,693
malonda,688
vyose,687
or,684
eastern,680
wakawa,679
mitundu,678
pambere,677
mabuku,675
republic,674
sudan,671
chiyowoyero,663
kanandi,663
wali,661
miliyoni,654
aŵa,652
yake,647
tanzania,643
lizgu,640
russia,640
mangochi,639
ŵakukhala,639
it,636
cigaŵa,636
viyowoyero,634
tawuni,631
viŵiri,630
carolina,630
girona,630
pamoza,629
vili,627
ŵalongozgi,624
ŵanalume,622
ntcheu,621
university,619
ukuru,617
aragatsotn,616
kusazgapo,615
northern,614
congo,605
sono,598
international,598
ndi,598
california,595
styria,595
suzgo,593
likaŵa,591
albania,591
nambala,591
tyrol,585
peninsula,582
union,580
mulara,580
ndege,579
lina,574
azores,572
muwuso,571
madeira,571
pakuti,570
chikusazgapo,569
maseŵero,565
yinyake,563
pera,561
president,560
