word,count
no,66272
mu,43975
ne,43792
na,25475
so,22434
de,20427
ho,15330
ghana,13050
ma,11275
afe,11193
bi,6840
kyer,5595
fo,5341
nso,5289
abato,5153
mmarahy,5097
of,5035
mmienu,5026
amany,4790
mantam,4653
man,4504
ns,4305
adwuma,4288
yi,4279
saa,4269
da,4205
kuo,3980
nyinaa,3912
nyaa,3866
nea,3862
mp,3725
ka,3711
fa,3699
mpem,3684
maa,3618
mma,3551
bere,3494
ahorow,3477
nnipa,3448
mfe,3424
di,3380
as,3328
firi,3270
ase,3165
se,3132
mmrahy,3104
te,3025
hw,3002
hy,2918
dii,2861
din,2797
apem,2636
to,2546
pii,2534
ay,2518
kan,2509
twe,2487
kwan,2404
san,2397
woo,2381
party,2362
fr,2343
anaa,2317
biara,2265
sukuu,2253
nne,2250
ha,2219
dwuma,2210
mmoa,2185
the,2182
du,2179
national,2178
baako,2133
fam,2130
ab,2099
ba,2097
ara,2014
nsa,1981
ber,1975
tumi,1973
bagua,1951
firii,1938
bosome,1909
gyina,1904
ni,1874
ahodo,1837
new,1833
nk,1818
paw,1795
and,1785
ahankron,1749
soa,1722
adi,1709
kasa,1704
akyi,1689
bea,1688
abatow,1657
nhyehy,1645
too,1631
nan,1616
nsia,1611
kuro,1595
aduonu,1583
aba,1559
democratic,1553
ama,1537
at,1534
obi,1515
ntam,1515
adwumay,1492
mm,1491
aban,1491
si,1481
nanso,1480
muni,1470
congress,1456
kuw,1449
den,1447
nson,1430
nkron,1430
krataa,1378
ade,1362
sii,1361
patriotic,1361
dodo,1348
fi,1337
suap,1326
mmara,1325
badwam,1292
wiase,1259
nkonim,1255
gyinaa,1252
nkyeky,1240
ny,1235
ak,1222
badwa,1215
wo,1209
badwani,1201
asetra,1199
mmi,1194
nti,1191
beae,1181
baa,1177
aman,1157
university,1156
foforo,1150
menyaa,1141
adwene,1140
mmea,1131
sen,1109
ano,1077
atifi,1056
baabi,1052
edi,1050
nhwehw,1045
taa,1027
titiriw,1010
school,1010
fata,996
ahy,981
akyiri,977
num,977
mansini,973
nhomasua,964
aduokron,962
nnwom,950
nnan,945
yare,941
adesua,939
nam,932
panyin,924
abrab,918
afahy,915
nya,906
nkyer,897
kaa,883
afoforo,880
afrika,871
sikas,865
asante,857
mfitiase,853
wom,849
ndc,848
onyaa,844
anim,843
amansan,839
nt,835
hokwan,834
nnwuma,833
abodin,826
gye,824
south,822
aduasa,820
accra,813
soafo,804
ankasa,795
asase,792
akan,789
in,789
dodow,789
abusua,788
amanaman,788
dwumadie,785
ansa,784
nw,783
sika,781
eyi,779
people,777
united,774
nn,769
mpesua,761
npp,756
sane,749
tee,744
yii,741
abak,739
abasob,738
boa,735
aduonum,734
john,733
badwafo,733
biako,730
ananmu,721
aduosia,715
som,714
pa,710
efi,710
anaas,707
ntoaso,701
afei,698
africa,696
mmofra,694
aduanan,693
tam,692
bae,689
coast,685
manfo,684
tow,682
ofi,682
kosi,681
nno,680
nni,678
abien,677
mmaa,676
hia,674
fii,673
agye,672
sukuup,670
nna,669
amammer,667
anya,664
convention,662
fofor,659
re,657
asetena,648
emu,644
sono,642
ankorankoro,639
odii,638
akyer,638
nsu,638
mmeae,635
nana,629
esiane,627
republic,626
hyehy,625
nom,622
nkrumah,622
ani,621
awo,616
tete,606
denam,603
college,598
manpanyin,598
nten,598
owura,592
tekiti,590
anan,585
nkunim,580
paa,579
tebea,579
twer,578
west,576
nsuo,575
betumi,573
kwame,572
amanne,571
nipa,570
kokoram,565
nnibea,562
nhw,560
bio,559
hwehw,559
koraa,558
aka,554
for,554
nwomasua,547
atwa,544
apuei,542
daa,541
mfua,540
akwan,539
nsakrae,538
sa,537
akonnwa,537
aduoson,536
east,535
mprempren,533
nem,533
akwahosan,529
dan,527
ky,520
aha,520
soro,518
kristoni,517
aduow,515
mansin,515
yiye,512
aho,511
ko,510
mmer,507
abusuab,507
dwumadi,506
ahyia,502
sua,502
high,500
nnw,497
baguani,494
hye,490
nhoma,489
th,487
nkran,480
addo,479
boayikuw,479
sini,475
hene,474
north,474
mfa,466
cape,464
nkongua,464
boro,463
ahafo,460
gyee,457
mfonini,455
nkwa,453
panin,451
akyire,447
ahyehy,441
senior,440
asraafo,439
mmarima,438
barima,437
po,435
lb,435
egyina,432
mpasua,432
tu,430
edin,428
awofo,428
region,428
institute,428
adehyeman,421
dibea,420
african,420
ghanani,418
kane,416
kosii,415
bre,415
odi,413
kae,412
wfo,412
wobetumi,412
amanny,411
yie,409
kurow,409
kofi,404
aduane,401
mmaranimfo,400
mampanyin,399
gyinabea,399
papa,397
dwumadibea,393
adwumakuo,390
tr,389
ashanti,388
faa,386
nsrahw,385
maame,384
science,384
ebia,383
gu,381
nky,379
hemmaa,378
fra,377
toe,377
akyirep,375
london,375
kor,374
ogyina,373
bachelor,373
states,372
aware,369
manpanin,369
nananom,368
sohw,368
bom,367
afa,366
ná,366
ateasefo,362
abadiakyiri,362
kwankyer,361
tia,361
fie,358
mmiensa,358
nkabom,358
ato,357
haw,354
wei,354
nkitahodi,352
mfiridwuma,350
nkrataa,347
international,345
mensah,345
akansi,345
rek,344
nwoma,344
mfinimfini,343
central,342
education,341
nimaa,340
december,336
wodi,336
temmufo,335
women,333
benfo,333
nimde,332
kunini,331
bono,330
me,329
adan,325
afeha,325
kyinii,324
eyinom,323
dua,321
su,321
yere,319
tiaa,317
anafo,316
mfaso,314
ban,313
owusu,312
waree,311
apam,310
kumasi,309
nhyiam,309
mufo,306
degree,304
adu,302
mmere,302
hu,301
afi,301
agyapade,301
enti,300
ananmusini,300
hamu,299
soronko,298
asiane,298
nkwammoaa,297
kakraa,296
bebree,295
awiei,295
apue,294
la,294
wee,293
nyansahu,291
gold,290
oforisuo,290
upper,290
