word,count
но,9622
тӥ,6340
арын,3021
удмурт,2642
ёросысь,2213
гурт,2054
удмуртиысь,1949
со,1777
вал,1444
ӟуч,1255
россиысь,1237
семьяысь,1233
ог,1214
адями,1188
кун,1163
будосъёс,1115
интыяськемын,1066
ик,1051
кар,1010
кылын,1007
тодмо,977
лымшор,910
ысь,892
совето,891
шур,887
нырысетӥ,887
улон,851
пӧртэм,833
эквадор,833
калык,823
пыре,806
валэктонъёс,781
пичи,780
гуртын,780
ёрос,777
ар,753
та,740
орхидной,725
кылдытэмын,721
шунды,716
бадӟым,710
луэ,705
гуртъёс,687
солэн,681
сярысь,678
иськемын,655
улӥсьёс,645
америкаысь,642
ёрослэн,635
уйпал,625
интыос,622
ссср,620
озьы,598
луэм,590
арысен,584
вань,581
дано,577
выль,569
лэн,567
учыръёс,564
вордскизы,551
кулӥзы,548
толшоре,543
шуръёс,536
колумбия,536
дуннеын,534
видъёс,533
яке,532
будос,530
поселение,518
кылбурчи,518
мукет,512
трос,510
интыяськемез,502
адямиос,502
шоркарез,493
лыдъяськиз,488
шор,481
ке,477
кырӟась,477
нимыз,476
тужгес,475
сяськаё,468
нош,462
бразилия,462
понна,461
кыл,454
будӥсь,446
ижысь,439
луиз,435
каръёс,432
чӧлсконъёс,430
пӧлысь,420
завьял,419
нимо,417
центрез,416
америкалэн,414
аръёсы,410
александр,408
артист,403
км,401
латин,398
ужась,389
туж,385
аре,384
алнаш,380
кык,372
праздникъёс,368
финн,367
муниципал,367
быдӟым,366
вотка,366
актёр,366
соос,364
пал,363
кутскиз,361
пурга,361
валтӥсь,360
усе,357
сарапул,356
иськем,355
ож,354
сое,349
кузьдалаез,347
писатель,347
усьтэмын,343
бере,340
улос,336
ӝуждалаез,331
ӝужан,325
россия,324
пуксён,323
вылын,321
республика,319
гинэ,318
черкогурт,318
бызе,318
сша,314
сюрс,313
иж,310
пермь,308
улэ,308
улосысь,304
ёросын,302
пужым,300
административной,298
владимир,291
али,288
одӥг,287
бускельёсыз,283
палаз,282
луыса,282
шуыса,280
николай,278
франциысь,278
аръёс,277
киров,276
африка,275
дурын,271
карын,271
чугун,265
сюрес,263
перу,263
композитор,258
шуре,258
горд,256
кылъёс,256
отын,255
буква,255
удмуртиын,252
немец,248
на,247
англи,247
калыккуспо,245
нырысьсэ,244
михаил,243
гожъяськись,238
писпу,238
мексика,237
татын,236
нырысетӥез,235
вылэ,233
арозь,233
усьтӥськиз,233
коста,232
музъем,230
европа,229
потӥз,229
журналист,229
рика,228
ужа,227
дыръя,225
азилэн,224
пала,221
шаерысь,221
можга,220
школа,219
политик,219
республикаысь,218
президентэз,218
луо,217
вылӥ,216
союзлэн,216
кудӥз,214
ужаз,213
уг,213
наукаосъя,211
тӧдьы,211
дунне,210
быдӟалаез,210
интыяське,209
англиысь,209
писпуос,206
угор,206
дышетӥсь,205
вашкала,204
сергей,203
китай,202
ужаны,202
лыдзы,201
сяна,201
актриса,201
ижевск,200
ас,200
одӥгез,199
культура,198
туала,198
соин,196
шоркаръёс,196
америка,196
куинь,194
ёросъёс,191
героез,191
шудӥсь,190
физик,190
интыяськем,189
диаметрез,188
сямен,187
европаысь,187
иван,186
пӧлын,185
быдэс,183
сьӧд,181
пыр,180
лауреатэз,179
тодосчи,177
дуннеысь,176
вылэм,175
нылпи,174
пыриз,174
венгер,173
модослэн,173
кылдытӥсь,172
ортчиз,171
удмуртия,170
коми,170
сётэмын,170
черкогуртын,170
улӥсьёслэн,169
глаз,168
ним,167
республикалэн,167
пётр,166
куаро,166
африкаысь,165
дорын,165
инты,164
ын,164
огазеяськем,164
улӥсь,163
француз,163
ӧз,163
сӥзем,162
алексей,162
музей,159
нырысь,159
грах,159
пол,159
уасср,159
премилэн,159
венесуэла,159
режиссёр,159
завод,158
бордын,158
ӵоже,158
литература,157
ӵош,157
василий,157
ӧвӧл,156
вакытэ,156
кияса,156
собере,156
атыкай,155
азьвыл,154
историез,153
аслаз,153
ува,153
шормуӵъёс,153
кылдытэт,153
эстон,151
тӧроез,151
украинаысь,149
ижын,148
зэмос,148
турциысь,148
германиысь,148
рсфср,146
франция,146
муско,146
алфавитысь,146
огъя,145
пусъемын,145
кыкетӥ,145
нуналыз,145
удысын,144
официальной,144
зарезь,144
пыриськись,144
филиппинъёс,143
советской,142
боливия,142
ватка,141
алфавит,141
философ,139
кӧня,138
басьтӥз,138
куд,137
дыр,137
турок,137
де,137
удмуртилэн,136
калыкез,136
сусыпу,136
камбарка,135
россиын,135
вордӥськиз,135
польшаысь,134
художник,134
олимпи,134
куспын,133
каракулино,133
математик,133
шаер,131
уже,131
культурая,131
суредась,131
федерациысь,130
кылдӥз,130
африкалэн,130
улослэн,129
юрт,129
ялӥз,129
дэри,128
борды,128
люкетэз,128
якшур,127
виктор,127
ожгар,126
эгра,126
бадӟымез,126
инженер,125
таӵе,124
соку,124
наука,124
история,124
турцилэн,124
бигер,123
туннэ,123
йӧскалык,121
италиысь,121
юрий,121
нобель,121
ленин,120
ласянь,117
удмуртъёс,117
поттон,117
город,117
емышъёс,117
вуж,116
сайтэз,116
кивалтӥсез,116
ньылпу,116
пужымъёс,116
мурт,115
станция,114
кивалтӥсь,114
кутскизы,114
карысь,114
театр,114
санкт,113
министр,113
доктор,113
карлэн,112
улӥсьёсыз,112
автономной,112
сср,111
аръёсын,111
палан,110
кутске,110
павел,110
кинорежиссёр,110
дышетон,109
интыын,109
панама,109
публицист,109
эмъюм,109
кизнер,108
кылчи,108
асср,108
музъемъёстӥзы,108
шаркан,107
пуктэмын,107
ялэмын,107
кириллицаысь,107
рок,106
солы,105
ини,105
