word,count
на,633140
та,420060
до,324695
року,238384
за,236087
що,227141
від,186244
для,137715
не,137287
також,116876
як,115553
україни,108476
році,105071
його,96233
про,91053
було,86419
населення,80283
був,78943
під,74793
км,70506
із,69808
або,66613
він,65692
після,63799
час,61684
області,61142
село,59516
по,57374
села,56717
які,56414
посилання,55140
примітки,53876
це,53625
при,50739
були,50673
який,50001
була,49099
де,49039
але,48989
об,47720
району,46471
осіб,45363
років,44893
через,41776
її,41593
див,40841
історія,38587
яких,37897
селі,37104
міста,36545
україні,35502
тому,34176
їх,33426
близько,33128
яка,32745
пам,32241
так,32117
вони,30797
між,29988
війни,29665
має,29231
український,28349
того,27928
рік,27694
століття,26926
муніципалітет,26897
коли,26627
ст,26427
сша,25957
зі,25763
лише,25552
української,25370
ще,25263
цього,25069
джерела,24859
них,23891
область,23888
муніципалітети,23803
інших,23658
район,23650
ради,23609
життя,23508
цей,23489
вона,23233
серед,22832
література,22800
місто,22554
став,22536
території,21985
може,21801
чи,21700
роки,21538
ім,21510
роках,21292
складу,21108
один,20584
початку,20358
становить,20337
зв,20246
срср,20151
інші,19719
список,19176
схід,18963
відстані,18879
можна,18582
франції,18557
липня,18361
січня,18174
багато,18025
землі,17987
тільки,17808
щоб,17757
над,17687
вже,17654
якого,17643
зокрема,17552
особи,17546
одного,17515
разом,17481
імені,17245
го,17130
українські,17089
червня,17065
департаменту,17035
річки,17019
участь,16957
історії,16912
регіоні,16853
бути,16838
тут,16825
наук,16756
інституту,16741
цьому,16605
назва,16592
наприклад,16588
київ,16570
захід,16417
проти,16375
місце,16280
частина,16202
університету,16010
період,15986
сайті,15932
культури,15836
два,15711
якщо,15448
центр,15440
рр,15421
всі,15401
кількість,15328
мають,15317
перший,15291
національного,15288
березня,15200
вересня,15174
проте,15074
травня,15058
розташований,15001
те,14891
той,14834
районі,14805
дуже,14769
складі,14697
церкви,14596
церква,14580
грудня,14569
жовтня,14517
серпня,14496
місті,14319
однак,14296
згідно,14266
пов,14240
значення,14214
більше,14211
урср,14117
ін,13999
розподіл,13991
світу,13880
листопада,13879
понад,13854
біля,13783
роботи,13751
мови,13750
південний,13698
українська,13664
іван,13497
розташоване,13493
квітня,13447
ці,13362
мовою,13354
демографія,13353
член,13235
українського,13234
без,13198
тоді,13182
тис,13157
свою,13131
системи,13122
протягом,13027
армії,12983
три,12955
часу,12952
економіка,12936
різних,12913
можуть,12905
саме,12860
потім,12829
кам,12829
росії,12764
лютого,12736
згодом,12679
двох,12631
муніципалітетів,12620
людей,12616
такі,12598
тощо,12555
розвитку,12478
пізніше,12431
часто,12350
то,12328
крім,12272
голова,12234
сусідні,12229
люди,12226
школа,12218
країни,12199
знаходиться,12177
рада,12111
все,12102
україна,12051
оскільки,11967
даними,11929
імперії,11862
якої,11809
майже,11777
єкти,11720
школи,11656
ніж,11601
відповідно,11556
провінції,11548
йому,11535
якому,11449
навіть,11448
держави,11436
мова,11430
базі,11393
свого,11382
яке,11368
департамент,11357
володимир,11353
нього,11141
чином,11122
всіх,11119
стала,11110
цих,11043
кілька,11019
деякі,10813
честь,10723
хоча,10696
північний,10696
пункти,10657
станом,10635
назву,10605
млн,10594
світової,10572
типу,10555
групи,10537
одним,10470
отримав,10461
микола,10460
день,10448
олександр,10440
створення,10421
відомі,10374
ця,10360
працював,10311
частини,10254
себе,10236
діяч,10209
італії,10097
географія,10080
дві,10071
діяльність,10065
населені,10062
права,10062
громади,10049
щодо,10034
влади,10004
місцевого,9987
перед,9984
своїх,9982
мав,9971
допомогою,9934
цієї,9835
народився,9835
тим,9834
язку,9828
сім,9778
нині,9775
організації,9757
яку,9735
південь,9679
академії,9677
повіту,9645
львів,9629
таким,9611
російської,9563
тобто,9553
перша,9540
погода,9531
міст,9470
праці,9454
віком,9423
більш,9392
