word,count
va,461389
bo,277240
ko,155829
bilan,149592
yil,130186
qo,113212
yilda,107470
uchun,97891
to,85501
manbalar,79439
joylashgan,72997
lgan,69619
ta,65900
bir,64223
bu,60714
km,58178
aholi,53106
nafar,49178
ham,48834
lib,48486
so,46804
birinchi,46590
qiladi,45967
uning,45508
yo,43234
ma,42138
edi,41919
eng,41512
tomonidan,39994
kiradi,39332
tarkibiga,38253
yoki,37311
ngc,37167
yangi,36997
maydoni,36838
tug,36691
sifatida,35833
aholisi,33683
havolalar,33342
har,33274
shaharlari,31681
istiqomat,31626
kishi,29555
ushbu,29506
deb,29185
yilgi,28682
yicha,28400
boshqa,28376
ng,27381
esa,27361
umumiy,27339
geografiyasi,26462
ic,25901
ldi,25579
shuningdek,25027
qarshi,24917
ga,24863
tashkil,24449
milliy,23984
mumkin,23564
olib,23370
tumani,23326
davlat,23234
ega,23104
zbekiston,22968
dengiz,22867
oyida,22827
da,22389
ishlab,21879
qildi,21383
yilning,21323
keyin,21117
mavjud,21060
katta,20923
ra,20882
kommunadir,20662
ikki,20354
ular,20296
ikkinchi,19676
yildan,19346
bog,19096
ilgan,19048
asosiy,18929
omborida,18854
rtacha,18808
yaxshi,18614
terma,18594
asl,18504
shu,18387
balandlikda,18310
bor,18200
qilish,18115
mintaqasida,18011
sathidan,17977
xalqaro,17893
qilgan,17863
haqida,17804
jahon,17720
etgan,17570
ayollar,17012
kvadrat,16819
bosh,16804
etilgan,16637
zichligi,16623
rasmiy,16575
nashrida,16552
katalog,16466
jamoasi,16375
zining,16077
ro,16029
qayta,15896
kuni,15850
etdi,15820
the,15708
kilometrga,15575
suv,15188
hududi,15074
yinda,15024
yillarda,14984
ladi,14767
yana,14743
dan,14727
kabi,14711
futbol,14657
lga,14617
ning,14486
qishloq,14363
ni,14332
biri,14154
yuqori,14148
liq,13888
li,13832
shahar,13820
ammo,13632
de,13423
ilganlar,13401
san,13316
zi,13277
uni,13250
ba,13224
rta,12962
marta,12907
toshkent,12805
barcha,12740
faoliyati,12607
viloyati,12569
okrugi,12511
oldi,12409
ularning,12362
turli,12350
orqali,12349
qilingan,12331
aqsh,12198
mag,12103
olish,12041
olingan,11835
sayti,11829
madaniy,11806
fransiyaning,11760
respublikasi,11697
rtasidagi,11528
hisoblanadi,11434
departamenti,11338
shundan,11254
davomida,11182
shahrida,11068
olgan,11034
iborat,11015
hamda,11007
germaniya,10617
vafot,10597
rossiya,10495
alaba,10495
nomi,10472
tgan,10456
ishtirok,10309
keyinchalik,10241
og,10118
paydo,10117
lon,10075
qabul,10044
sha,10017
hisobida,10003
aqshning,9998
shahardir,9952
tog,9905
xo,9823
lim,9791
kelib,9771
ri,9692
amalga,9682
qismi,9653
obyekt,9572
obyektlari,9500
yerda,9469
chiqdi,9377
juda,9341
kiritdi,9265
jumladan,9255
cho,9201
yillik,9173
birga,9172
asosan,9158
lishi,9143
tarixi,9130
rinni,9125
lsa,9111
janubiy,9072
shtatida,9068
shimoliy,9047
asr,9016
yili,8968
ynagan,8937
amerikalik,8931
ikkita,8909
ilmiy,8904
asosida,8893
insonlar,8889
shartnoma,8875
keng,8861
yulduz,8835
yevropa,8833
gol,8830
tufayli,8781
yaqin,8767
yarim,8762
amerika,8747
kichik,8741
yashayotgan,8735
lub,8731
keyingi,8725
yirik,8712
faqat,8644
mashhur,8539
tashqari,8532
xizmat,8510
of,8502
plab,8467
biroq,8463
yin,8458
lumot,8416
etib,8386
at,8356
unga,8353
davom,8351
osiyo,8180
qilib,8171
xalq,8159
quruqlik,8149
yilgacha,8141
tdi,8102
lum,8087
lekin,8064
harbiy,8014
berdi,7968
kerak,7958
do,7919
mo,7916
chempionatida,7866
ming,7831
kubogi,7782
uch,7773
buyuk,7763
klubi,7725
etadi,7720
oladi,7717
xil,7689
markaziy,7657
yordam,7649
emas,7648
professional,7645
italiya,7617
qolgan,7589
oltin,7587
me,7528
muhim,7452
jamoa,7452
hozirgi,7436
boshladi,7315
chempionati,7252
demografiyasi,7250
ravishda,7242
yerida,7235
germaniyaning,7209
orasida,7152
oldin,7146
hosil,7117
sobiq,7107
arbiy,7098
ortiq,7086
beradi,7065
ish,7061
provinsiyasi,7053
ilk,7038
holda,7038
yillar,7030
an,7008
necha,6993
may,6985
qilindi,6979
ijtimoiy,6970
la,6966
nasa,6945
kiritilgan,6919
sharqiy,6908
adabiyotlar,6824
kelgan,6816
million,6800
ichiga,6791
al,6790
mahalliy,6769
uchinchi,6672
ombori,6666
qarang,6651
maydonga,6646
keldi,6607
butun,6587
mavsum,6579
maydonidir,6569
davrida,6567
markazi,6553
in,6543
chunki,6537
yog,6531
qanday,6517
turkumidagi,6504
shma,6490
qirg,6473
sport,6453
oliy,6432
boshqalar,6430
beri,6394
tez,6393
database,6380
uchta,6356
tekshirilgan,6350
soni,6337
ayol,6317
tipli,6307
vizier,6283
extragalactic,6282
simbad,6273
zosi,6221
shaxsiy,6215
yer,6161
odatda,6161
rtasida,6151
zbek,6128
shunday,6125
vaqt,6125
iyun,6111
sovet,6103
align,6094
ynadi,6081
rus,6077
zbekistondagi,6048
davri,6037
xitoy,6024
keladi,6017
mart,6011
ingliz,6006
kmdir,5969
chiqarish,5965
maxsus,5933
siyosiy,5918
ida,5908
ishlagan,5893
himoya,5889
faoliyat,5888
egalladi,5881
qozog,5867
ylab,5852
klub,5845
ichki,5843
aylandi,5834
qadar,5784
ochiq,5766
chmas,5756
ostida,5724
taxminan,5706
viloyatining,5701
oq,5695
yosh,5692
kommuna,5644
ispaniya,5643
tashqi,5614
nggi,5611
tkazdi,5593
ijro,5592
faoliyatini,5588
yig,5586
ya,5570
jamoasiga,5569
sir,5529
masalan,5506
boshlab,5468
iston,5466
nisbatan,5459
go,5456
universiteti,5446
liga,5443
avgust,5414
jamoasida,5408
natijasida,5403
mavsumda,5377
bundan,5348
dastlabki,5340
on,5331
arxeologiya,5323
haqidagi,5319
meros,5313
qizil,5268
iyul,5264
hech,5264
nashr,5256
pincha,5254
debyut,5238
taklif,5224
uzoq,5214
filmlari,5214
rt,5207
left,5204
temir,5185
etish,5176
iqtisodiy,5164
chiqqan,5148
boshlagan,5129
gacha,5112
film,5107
proq,5105
yanvar,5103
ziga,5084
yaponiya,5059
tuman,5023
qurilgan,5003
qishlog,5001
zamonaviy,4983
harakat,4983
savdo,4977
sotib,4962
galaktikadir,4948
britaniya,4922
ligasi,4917
tumanidagi,4879
mukofoti,4876
sababli,4875
unda,4870
ichida,4870
futbolchi,4869
style,4848
qora,4842
shahri,4835
safida,4835
bolalar,4825
qal,4819
taqdim,4810
berilgan,4806
yoshida,4800
italiyaning,4800
sazovor,4799
llab,4785
etganlar,4768
paytida,4763
yinida,4760
jild,4756
rol,4752
chiqarilgan,4749
kuchli,4746
lmagan,4743
nechta,4739
guruh,4738
ozarbayjon,4736
qadimgi,4719
oktabrda,4700
tarixiy,4696
text,4689
xos,4687
kashf,4680
bitta,4680
filmida,4680
oxirida,4672
chib,4666
fransiya,4659
york,4652
yoshgacha,4638
bag,4633
rin,4629
zini,4623
otasi,4623
dastlab,4613
boshqaruv,4609
berish,4604
and,4591
limi,4589
undan,4578
urushi,4574
tegishli,4573
imzoladi,4573
county,4567
iste,4556
ii,4546
aprel,4535
buxoro,4529
noyabr,4508
ustidan,4507
havo,4497
onasi,4494
prezidenti,4475
nyu,4460
sanoq,4456
lar,4446
sh,4435
ularni,4432
bunday,4426
sistemasida,4415
hayoti,4401
agar,4399
mayda,4394
suratga,4393
fevral,4375
dekabr,4373
kam,4367
bergan,4364
yanvarda,4351
yagona,4342
tarqalgan,4326
yoshlar,4317
uy,4315
musiqa,4314
qon,4310
