word,count
de,401807
el,241602
ła,178815
del,157063
xe,95580
che,84339
in,81974
departemento,68427
altri,60775
parte,57977
on,57641
projeti,56981
inte,56655
comuni,56472
comun,55300
fa,55109
la,54673
evołusion,54060
rejon,43558
demogràfega,42603
abitanti,37879
fransa,34912
łe,34454
da,31921
un,29618
par,27867
foresti,25515
ga,24312
co,23789
se,23547
na,22326
ze,20154
sità,17645
al,17484
provinsa,17286
so,17015
provincia,15976
dei,15757
le,12913
sito,12663
linganbi,11909
łigamenti,11684
anca,11683
ofisiałe,11572
dal,9946
situà,9920
foreste,9478
łigadure,9042
spagna,8826
comunità,8725
autònoma,8200
pì,8075
stà,8073
ani,8017
et,7898
ghe,7839
no,7593
distreto,7375
sta,7210
est,7108
chel,6540
vien,6390
di,6295
demografica,6227
come,6159
stato,5732
ma,5617
demografega,5462
nova,5358
alpe,5284
grand,5236
dopo,5219
france,5121
san,5025
prima,4891
the,4854
do,4701
nord,4665
saint,4601
fin,4541
en,4539
cofà,4456
alta,4427
ositània,4414
rodano,4386
acuitania,4242
an,4156
su,4079
alvergna,3925
sècoło,3909
secoło,3877
hauts,3836
morti,3753
zera,3654
franche,3646
comté,3645
bourgogne,3643
loire,3616
avegnimenti,3534
só,3481
nome,3399
ai,3361
romani,3332
primo,3305
nasesti,3305
tra,3298
sto,3214
casteja,3207
canton,3203
col,3173
il,3141
guera,3099
sud,3065
stati,3019
regia,2854
dì,2818
sentro,2792
ano,2739
tel,2718
intrà,2716
fora,2692
maritime,2667
seine,2660
notasion,2645
moselle,2638
km,2616
austria,2572
normandia,2532
pyrénées,2479
leon,2427
dai,2424
marne,2391
una,2287
sia,2285
pi,2262
loira,2262
venesia,2260
saône,2243
fato,2240
film,2240
of,2233
vałe,2201
ghea,2186
grupo,2163
tuti,2160
storia,2128
pol,2099
gà,2096
serie,2088
cata,2081
svisara,2072
sur,2060
mondo,1979
paso,1975
note,1952
jera,1909
haute,1902
ne,1894
uno,1883
area,1842
regno,1831
ii,1827
eure,1821
novo,1813
alto,1801
costa,1800
numeri,1780
calè,1779
comune,1761
presidente,1734
oise,1730
altre,1719
verso,1696
te,1690
via,1672
drio,1659
tuto,1656
unii,1646
non,1642
charente,1640
soto,1629
tre,1628
roma,1612
aisne,1608
gran,1587
metropułitana,1581
far,1579
più,1578
somme,1551
repùblega,1530
cui,1524
goerno,1515
sistema,1511
tanto,1509
metri,1505
va,1501
vita,1495
mar,1495
or,1471
drento,1452
gaveva,1450
re,1438
ovest,1434
bretagna,1430
senpre,1428
durante,1425
lombardia,1424
côte,1424
santa,1389
soło,1388
volta,1387
granda,1383
seconda,1378
italian,1370
teritorio,1368
ad,1358
contro,1354
forma,1343
oncora,1335
italia,1323
numari,1318
xera,1298
sensa,1295
piemonte,1294
