word,count
om,40646
da,14339
vl,13851
mödhe,12012
oli,11020
km,10804
lidnan,9600
lidn,8162
oma,8161
kirjamišton,6564
vn,6442
se,6276
venäman,5953
lidnad,5585
homaičendad,5299
kaikiš,5120
agjan,4770
eläjad,4702
sen,4526
vai,4433
ristitud,4142
vspäi,4007
sijadase,3733
irdkosketused,3714
lidnas,3429
eläjiden,3390
sait,3365
mugažo,3357
lugu,3211
rajonan,3124
kaik,3109
suremb,3096
oficialine,3037
ristitišt,3013
üks,2929
istorii,2867
eländpunktad,2740
kaks,2675
andmused,2667
geografijan,2557
valdkundan,2397
ru,2346
päiväl,2344
orhal,2337
aigan,2326
ei,2309
vll,2259
toižed,2249
läz,2248
jäl,2209
voz,2193
enamba,2160
keskuz,2135
rahvahad,2097
sai,2003
kel,1972
mm,1965
jogen,1931
rahvahanlugemižen,1924
täht,1912
man,1889
pandud,1881
matkad,1873
olmas,1851
avtotedme,1839
korktusel,1780
aluz,1717
tal,1702
fil,1691
mail,1686
sidä,1660
keskmäižel,1645
radab,1643
lidnümbrikon,1641
kelel,1626
pol,1576
al,1571
kuti,1568
administrativine,1550
nügüd,1537
žilo,1535
lidnankundan,1533
šingotase,1508
tuhad,1489
randal,1489
koume,1485
tazovaldkundan,1483
vodes,1445
eländpunktan,1413
voib,1321
sügüz,1301
tobmuden,1288
vozil,1274
statusad,1271
pämez,1271
kus,1268
eländpunkt,1259
galerei,1256
pind,1253
oliba,1251
ičeze,1247
saudud,1242
mad,1239
no,1238
aüv,1227
ghe,1220
edel,1165
vepsän,1145
opendusen,1145
hristanuskondan,1142
paneb,1139
rist,1128
mülüb,1099
ku,1077
lämuz,1064
voden,1054
suves,1044
pohjoižes,1043
keled,1036
kül,1034
nell,1005
ortodoksižen,1001
sünd,1000
klimat,997
sur,995
vaiše,990
ven,982
mln,982
tuh,980
jäine,977
professionaližen,974
keskmäine,960
pitte,954
kesken,952
sündnuded,946
suvhe,938
päiväspäi,934
niiden,932
saital,923
keväz,915
ezmäižen,912
eläjid,910
ezmäine,905
hän,900
päivlaskmas,899
hänen,896
päivlaskmha,889
žilod,881
keskes,876
vot,875
pälidn,870
ne,868
valdmeren,867
kerdan,864
ole,861
personalijad,844
rajon,842
ližaks,836
ohjastusen,836
the,829
pala,821
sadegid,820
žo,816
pohjoižhe,816
nimituz,816
lugun,808
ned,808
toine,800
ki,793
agj,785
päivnouzmas,784
venälaižed,778
ristituid,777
keskuseks,774
vs,770
sil,769
päivnouzmha,763
tagut,757
mi,754
lähembaine,754
aluzkundoiden,754
anglijan,741
külä,740
oiden,738
tobjimalaz,721
nimitihe,720
suvipäivlaskmha,720
lodeheze,719
viž,713
avaitud,713
jagase,713
moskvan,710
kacu,703
kul,700
nimi,692
akt,680
uz,675
sündnu,667
mainitase,664
transport,664
elädas,662
com,662
de,661
mülüdas,660
lidnankund,659
administracijan,658
raudtestancii,658
raudtedme,651
gov,648
ratas,644
sid,640
tv,640
leningradan,639
kahtenz,637
randan,635
tehtas,633
randoil,633
mas,632
radoi,630
kut,629
jumalanpertid,624
ühthine,614
lähembaižed,613
pen,612
kuz,608
kaiken,603
jogi,601
suvipäivnouzmha,601
lendimport,600
valdkund,598
kun,598
meren,595
vodeks,592
pajod,590
tegim,589
pohjoižpäivnouzmha,589
sadan,588
sodan,585
päl,583
jumalanpert,583
pühäpertid,582
miše,580
suvipäivlaskmas,580
vodel,580
küläd,578
rahvaz,575
tazovaldkund,574
kelen,572
sadal,571
joged,571
ottas,571
kilometras,569
tegimel,565
edeline,563
aluzkundad,563
ukrainalaižed,561
täuz,560
suren,560
erikod,557
an,557
nstü,554
lujas,553
ph,548
äi,547
kazmused,541
lodehes,539
ümbrikirjutand,538
siš,538
ka,537
rahvahidenkeskeine,534
bomad,531
nügüdläine,528
pindan,527
kändihe,524
tobmuz,522
sömtegimištol,519
bassein,518
lidnha,515
lidnümbrik,515
kud,513
lidnaspäi,513
parlamentan,510
avtobusad,499
kolledž,499
sätud,497
piduz,496
mez,495
piterin,494
rajonas,493
karjalan,489
ristitišton,484
biografii,483
evropan,480
elihe,480
nece,478
sm,477
vhesai,477
jagand,476
prezident,473
surtte,472
of,470
valičeb,469
administrativiž,468
francijan,468
mel,457
il,457
suomenman,453
levitadud,451
kundaližeks,448
pästtud,448
kudamb,446
ižandusen,445
kol,445
pohjoižpäivnouzmas,444
transportaks,441
sihe,439
reduku,438
agjas,436
niid,434
ližajogi,432
tehnikum,432
päjumalanpert,430
lidnümbrikod,428
koumanz,427
rajonanke,425
ümbrikon,425
hural,425
filial,422
seičeme,421
vologdan,421
sijas,420
latinan,419
suvipäivnouzmas,418
territorijal,417
ende,416
elokun,415
oiktal,413
pajatajad,413
kogoneb,410
territorialine,410
indijan,409
videks,407
toižen,406
suomen,405
keskusespäi,401
aleksandr,401
in,401
