word,count
ng,2459327
th,1072683
nh,950585
ch,664026
và,644566
là,577113
tr,524877
ph,413622
các,409877
có,377288
trong,369473
năm,361555
gi,270753
qu,264030
vi,227827
đã,220299
thành,207621
kh,207610
ti,206893
cho,202477
đi,199345
chi,187023
thu,182030
vào,171972
này,169827
tháng,169174
không,169001
hi,159809
khi,154533
bi,154371
nam,149209
công,145481
quân,137299
dân,134904
nhi,133932
chính,131083
ông,123996
nhà,123073
trung,122581
tham,121302
sau,120728
di,119747
ngày,117780
trên,117695
ra,115692
đó,114855
xã,110074
gia,100396
theo,97673
cu,97055
liên,95225
thi,92765
quy,92114
ho,90333
cũng,88104
tri,86688
nhân,86608
pháp,84382
làm,81729
anh,80219
ki,79097
xu,77859
huy,77209
hành,76341
quan,75737
hai,75570
do,73893
phát,71648
cao,71541
khác,68454
lý,68062
đô,67729
sinh,67588
hình,67345
văn,66064
còn,65552
tây,65406
ngoài,63745
viên,63308
nó,63050
cùng,62808
con,62672
cách,62249
khu,61579
lo,61553
tuy,61527
bình,61429
phía,61350
tên,61267
đông,60958
loài,60482
the,60016
hoa,59537
vùng,59458
giáo,57010
truy,56671
nghi,53804
tiên,52958
ngh,52776
of,51447
thông,50788
tu,50398
đoàn,49383
trình,48553
kho,48417
bay,47448
châu,47419
tích,46945
mà,46787
thích,46680
vì,46533
tính,46406
kinh,46179
ban,46118
chuy,45865
sĩ,45049
qua,44739
nguyên,44357
hoàng,44231
đây,44218
phân,44077
tác,44037
hàng,43674
hóa,43444
minh,43273
nguy,43132
nhiên,41992
km,41887
lên,41624
chú,41611
phim,41565
nghĩa,41420
chúng,40980
máy,40970
hay,40569
đánh,40361
thái,39575
thì,39454
li,39242
mi,38732
tranh,38519
bao,38224
danh,38188
toàn,38034
ba,37216
hòa,36618
thêm,35205
mình,34797
nên,33670
sách,33297
xem,32916
hà,32797
trang,32618
tăng,32524
năng,32290
lu,32148
phong,32104
chu,31590
an,31411
gian,31303
tin,31249
tâm,31110
sông,30817
thanh,30503
tàu,30119
bang,29556
phi,29547
trí,29389
nay,29227
vua,29208
nhau,29063
đình,28988
de,28890
bài,28658
âm,28545
đá,28280
thân,27994
tình,27770
đang,27589
nói,27535
dùng,27523
thiên,27179
phòng,27082
tiêu,26699
la,26465
dài,26313
đo,26243
tài,26198
ta,26188
giao,26088
thay,26007
cô,25978
thuy,25803
vũ,25507
binh,25439
bên,25426
báo,25147
giá,25098
ca,24679
sân,24431
bóng,24399
lan,23637
khí,23345
nhóm,23213
chí,23154
khoa,23096
bà,22930
tìm,22637
xe,22324
xây,22019
sáng,21905
tinh,21696
hoàn,21659
giáp,21591
mang,21587
in,21186
sát,20968
and,20727
vai,20647
tra,20637
dù,20538
quá,20507
lãnh,20445
lúc,20374
cung,20284
ngu,20231
mô,20230
du,20190
mùa,20174
so,20142
vô,20116
mã,19513
nào,19496
đóng,19481
long,19380
cá,19294
kim,19258
phái,19128
duy,18942
ghi,18922
âu,18826
chung,18781
chân,18775
hát,18772
bán,18613
su,18523
núi,18513
cây,18511
cái,18443
ký,18364
sao,18326
