word,count
de,88854
van,68935
in,52137
en,46528
is,16895
zyn,16445
die,12051
den,9127
ze,9051
an,8814
da,8386
een,8223
of,7958
ip,7775
te,7689
deur,6871
was,6310
vo,6232
met,5283
je,5242
joar,5123
es,5118
dat,5076
uut,4937
by,4865
der,4218
ook,4125
et,4084
vloandern,3984
nog,3788
nie,3755
west,3730
wierd,3656
me,3351
wordt,3197
mè,3154
er,3018
achter,3010
brugge,2874
wos,2815
vlamsche,2771
lik,2667
het,2637
up,2462
ie,2440
noa,2416
dan,2325
keunienk,2231
over,2226
mo,2155
frans,2091
gemêente,2074
ôok,2074
stad,2054
toet,2050
vele,2040
ligt,2032
plekke,2022
under,2015
moa,1974
noame,1936
tusschn,1923
ii,1877
ol,1849
kortryk,1830
sint,1828
êeste,1802
the,1798
nu,1797
mêer,1788
vrankryk,1704
wordn,1695
gestorvn,1636
geboorn,1621
teegn,1610
woarn,1598
tout,1579
yper,1567
ne,1559
externe,1547
êen,1493
were,1477
zeune,1450
karel,1447
fransche,1444
ounder,1428
ton,1413
va,1332
op,1324
no,1318
wel,1310
andere,1290
kwam,1265
dêel,1262
êeuwe,1253
roeseloare,1222
vor,1216
belgië,1201
ende,1193
voe,1192
stoat,1174
tyd,1166
gin,1166
nen,1164
komt,1159
keizer,1153
koppelienge,1144
twêe,1130
kunn,1129
loater,1128
erfgoed,1125
als,1114
hem,1101
drie,1097
jan,1093
moar,1075
woa,1068
familie,1064
sôortn,1063
mê,1033
oek,1030
styf,1025
land,1018
provinsje,1007
geschiedenisse,1004
dag,998
eeuwe,989
ryk,970
genoemd,969
leevn,969
groaf,967
em,958
surtout,957
europa,955
lodewyk,947
grotste,944
al,936
blanknberge,922
gebruukt,914
eur,912
round,909
kerke,892
binst,892
juli,886
iii,882
grôte,874
om,872
toe,861
wervik,855
zuud,854
juni,854
stn,852
dôod,851
doa,850
januoari,849
filips,848
gewist,847
volgenst,838
huus,834
zêe,832
veel,831
regio,828
ter,824
mor,823
bouwkundig,822
joartellienge,816
bestoat,813
gent,808
la,795
meie,793
september,788
menschn,787
brussel,779
vlams,777
belgische,775
môoslee,771
ols,769
nôord,768
moarte,764
dus,754
nederlandn,753
april,753
december,749
goan,748
wa,747
hertog,746
toale,741
vrouwe,740
dochter,740
voader,737
gebied,729
grenst,728
lyk,727
iengeland,724
and,721
oktober,717
riviere,716
joarn,715
nieuwe,712
kommn,711
willem,711
november,711
ogustus,706
gebeurtenissn,705
holland,703
sedert,702
stik,700
tot,698
spanje,695
heur,693
eit,689
hêel,681
km,681
bekend,678
februoari,678
voun,676
schryver,672
bourgondië,671
ste,667
moakn,663
wierdn,659
grôot,655
latste,651
gemêentn,649
begun,643
verschillige,642
kan,642
hendrik,632
lange,632
twidde,627
vier,626
voor,625
oude,624
zelve,620
doen,618
tegoare,618
werk,614
begost,613
maria,609
woater,608
goed,608
doagn,603
zo,599
hunder,594
nederlands,592
noar,590
orde,589
duutsland,584
dien,584
vanof,583
bitje,581
iv,581
amerika,580
stoan,579
mee,578
zuudn,577
christelikke,577
rounde,568
groep,568
gemakt,566
goat,566
na,564
oud,562
parys,559
nôordn,558
êestn,553
poar,552
mêeste,552
duutsche,552
nunder,551
omdat,546
as,545
departement,544
krêeg,540
sôorte,538
westn,537
binn,536
andre,535
website,534
slag,532
zien,531
antwerpn,524
rysel,522
hoofdstad,517
ostende,516
broere,513
landn,509
ôostnryk,506
omda,502
belangrykste,499
kalender,498
duunkerke,497
olle,493
inweuners,490
ôost,490
bekende,489
vô,489
soortn,488
vôorn,486
zeggn,483
groafschap,482
arroundissement,480
lyste,480
kunstschilder,480
trouwde,480
geslacht,479
rome,478
amerikoansche,477
coureur,477
werkn,476
paus,476
louis,474
chr,471
doar,470
verre,470
twi,469
meer,469
ôostn,468
oender,468
mi,465
ten,463
gebouwd,460
aan,457
zanger,455
streke,453
gekend,452
ik,451
vroeger,450
hèt,450
kykt,446
liggn,440
eetn,438
zou,438
stierf,437
ier,436
eign,435
niet,435
tv,433
kost,433
hen,432
iengelsche,432
le,432
steedn,429
gelik,429
makt,428
mêestol,428
hollandsche,427
weireld,427
êest,424
lank,423
jounges,422
frankryk,422
mêest,421
sommigte,420
museum,415
want,414
bestoan,413
busschn,413
spoansche,412
één,409
hèn,408
woar,408
nieuw,405
polletieker,404
toch,404
poperienge,401
vlamschn,401
buutn,400
boudewyn,399
periode,398
charles,398
robert,397
dichter,397
jean,397
plantn,397
stoatn,396
èn,395
iengels,392
grôote,392
rôoms,391
afrika,389
belangryke,387
noorderdepartement,387
duuts,386
ollêne,385
oorloge,385
itoalië,384
kant,384
john,384
officiële,383
getrouwd,383
speeln,379
ein,378
ca,377
broabant,377
moe,376
weunn,375
geweune,374
dêelgemêente,373
kastêel,372
rusland,372
woavan,371
club,370
acteur,370
keunienkryk,368
kust,367
grôotn,365
kêe,363
klasse,362
dorp,362
kwoamn,362
italië,361
philippe,360
francië,360
veele,358
oudste,357
ên,356
deure,353
weg,353
dr,352
republiek,352
grenze,350
zounder,349
ist,349
eiland,349
derde,348
bepoald,346
weireldoorloge,344
moeder,344
eirde,341
toaln,341
wilde,341
zit,340
ad,340
lotharingen,340
di,339
saint,338
klêen,337
schrikkeljoar,337
bêestn,334
zittn,333
luxemburg,333
ouk,332
roend,331
liet,330
miljoen,329
geleegn,328
site,328
carrière,327
officieel,326
verênigde,326
gregorioansche,325
krygn,324
margaretha,324
undre,324
hongareye,322
verdrag,320
koppeliengn,319
vuuf,319
werd,319
europeesche,319
azo,319
italioansche,319
ku,317
klêne,317
boek,317
goe,316
echte,314
uus,314
mens,314
klêene,313
luuk,311
makte,310
zie,309
hillig,307
zêeland,306
center,305
reste,304
geevn,303
eeuw,302
volgn,302
ge,301
gebruuk,299
medici,299
ossan,297
middn,297
to,297
eilandn,297
os,296
geografie,296
bergn,294
gienk,293
vormn,292
at,292
otto,292
macht,291
san,291
oe,290
moment,290
loatn,289
beziensweirdigheedn,289
nor,288
moetn,288
pooln,287
romeinsche,286
azië,286
henegouwn,286
èt,284
stroate,283
boane,281
ander,281
grote,281
voo,280
beste,280
mei,279
wok,277
juste,276
dikkers,275
boovn,275
langs,275
leger,274
kanoal,273
woarin,273
nem,273
etappe,273
lotharius,273
woadeure,272
hof,271
peter,270
per,269
volgens,268
on,268
olland,267
vorm,266
new,266
paul,265
gebiedn,265
firenze,265
uyt,265
leuven,264
minister,263
noamn,263
wit,263
zelfs,262
pieter,262
tour,262
zwarte,262
lopt,261
twiddn,260
ipgericht,259
wil,258
plekkn,258
ferdinand,258
oovre,258
johan,257
latyn,257
centrum,256
ploate,256
moet,256
haad,256
begunt,255
des,255
hertogdom,255
leie,254
china,254
albrecht,254
bykan,253
radio,253
gaf,253
lid,253
soms,251
had,250
dn,250
