word,count
in,134412
mö,43363
zifs,39344
binon,35847
km,27389
zif,24294
ün,21593
äbinon,18668
plu,17843
bäldoti,17753
lifayelas,17751
bäldotü,17693
us,17692
ela,16705
labon,16378
lamerikän,15398
mens,14639
äbinons,14325
patedik,14283
lifayels,14109
tat,13530
moteds,13261
tü,13124
topon,13058
lunetü,12940
videtü,12937
belödanis,12756
hiel,11816
sürfat,11627
de,11585
jü,11451
me,11142
plödik,10958
yüms,10919
pösods,10678
läs,10648
mans,10639
lemesed,10590
el,10534
lamerikänik,9067
deutänik,8225
litaliyän,7585
dramatans,7526
yels,7422
imdb,7354
lödanef,7249
su,7243
ädabinons,7240
demü,7194
topäd,7185
lödanefa,7176
pemotöl,7155
famüls,7139
pösod,7124
voms,7113
lomanefs,7109
bäldot,7103
äbinädons,7103
äsoelöl,7100
ädabinoms,7096
bidädas,7091
fransän,7001
utanas,6912
fa,6443
deadams,6186
äbinom,6130
binom,5376
linglänapük,5053
kela,4969
ma,4938
no,4667
yela,4588
pö,4302
polänik,4256
votik,4137
bal,3989
ziläk,3931
nen,3846
nüns,3793
dramatan,3708
taledavik,3705
lödanadensit,3701
jiel,3673
valodik,3669
famül,3663
pato,3638
famüla,3637
lölik,3629
timü,3629
älabons,3628
vat,3622
komot,3614
id,3610
sürfati,3587
vom,3586
keninükamü,3581
älödons,3579
pöpinumam,3578
census,3578
zao,3574
älifons,3574
bureau,3574
äbinädon,3571
bala,3570
gen,3567
pöpinumamabür,3566
himatan,3564
per,3561
valodo,3561
äfomons,3560
valasotik,3558
cilis,3557
lödöp,3555
dis,3555
bidäda,3554
latinans,3554
zänedo,3554
matans,3553
lödöps,3553
äkeninükons,3551
pädugons,3551
lomanef,3551
älödölis,3550
äkobolödöl,3550
lomanefas,3550
lödanas,3549
leigodü,3547
lomanefa,3546
pöfasoliad,3544
vietans,3541
vomas,3527
capita,3527
ädabinöl,3526
älaboms,3519
lemesedi,3519
famülas,3514
lindiyans,3511
blägans,3475
siyopans,3461
edeadöl,3412
futaglöpädans,3301
pasifeana,3197
nisulans,3196
rusänik,3106
as,3008
deutänapük,2982
brasilän,2865
län,2825
volapük,2768
filmportal,2742
dabinons,2695
dekul,2584
kel,2490
new,2425
bäsetaglöpädans,2333
binof,2219
deutän,2153
di,2086
yanul,2017
fransänik,1935
bioskopik,1880
noets,1865
balid,1842
spielmann,1818
mäzul,1814
pämotöl,1814
sigmund,1790
prilul,1780
teata,1755
mayul,1674
la,1674
volapükans,1652
futaglöpädan,1648
febul,1645
äbinof,1643
yunul,1626
pl,1619
lafabetik,1608
saint,1602
teatöpik,1597
televidadramatan,1596
ad,1582
tobul,1576
filma,1568
yulul,1557
volapükan,1551
filmpolski,1550
filmweb,1547
gustul,1507
setul,1500
do,1493
novul,1467
fedalän,1422
das,1419
rusänapüko,1418
san,1399
linglän,1382
von,1381
lombardän,1372
vödem,1341
the,1338
literat,1314
rigädik,1294
filmota,1275
at,1271
kalifornän,1263
yel,1257
york,1226
berlin,1197
teatadramatan,1185
bäsetaglöpädan,1170
cifazif,1149
volapüka,1131
ed,1119
der,1112
linglänik,1100
sur,1092
se,1089
pad,1062
grafän,1055
et,1016
nedänik,986
of,984
moskva,975
weltsprache,920
del,911
pro,900
são,890
loire,883
le,870
futaglöpädaklub,860
ohio,857
televidik,846
massachusetts,840
dokan,833
dabükot,831
soccerway,821
filmadramatan,821
hiela,818
televida,816
reinhard,813
warszawa,812
haupenthal,811
gased,807
north,800
spanyänik,789
verlag,782
city,776
pornabioskopik,775
florida,754
illinois,749
veneto,747
kanitan,730
pledon,729
calofik,728
santa,717
kanitans,714
polänapük,708
leipzig,687
rejidans,684
sevädik,680
football,672
litaliyänik,667
für,664
lautan,649
jenots,648
south,646
provin,637
labü,635
plo,619
haute,614
mayer,611
pelautöl,609
münchen,606
en,606
nulik,604
campania,602
nog,598
yelüp,597
lekaled,597
national,597
balmil,596
almanach,595
jöltum,595
alpes,595
verfasst,594
jahrgang,594
jölsejöl,594
dönu,591
päpübon,587
rio,587
piemontän,586
saarbrücken,577
nord,573
ädeadöl,570
park,565
teams,565
kniele,561
iltis,559
rupert,554
lösterän,553
rhône,547
sikileän,547
emilia,546
kim,545
täxasän,545
missouri,543
erste,542
editions,539
carolina,537
schoy,536
jahrzehnt,535
lautans,534
buchhandlung,534
dü,533
jveizän,533
kels,532
ueberlingen,532
lü,531
west,530
fin,523
ab,518
schleyer,512
kanadän,512
romagna,507
pensülvän,502
los,501
els,499
washington,499
sul,496
jersey,494
seine,492
rejidan,491
veütik,485
pas,485
okik,481
dö,481
fösils,480
paulo,477
omik,471
pämäniotom,468
calais,464
lösteränik,461
indiana,460
les,459
ko,456
minnesota,454
france,452
läns,445
bolitan,444
elaf,439
portugän,432
nem,431
maria,431
tel,424
älabon,421
net,417
vü,415
michigan,415
toskanän,414
wisconsin,413
st,400
binons,399
iowa,396
and,395
nüm,394
bolitans,394
paris,390
angeles,390
île,389
grande,386
kaled,385
pyrénées,384
dels,383
bayän,383
gregorius,381
