word,count
di,42454
li,37680
les,36178
des,32472
on,30663
est,26377
et,25024
do,21668
ene,19268
ki,18773
del,16957
dins,14601
avou,13303
po,13101
walon,12422
la,11243
il,7583
si,7578
so,7556
come,6667
nén,6537
ont,6494
el,6309
gn,6229
pus,6053
pa,5827
mins,5694
al,5540
walonreye,5312
eto,5229
eyet,4953
da,4627
djins,4626
stî,4572
sol,4563
anêyes,4551
esteut,4365
payis,4303
inme,4086
tot,4042
anêye,3887
èn,3835
ås,3830
francès,3639
sont,3554
minme,3519
ou,3390
ci,3314
fwait,3297
sieke,3136
ele,3026
sacwants,2980
no,2967
deus,2964
nos,2925
après,2922
fé,2861
ses,2723
de,2692
aveut,2545
bén,2471
tins,2471
vey,2457
walons,2444
ey,2443
co,2440
djoû,2431
sint,2420
ça,2409
sourdants,2390
dj,2380
va,2310
mots,2292
pout,2223
st,2192
cwand,2191
pol,2184
ôtes,2141
elle,2134
lidje,2101
esse,2101
ptit,2085
ni,2024
vî,1982
sovint,1980
foirt,1970
ôtès,1935
live,1927
ciste,1926
veye,1897
bråmint,1894
dji,1879
lingaedje,1861
ans,1854
limero,1847
monde,1834
province,1833
mwaisse,1773
vos,1772
çou,1763
dit,1762
mot,1759
istwere,1749
ôte,1749
leu,1724
inte,1717
tos,1682
fr,1659
bwès,1644
morou,1642
jean,1628
sins,1591
lu,1589
djoûs,1526
aiwe,1525
adon,1516
todi,1470
date,1470
prumî,1466
motî,1457
onk,1451
lingaedjes,1445
vnou,1440
disk,1437
cawete,1427
plaece,1427
ban,1421
nameur,1390
grand,1381
divant,1378
beldjike,1360
asteure,1357
moes,1349
viyaedje,1348
fén,1342
foû,1341
pådje,1340
biesses,1319
scrît,1307
en,1249
côp,1238
rilomés,1234
passé,1232
troes,1228
mete,1215
plaeces,1205
viyaedjes,1178
cisse,1177
lives,1177
metou,1176
pî,1174
awousse,1173
comene,1168
guere,1160
pont,1135
måss,1132
ancyin,1118
france,1106
pu,1105
scrijheu,1095
lome,1090
sôres,1080
may,1077
ces,1075
waloneus,1051
posse,1046
grande,1045
djulete,1031
skepyî,1022
fourit,1021
octôbe,1012
sourdant,1006
letes,997
avri,995
dire,993
decimbe,987
setimbe,982
tote,978
djanvî,977
calindrî,977
djun,976
totes,957
lès,952
cåze,935
bon,935
yeu,934
mitan,934
ptits,934
fevrî,930
etrevéns,930
djin,929
tchålerwè,926
vént,919
dispu,917
roman,916
walone,915
nôvimbe,907
rfondou,898
dizo,898
le,898
did,897
voye,894
famile,890
på,885
viebes,872
èt,870
joseph,866
pårti,861
prumire,856
estént,849
grigoryin,846
vîs,844
ls,843
leus,839
årdene,835
teyåte,828
ossu,823
côps,822
veyes,819
tere,815
rebané,813
lyi,812
zels,807
sistinme,802
feller,801
eplaidî,799
diyalectolodjike,794
kel,793
voltî,791
pitite,789
arondixhmint,786
tchansons,782
fåt,780
du,778
ome,769
end,768
djusse,765
deujhinme,764
qu,762
cis,761
scrijheus,759
costé,757
evenmints,750
ouve,747
çoula,738
motlî,738
accint,733
aveur,727
avént,726
waibe,721
tchanson,720
inglès,720
referinces,716
efants,709
mi,695
tecses,692
purade,689
arabe,689
hårdêye,687
scrijhaedjes,687
cwate,685
bodje,685
insi,671
tite,670
metans,665
lete,660
urope,656
maladeye,655
maladeyes,650
pårt,649
môde,649
tecse,648
gazete,647
nosse,647
vout,645
plantes,644
latén,642
aprume,641
hårdêyes,636
bokets,633
sôre,632
difoûtrinne,629
dvant,627
dilé,625
ddja,624
vont,624
aler,614
lomé,613
aiwes,611
etimolodjeye,607
tchaeke,604
boket,603
muzike,602
son,596
long,596
lon,596
sacwès,593
mestî,593
brussele,593
arimés,592
diviè,590
rén,590
belès,588
gros,587
miete,586
tuzance,586
bijhe,586
sacwantès,583
limeros,575
ovraedje,573
djivêye,568
eglijhe,562
moirt,559
km,559
mwaissès,555
croejhete,554
pîce,554
fiesses,552
divnou,546
evoye,546
scrire,545
mer,545
divins,537
dedja,533
pal,532
viebe,532
nonne,530
louis,527
metowe,524
passe,524
biesse,523
dès,521
dnêyes,520
må,519
au,518
grands,516
tiesse,514
ezès,509
fiesse,509
pris,507
cmincî,503
bas,503
imådjes,502
pîces,501
dene,498
betchfessî,496
coron,495
wiccionaire,492
lomaedje,491
pår,491
qui,491
antolodjeye,490
scrijha,489
codjowaedje,486
picård,486
hôt,485
pire,484
cmince,484
conte,480
motîs,479
viye,473
serè,471
awè,470
chal,468
solea,467
basse,466
cåzu,466
soce,466
lussimbork,466
djeyografeye,466
mahin,464
politike,463
ca,461
notes,459
eployî,457
rwè,457
passer,456
sicrît,454
mont,453
prumîs,453
hamtea,453
pitit,453
afrike,451
bedje,451
tchestea,449
espagne,447
divni,447
leye,443
marok,443
almand,442
trop,442
près,441
coûtchant,439
jacques,439
scrijhaedje,436
troke,435
pô,434
sorlon,432
lucyin,430
hinnot,430
trouve,429
