word,count
han,208322
nga,199039
ha,189917
an,145823
in,132757
mga,115585
ngan,75779
uska,51710
amo,46015
usa,45145
ka,44506
nahilalakip,43532
hini,43371
familia,43218
kasarigan,43012
genus,42091
species,40629
subspecies,38740
waray,37737
nakalista,37444
ni,37099
komyun,36637
ginhulagway,36372
hadton,36077
nasod,29820
rehiyon,25082
munisipalidad,23751
distrito,19473
departamento,19376
fransya,18621
bungto,14267
syahan,12721
de,10809
of,9189
lalawigan,8889
gawas,7977
sumpay,7905
malacostraca,7645
syudad,7348
annelida,7318
condado,6951
hin,6513
ini,6112
alemanya,5953
sumala,5898
gastropoda,5555
life,5204
estado,5172
catalogue,5046
porifera,4491
italya,4351
kladograma,4221
the,4198
comune,4058
et,4050
espanya,4021
la,3870
baryo,3676
tuig,3484
haute,3460
anthozoa,3376
mabibilngan,3162
awtor,3065
natawo,3061
estados,2896
unidos,2892
brasil,2852
pyrénées,2843
munisipyo,2839
komo,2834
namatay,2717
loire,2643
and,2607
san,2583
alpes,2519
provincia,2459
iton,2441
kapital,2439
saint,2395
uc,2350
rhineland,2344
palatinate,2344
kalendaryo,2302
canton,2242
ngaran,2217
gmina,2175
platyhelminthes,2163
bavaria,2144
nanhitabo,2100
austria,2098
hydrozoa,2079
nematoda,2059
animalia,2003
phylum,1948
rhône,1912
baranggay,1880
polonya,1800
hi,1719
mayda,1716
chilopoda,1687
marne,1685
hiton,1679
normandie,1668
probinsya,1663
pas,1637
calais,1633
puyde,1624
castilla,1607
slovakia,1585
philippine,1572
census,1567
midi,1545
kanda,1538
pinahalipot,1529
mahanungod,1527
pilipinas,1514
seine,1474
new,1450
bivalvia,1447
nord,1419
sur,1413
swiza,1390
na,1370
kan,1362
adlaw,1348
moselle,1320
isbn,1297
león,1265
ginbahin,1246
economic,1239
tikang,1237
côte,1232
tawo,1230
maritime,1226
schleswig,1223
do,1222
zone,1216
exclusive,1204
ugsa,1202
baden,1179
aquitaine,1163
lorraine,1162
württemberg,1151
pagdumara,1144
garonne,1141
