word,count
ci,31864
ak,14487
yi,12158
ko,9883
bi,9461
di,7941
mu,7562
bu,6953
na,6784
yu,6449
la,5870
gi,5447
ne,5233
xam,5219
ca,4871
te,4862
ñu,4689
gu,4548
ba,4502
ay,4443
am,3655
lu,3562
woon,3369
moom,3353
mooy,3201
li,2966
leen,2938
nu,2826
mi,2821
nag,2690
ngir,2608
ma,2593
nga,2490
ñi,2442
man,2289
yàlla,2158
nekk,2068
def,2043
ku,2026
ag,1896
ngi,1857
fa,1828
loolu,1765
ni,1759
it,1694
nit,1689
seen,1679
ab,1660
de,1645
wax,1640
moo,1545
gën,1491
daa,1469
ji,1405
muy,1376
walla,1364
atum,1355
waaye,1349
doon,1342
ñoom,1337
du,1305
wi,1303
waa,1269
benn,1225
bari,1221
nanu,1198
ndax,1187
koy,1169
bokk,1150
réew,1091
boroom,1089
fi,1062
mag,1060
daal,1046
ju,1022
tugal,1016
ki,1015
wu,1010
dëkk,955
ya,933
sëñ,932
yii,929
bëj,926
dul,909
ga,906
ñaari,904
reew,900
da,892
nañu,889
njëkk,884
koom,880
diggante,877
ginaaw,877
rekk,868
afrig,853
almaañ,816
ñuy,815
noonu,805
nekkoon,796
senegaal,795
sëriñ,794
mel,787
xare,774
gis,757
sa,752
bii,745
jëm,735
seeni,735
day,724
amoon,720
juroom,716
mujj,715
ciy,712
biir,692
at,692
aki,687
yoon,685
garab,685
itaali,675
sax,674
tax,660
koo,643
yooyu,642
si,640
dem,638
jullit,633
baax,632
naa,631
sama,613
fraans,608
jamono,607
àdduna,605
itam,603
suuf,594
yeneen,581
lislaam,577
aji,576
xeet,575
teg,571
cig,568
fukk,560
adduna,555
ëpp,554
defee,551
daan,549
kenn,540
ñoo,539
nguur,536
war,534
may,532
gii,520
kon,520
jëfandikoo,517
ñaar,512
lii,511
naan,510
yonnant,510
dafa,509
weer,509
doole,508
mbaa,502
su,501
ja,500
diine,496
bëgg,496
xeex,490
lañu,489
dal,486
reewi,486
xamu,485
way,483
kaw,480
sunu,471
lool,463
sanc,463
ñooy,462
nuy,462
ànd,458
mbooleem,454
yëngu,454
yaw,454
buur,444
amerig,443
jox,443
solo,443
aw,442
jafe,438
ame,437
loxo,435
àgg,433
wa,431
aju,423
otris,422
penku,418
des,413
wàll,410
lay,410
kanam,409
nee,409
bañ,408
lanu,407
tey,405
barab,405
dee,405
boobu,400
wolof,398
ñeel,396
mbëj,394
wàllug,393
maanaam,391
ñàkk,389
juge,388
bennoo,386
politig,384
niki,381
bind,381
bis,380
gànnaar,377
jël,376
feebar,376
tudd,375
saalum,373
britani,368
mbir,367
gox,365
araab,364
boo,364
làkk,363
ñatti,360
nangu,359
bopp,358
sañ,357
dara,355
angalteer,353
dund,344
amul,343
boppam,341
faraas,340
waral,340
dees,340
yenn,339
lépp,338
yaram,338
bees,337
ña,337
kawe,335
yàgg,334
kat,334
fu,334
indi,333
fukki,330
boole,329
yiy,327
gëstu,324
ndaw,324
jële,319
yees,318
dëgg,315
kap,312
jàng,312
buy,310
turu,308
xeetu,306
rawati,302
jot,301
jug,300
tay,295
téere,295
feeñ,291
biti,291
sos,290
yor,289
yal,288
fay,287
ndox,287
jëf,285
yépp,285
lëkkalekaay,285
ñëw,284
orob,284
bàyyi,284
yoonu,282
mën,281
dañu,281
anam,281
ginnaaw,281
jii,280
asi,279
tàmblee,278
sowwu,277
njariñ,277
dugg,277
dañuy,275
genn,274
dox,274
dëkki,273
defoon,273
sheex,273
et,271
xew,271
xool,270
xalaat,270
googu,269
dunu,269
doomi,269
mbooloo,268
réewum,268
tar,268
sancu,265
tuubaa,265
digg,264
mii,263
brusiya,263
taxoon,262
