word,count
болҗана,887
әмтн,822
җил,796
гч,767
җилд,696
билә,644
бал,616
өдр,501
җилин,500
бәәдг,493
төгәлң,485
орн,478
балһсн,460
сарин,442
шин,411
олн,399
орсин,391
нь,390
болхла,387
ниицәнә,384
заалт,383
болн,379
күртл,375
заалтс,373
лит,373
төрсн,371
григорин,369
немсн,369
йовдлмуд,368
өңгрсн,368
өдрмүд,367
литд,367
байруд,366
километр,364
улдв,364
күмн,357
то,352
келн,339
күүнә,324
үзг,297
район,271
хотл,266
заалһуд,260
бәәнә,258
заалһ,251
лав,248
эн,247
бәәдег,246
домен,245
сн,229
сайт,229
хальмг,228
цаһан,223
официальный,219
әмтын,218
администрации,216
улс,213
таңһч,212
снд,211
курсн,211
тосхгдсн,206
городской,190
ик,186
худам,181
орна,173
нег,163
балһсан,158
монгол,156
хотол,152
москова,147
цаг,146
тавцың,146
тер,144
хойр,139
мемлекеттік,136
республика,135
уга,132
города,130
гисн,127
ын,126
байна,126
экз,125
махбуд,124
на,122
бичг,120
тодо,118
хем,117
менделеевин,117
гиҗ,112
бичгт,108
өөрдин,108
юм,107
тод,104
холбооны,103
төрсын,102
йовудла,102
оху,101
өңгөрсан,101
нутг,100
тавцң,98
зах,97
һазр,97
курсан,97
снад,96
тосхугдасын,95
народы,93
зәрм,92
москвас,91
толһан,87
сан,86
харъяат,85
күн,85
линкс,85
кирилл,83
ангиуд,82
гче,82
эвед,82
словарь,82
болын,81
лат,81
энциклопедический,81
ил,80
кн,78
рабочий,78
улсын,77
энд,77
аль,77
ом,76
би,75
московский,74
ба,73
болна,73
тойг,73
подмосковья,73
ода,71
гидиг,70
болв,69
спб,69
брокгауза,68
цакцало,67
энциклопедия,67
ефрона,67
доп,67
онд,66
гидг,66
хар,65
томах,65
энэ,64
бөгөөд,64
биш,63
нутугин,62
орон,62
года,61
келнә,60
да,60
үзгин,60
монголын,60
бас,59
моһа,58
толһана,58
галик,58
дала,55
дунд,54
авад,53
краснодарин,53
априк,53
хамгийн,51
китдин,51
америкин,51
газар,50
тиим,50
сар,50
чигин,50
урһмл,50
хүн,49
бар,49
бәәҗ,49
нертә,49
туула,49
бичиг,48
байдаг,47
таңһчин,47
нутуг,46
нутгин,46
байсан,45
хот,45
цуг,45
көвүн,45
сән,45
эс,45
болҗ,45
км,45
оны,45
олон,44
мөн,43
делкә,43
төлә,43
иштгудин,43
баһ,42
хэл,42
үкр,42
һурвн,42
латин,42
по,42
болон,41
тегәд,41
өмн,41
терүнә,41
ноха,41
хөн,41
ар,40
их,40
темдег,40
ростова,40
дәкәд,39
болсон,39
энүг,39
улус,39
энүнә,39
баха,39
маань,39
мөргмү,39
эсв,39
үед,39
сарын,39
чигн,38
мөчн,38
европ,38
лу,38
гэж,38
ставрополин,38
маш,37
хамгин,37
он,37
девшн,37
бичигт,37
эвд,37
саратова,37
улан,36
талдан,36
зул,36
бурхн,36
шигбә,36
арлин,36
элст,35
