word,count
kunye,3165
okanye,1564
kwaye,1550
ukuba,1515
the,1460
ngo,1452
ke,1275
kwi,1162
afrika,1146
of,1111
xa,1108
le,930
abantu,879
ii,777
ye,759
ngokuba,749
ne,737
and,731
yi,720
emva,670
kodwa,664
apho,642
kakhulu,631
ka,616
kuba,588
in,575
we,527
nto,471
okokuba,468
ukuze,463
emzantsi,443
into,439
phakathi,438
na,436
ngenxa,423
nje,422
ukuya,401
eli,398
ezi,396
to,389
lo,387
oku,353
yakhe,343
izinto,341
de,340
umntu,337
nge,331
ezinye,322
igama,319
wakhe,318
umzekelo,314
ezininzi,294
ngayo,294
enye,288
kuphela,285
bakhe,280
kwe,278
nangona,275
is,272
ze,270
idolophu,268
no,267
khona,264
ngomhla,263
indawo,263
kukho,257
elithi,256
oko,249
zonke,246
ngaphandle,245
inani,240
phantsi,240
kokuba,237
ngoko,237
apha,236
ngexesha,235
kuthiwa,234
ukusuka,224
kuyo,214
ngoku,212
esi,209
ngu,207
ezimbini,206
lakhe,206
indlela,206
iqela,205
loo,204
amanani,204
for,201
waba,198
koko,193
yokuqala,192
ndawo,192
kunjalo,190
yonke,188
njengoko,187
ukususela,186
ngonyaka,184
kwakhe,182
sele,182
ixesha,181
ezifana,181
ngowe,179
zii,176
number,174
malunga,173
as,172
yindawo,172
south,171
wama,170
from,169
ulwimi,168
wathi,168
ibe,168
yehlabathi,166
yayo,165
lwe,165
enkulu,165
kuzo,164
omnye,164
emhlabeni,164
yase,163
yaba,162
ngabantu,161
yena,159
koloni,158
abaninzi,158
kuye,157
njalo,157
phambi,155
abanye,153
umsebenzi,152
kule,151
njenge,151
brazil,151
be,150
kufuneka,149
abantwana,148
imbali,147
uninzi,147
waza,146
ku,145
kulo,144
on,144
john,144
kanti,144
athi,142
zakhe,140
iilwimi,137
ukusukela,136
amaxesha,136
are,136
ngamanye,135
nezinye,135
amanzi,135
was,135
xesha,135
amabini,134
jikelele,134
amazwe,134
united,133
wokuqala,133
african,132
olu,130
onke,130
kanye,130
by,128
se,127
kwindawo,127
lokuqala,126
eyona,126
ikomkhulu,126
it,126
umhlaba,125
kwihlabathi,125
lonke,125
wonke,125
iintlobo,125
africa,125
abe,124
with,124
uye,124
abo,123
ezingama,122
nee,122
kwiphondo,121
kweli,121
yinto,121
kwiminyaka,120
amaninzi,120
isixeko,120
he,119
elinye,118
lilizwe,117
ethi,116
zabo,116
kakuhle,115
kwakhona,115
akukho,115
ngakumbi,114
yaye,114
ilizwe,113
iimpawu,113
ubomi,112
leyo,112
ukutya,112
system,112
mpumalanga,111
bonke,110
ezahlukeneyo,110
or,110
hlobo,109
ekapa,109
kwiindawo,108
ekhatywayo,108
ngendlela,107
imithombo,107
pećanac,107
ngalo,106
you,106
nokuba,106
waye,105
lizwe,105
bathi,105
la,105
ukwenza,104
imisebenzi,103
ubukhulu,103
ize,103
his,103
ngokuthi,102
ekuthiwa,102
amanye,102
ndlela,101
mpuma,101
iindawo,100
ekuqaleni,100
numbers,100
amagama,99
wase,99
omkhulu,98
kwayo,98
kwezinye,98
cape,98
yabo,97
ngamazwe,97
states,97
ngesingesi,97
izilwanyana,97
sixeko,97
esithi,96
amandla,96
that,96
ebizwa,96
ngelixa,95
yokuba,95
kaloku,95
uhlobo,95
empuma,94
umntwana,94
lwakhe,92
naye,92
layo,92
world,92
bantu,92
yona,92
inkqubo,91
jordan,91
iindlela,91
kumazwe,90
kamva,90
carbon,90
ingaba,90
gama,90
william,90
basemzantsi,89
uthe,89
baye,89
emantla,89
ezintathu,88
kwabantu,88
kuquka,88
namhlanje,88
laa,88
igazi,88
kuwo,87
ngaphezu,87
umbutho,86
ngomnyaka,86
name,86
yidolophu,86
isifo,86
iminyaka,85
aze,85
urhulumente,85
an,85
kube,85
indebe,85
italiya,85
national,84
sakhe,84
inkululeko,84
phezu,83
phambili,83
wazalwa,83
ekubeni,83
ntshona,83
umthetho,83
aba,82
ukuthi,82
ngaphakathi,82
isingesi,81
endaweni,81
ezimanyeneyo,81
kwakunye,80
imfazwe,80
base,80
kwezi,79
engama,79
nayo,79
kuthetha,79
kwii,79
ulwazi,79
zombini,79
waya,78
ibizwa,78
icala,78
amalungu,78
university,78
kwabo,78
kingdom,77
iye,77
emazantsi,77
okokuqala,76
yesibini,76
mntu,76
amaqela,75
zinto,75
ngazo,75
uthi,75
inxaxheba,75
waqala,74
yoo,74
mandela,74
eyi,74
ngokuchasene,74
ngokupheleleyo,73
emelika,73
sithi,73
at,73
jabavu,72
yabantu,72
becala,72
ngokukhawuleza,72
which,72
ithi,72
zayo,71
nabo,71
eyaziwa,71
kude,71
ngokubanzi,71
other,71
kuloo,71
melika,71
lowo,71
amaphepha,71
negative,71
kwazo,70
ngeminyaka,70
nama,70
yee,70
zona,70
one,70
ngelo,70
ehlabathini,70
cup,70
kwexesha,69
intombi,69
ingakumbi,69
bayo,69
siseko,68
emininzi,68
abangama,68
yenza,68
umoya,68
mthetho,68
ngeli,68
th,68
ngokusemthethweni,68
people,67
kweminyaka,67
wayo,67
amadoda,67
james,67
nganye,67
kuthi,67
