word,count
დო,45807
რე,26250
რესურსეფი,10328
ინტერნეტის,10252
წანას,9440
წანაშ,9028
რდჷ,6605
კმ,5778
ნამუთ,5472
ნოღა,5431
თაშნეშე,5400
თე,4962
დუნაბადი,4594
წყარმალუ,4147
ართ,3776
ნაღურა,3454
მოსოფელიშ,3320
ობჟათე,3235
ართი,3190
უკული,3183
ოორუე,3138
სქოლიო,3103
ამერიკალი,3103
მუჭოთ,3033
ხოლო,2980
ნოღეფი,2943
ქოძირით,2923
ლიტერატურა,2865
ააშ,2786
ერუანული,2764
საქორთუოშ,2704
გეშა,2656
შხვა,2651
წანა,2601
და,2581
დიდი,2549
წანეფს,2542
ფართობი,2538
თინა,2515
იდვალუაფუ,2485
მაართა,2450
მახორობა,2412
ახალი,2373
ადმინისტრაციული,2230
შქას,2213
ცენტრი,2205
ერკებული,2159
იშ,2135
თიში,2096
ჯვ,2078
მოლინეფი,2077
წყარმალუეფი,2070
ოფიციალური,2058
წანაშე,2043
ნობელიშ,1982
მეჯინათ,1941
თიშ,1931
ზუღაშ,1907
მუში,1886
არძაშე,1867
ართო,1847
პრემიაშ,1815
ბორჯის,1810
მარა,1795
ნანანოღა,1762
წანეფიშ,1748
ჩინებული,1744
შხვადოშხვა,1714
ოშწანურაშ,1707
ქიანაშ,1674
სახენწჷფო,1659
თარი,1659
ნამუქჷთ,1579
მუნაჩემეფით,1564
რუსეთიშ,1557
მახორობაშ,1514
სოდეთ,1491
მონძალაშ,1476
არტისტი,1469
ღურთუთა,1464
ნამუსჷთ,1431
ინდოეთიშ,1424
ნინა,1403
მელახი,1393
მაჟირა,1383
უნივერსიტეტის,1381
მანგი,1374
ფურთუთა,1369
ინგლ,1368
ქირსეთუთა,1365
ვებ,1340
მესი,1339
ვარდა,1332
პირელი,1323
მარაშინათუთა,1299
ისტორია,1296
კვირკვე,1291
ამერიკაშ,1283
ეკენია,1280
ნამუშ,1276
უკულ,1272
გერგობათუთა,1271
პროვინცია,1267
ნორთი,1266
თის,1264
ნორთის,1253
მუშ,1252
ადამიერი,1252
ლაურეატეფი,1249
გჷმათუთა,1248
ჯოხო,1238
ნოღაშ,1237
დღა,1204
ომაფე,1202
ეჭარუაშახ,1200
უმოსი,1196
ნამდა,1172
ტერიტორიას,1171
რესპუბლიკაშ,1171
პრემია,1171
იჸუ,1167
მაკათური,1160
საქორთუოს,1153
ოფუტე,1136
თიქ,1136
ქორთუ,1132
ხასჷლა,1127
ადამიერს,1127
არტისტეფი,1103
კათა,1088
ხვალე,1087
კოკი,1053
უმოსო,1052
ის,1050
დღას,1048
ბჟადალ,1043
ინგლისარი,1036
დოხოლაფირო,1035
უდიდაში,1031
დონეშე,1027
შე,1026
ევროპაშ,1007
დიჭყჷ,1002
დე,998
თეშ,996
ბჟაეიოლ,974
უღუ,973
ეჭარუაშ,972
გურაფულენდჷ,972
ბჟადალშე,957
ჟირი,955
ჯვეში,951
ფილმეფი,951
პროვინციეფი,947
თი,945
აფრიკაშ,943
ენციკლოპედია,940
დარგის,937
ვა,930
წყარმალუეფიშ,928
პროვინციაშ,927
მუშენდჷ,914
თინეფიშ,913
ნამჷ,910
აკმადგინანს,902
რესპუბლიკა,898
პრეზიდენტი,897
ნინეფი,894
ოხორანს,888
თაქ,888
ნიუ,884
ბჟაეიოლშე,882
კვ,863
უნივერსიტეტიშ,862
ქორთული,860
შილებე,857
აბანი,848
ოლქიშ,847
ლჷმაშ,845
მა,845
კოჩი,841
პროვინციას,840
მუნიციპალიტეტი,830
საფრანგეთიშ,825
ოლქი,820
მუნიციპალიტეტიშ,805
პარკი,801
ოურდუმე,797
ტობა,794
ედომუშამი,792
პოლიტიკური,789
შანულამი,780
სხუნუეფიშ,778
ოფუტეეფი,776
პერიოდის,776
აკანიშ,770
ბიოგრაფია,768
ვარ,766
ოორუეშე,765
ნამუეფით,762
ვითოში,762
ობიექტეფი,759
კოკეფი,756
მუნიციპალიტეტის,754
იდვალუაფჷ,748
ღანჩოშ,747
ობჟათეშე,739
ფრანგი,737
შტატიშ,735
ისტორიული,729
მუდანობა,729
არგენტინაშ,725
გეოგრაფია,724
დირსხუ,724
მიარე,723
დებადჷ,721
იკათუანს,713
ჭიჭე,711
რეგიონიშ,710
გერმანიაშ,704
ირთუ,702
საუჯგუშო,701
მიპალუ,701
წჷმარინუანს,699
არძა,697
ფილმის,690
გრიგორიანული,686
იუნესკოშ,685
ცენტრალური,681
საიტი,680
ოშქაშე,677
წყარპიჯის,676
აკმადგინანდჷ,675
ნოღას,670
ზუღა,667
ლაურეატი,667
გერმანალი,659
