word,count
àw,56551
ní,54454
ni,51952
ti,38439
tí,34163
ìdì,28732
ást,28696
itokasi,26506
ibi,16763
àti,15707
tì,15324
kékeré,15062
ìgbàjá,14760
plán,14721
the,14411
aw,14410
ati,13265
dún,13141
je,11742
of,11411
kan,11374
sí,11330
to,10729
fún,9393
bí,9179
èdè,9105
si,8837
náà,8801
tó,8260
ilé,8047
láti,7957
nínú,7603
sì,7516
gb,7429
nàìjíríà,7079
ile,6566
il,6506
fun,6477
ba,6442
fi,6044
gba,6021
lati,5986
and,5959
awon,5884
bi,5860
oríl,5819
ìlú,5773
ede,5766
in,5597
ará,5250
ninu,5125
eré,4966
wa,4942
di,4932
dun,4912
wà,4653
ara,4632
ìpínl,4611
pé,4282
ìt,4282
orile,4147
ènìyàn,4011
ipinle,4008
yìí,3954
kí,3791
tún,3602
ìj,3565
lu,3480
kasí,3399
lú,3340
bá,3334
won,3281
kò,3281
ta,3280
pe,3234
am,3209
ohun,3200
ìwé,3194
ìbí,3065
ak,3055
naa,3025
orin,2987
rd,2979
se,2865
máa,2858
naijiria,2856
rí,2824
lo,2817
ilu,2810
gbogbo,2809
èyí,2793
rin,2777
nígbà,2685
ríkà,2633
le,2571
tele,2526
àk,2512
tàbí,2483
is,2471
nigeria,2469
de,2423
yìn,2391
nobel,2385
wá,2380
omo,2354
ko,2350
lé,2345
it,2253
re,2250
lórí,2239
dá,2231
lè,2204
gbé,2193
bùn,2193
orí,2178
ere,2138
ètò,2127
for,2123
òun,2017
university,1965
ayé,1952
lára,1938
nípa,1920
ló,1908
ma,1905
àwon,1890
ìgbà,1874
lori,1872
agbegbe,1852
bíi,1843
ka,1841
ojú,1824
yorùbá,1800
odun,1796
ogun,1788
èkó,1788
he,1773
yí,1718
score,1706
mo,1705
kó,1678
iwe,1668
mú,1657
omi,1656
àrùn,1654
tun,1651
eko,1643
na,1625
aare,1600
orúk,1599
nà,1589
ààr,1585
as,1580
agbègbè,1578
agba,1571
ìtàn,1555
ju,1531
on,1529
àmì,1525
with,1523
àj,1517
ipa,1512
èlú,1503
jáde,1499
síl,1492
èré,1483
wón,1478
tabi,1467
dé,1465
ki,1453
at,1438
an,1401
un,1396
ijoba,1389
obìnrin,1385
ìm,1373
pè,1359
da,1353
amerika,1348
was,1327
àgbà,1306
mi,1304
gbà,1263
mu,1256
fíìmù,1253
pa,1251
ri,1250
owo,1244
kópa,1243
africa,1240
km,1234
ay,1232
méjì,1220
by,1219
jùl,1211
níbi,1194
nipas,1189
ún,1178
lagos,1166
eto,1164
from,1157
fm,1145
akoko,1145
yóò,1123
eniyan,1123
wé,1122
nigerian,1113
iso,1112
inú,1106
fà,1100
alakoso,1098
sìn,1097
lù,1096
million,1094
rè,1087
state,1087
wípé,1080
igba,1077
yà,1072
iye,1066
kejì,1062
wo,1060
so,1053
new,1052
jé,1046
ìw,1038
ebun,1034
ìbíl,1033
oloselu,1031
òfin,1015
ibile,1007
padà,1002
fa,998
yi,998
lá,994
nu,988
kasi,982
school,980
ùgb,978
la,961
oril,960
be,955
alààyè,955
ij,950
oju,941
eyi,936
ìròyìn,935
mìíràn,934
af,927
ab,925
áfríkà,912
international,911
ipò,910
ja,909
run,909
nítorí,904
ojoibi,903
olórin,900
if,892
oòrùn,892
pelu,891
ojo,889
osu,889
meji,885
african,885
may,880
ìb,877
jù,869
gíga,857
gbajúm,856
ipo,853
owó,849
jul,845
national,843
apá,839
nínu,839
bàbá,838
pàtàkì,837
ipinl,836
má,827
obinrin,826
egbe,824
united,823
gbe,822
àdúgbò,821
ise,821
pataki,821
nipa,820
american,819
women,799
gómìnà,795
kà,790
ìdíje,786
south,785
oní,772
oba,768
gbá,759
ra,757
títí,754
án,754
aye,754
jà,753
osere,751
college,748
olùk,747
giga,746
ran,741
team,739
th,737
tuntun,733
idije,726
people,724
kàn,720
àgbáyé,718
oló,718
his,715
yin,713
baba,710
dára,709
yàn,708
aláìsí,708
ori,707
wáyé,707
world,704
kú,702
hin,702
olú,700
oruko,700
al,697
keje,697
mí,693
òkè,689
sinimá,688
agbaye,687
apa,681
ìyá,680
that,678
ày,674
january,674
nù,671
india,668
láb,667
oko,665
nigba,665
wò,664
ya,656
dí,655
august,654
òwò,651
first,647
maa,643
ib,642
are,642
yoruba,639
ami,632
yan,631
april,631
ìdí,630
itan,629
award,626
ik,624
september,624
awards,623
olórí,622
film,622
june,622
