word,count
dwg,3520
aen,2788
youq,1772
gij,1687
caeuq,1648
de,1191
ndeu,1169
dangj,1154
miz,1032
cungj,940
nienz,901
bi,844
the,790
yinzminz,781
mbouj,774
nyied,732
dai,671
aeu,647
guh,614
boux,598
cib,593
saehgienh,584
doekfag,583
ngoenzciet,579
ndaw,576
neix,575
baihrog,575
cunghvaz,561
roxnaeuz,543
gunghozgoz,528
of,497
bae,495
in,480
wnq,473
doeg,470
bingh,458
lij,454
vunz,453
ndaej,436
and,421
beij,408
sawgun,405
guekgya,392
bak,379
heuh,364
swhyienzsoq,361
daengz,359
lienzcanh,348
raeuz,335
vwnzyen,328
it,327
ywcuengh,325
daih,320
daj,320
bouxcuengh,316
cunghgoz,316
fap,305
vahgun,301
haenx,296
der,294
si,293
le,292
doiqciuq,291
cwngci,291
binghlah,284
to,274
cujciz,274
diuz,273
hung,273
sam,271
couh,259
gamduk,249
gou,248
seiq,245
doenghgo,244
doenghduz,241
lizsij,239
hauh,234
lingjdauj,234
cunghyangh,230
ganbu,230
hawj,228
biengz,227
ngeih,226
cungguek,224
gvangjsih,221
codaeuz,220
doiq,219
gak,218
lai,217
die,216
haj,208
daengx,206
yungh,205
vah,200
daeuj,196
deng,195
ligmoq,192
he,191
moq,191
singhgiz,189
nyaeq,188
yiengh,185
sawndip,183
soujduh,182
youz,178
lienhciep,176
baenz,175
dawz,171
ndei,167
hix,160
lo,158
swngj,156
ok,155
vwndiz,155
und,155
swnghhoz,153
wngdang,153
bingznienz,150
cwngfuj,149
gwnz,149
caet,148
gancei,144
gangj,143
ngoenz,141
laeuj,140
dieg,139
doengh,138
gouj,137
iv,137
genhciz,137
ciuq,137
daengj,136
dangjyenz,136
was,135
gijliz,134
cidu,133
youqgaenj,132
dih,130
loeg,129
itdingh,126
his,125
bat,124
hong,123
hawsingz,122
baihnaj,122
saw,121
sevei,121
gvaq,118
baihlaeng,118
gag,117
gyagiengz,117
diuzlaeh,117
cwzyin,117
seizneix,116
for,116
gvidingh,116
veiswngh,116
song,115
guenj,114
on,113
gwn,112
naeuz,112
mit,112
gungcanjdangj,111
ranz,111
feihcouh,111
ceiq,110
fanh,108
goengleix,108
haeuj,108
cienzmienh,108
ouhcouh,107
mwh,107
cieng,107
des,105
guek,104
baez,104
yacouh,102
bingzfueng,102
daegbied,102
youh,101
rox,100
vuengzdaeq,100
gihgou,100
fuengzre,100
meh,99
cizlieng,99
sij,98
byauhcunj,98
gijgvangj,97
minzcuz,96
minzcuj,96
cingzgvang,95
caz,95
vih,93
swhsiengj,93
haeujvunz,92
hingzcwng,92
swcigin,92
vwnzva,91
ndwen,91
an,90
cix,90
by,89
ceih,89
hwnj,87
di,86
im,86
panzer,86
gaemhanh,85
as,84
meijgoz,83
gaep,83
swcigih,82
daizvanh,82
yen,82
dem,82
ywbingh,82
with,81
von,81
liu,81
id,80
yenzgiu,80
seiqgyaiq,80
raen,80
yw,80
bumwnz,80
cujyau,79
mizgven,79
veijyenzvei,78
mak,78
gvangjdungh,77
gunghcoz,77
ndaem,77
gaenq,76
war,75
that,74
yaek,74
yigen,74
baihnamz,73
doxgaiq,72
bietdingh,72
gig,71
duz,71
caemhcaiq,71
fuengmienh,71
hengzguh,71
caephengz,71
giz,70
ndang,69
doxgven,68
non,68
dah,68
gensez,68
daibyauj,68
lawz,68
gvi,67
laj,67
is,67
hoeng,67
yawj,67
cujyi,67
vwnzyoz,66
guenjleix,66
mwngz,66
ngoenzduzliz,66
cienzhoih,65
dingz,64
saek,63
gaiq,63
at,63
den,63
fuengz,63
cung,62
daezok,62
haijnanz,62
div,61
roek,61
raemx,61
fucwz,61
daigoz,61
lijlun,61
faex,60
haujlai,60
gyausou,60
daihhag,60
byaek,60
from,60
gietdingh,60
gvendaengz,60
ne,60
cawqleix,60
bya,59
sim,59
coengzyiemz,59
daegsaek,58
cwngcigiz,58
cin,57
gohyoz,57
saedhengz,57
nyinh,57
gi,57
danhvei,57
gu,56
cij,56
gvanh,56
gyauyuz,55
gihgvanh,55
seizgan,55
das,55
china,54
vangz,54
laeb,54
geij,54
lwed,54
gyoengq,54
gaepgwnz,54
gibseiz,54
mizyungh,54
lumj,53
ginzcung,53
seveicujyi,53
eine,53
genjcaz,53
cunjcwz,53
gveihfan,53
hungmbwk,52
heuhguh,52
fatseng,52
aenvih,52
hungnaek,52
caengz,52
gingniemh,52
baenzbingh,52
family,51
seizdaih,51
cietheiq,51
gozvuyen,50
chinese,50
byaij,50
duzroeg,50
baugau,50
zu,50
cungjgez,50
dangjveij,50
ndawde,49
liux,49
sang,49
yienhgaep,49
yinghgoz,49
gijgwn,49
caiq,49
gauhgiz,49
auf,49
bouhmonz,49
doicaenh,49
yienh,48
mingz,48
dayoz,48
gauj,48
nyinhnaeuz,48
seiz,48
seng,48
canghfwen,48
ceij,48
grasslands,48
daxboh,48
henhoh,48
bauq,48
cizcwz,48
fazcanj,47
vayoz,47
yiednamz,47
which,47
uzbek,47
cam,47
cinj,47
laeng,46
yiengq,46
vuengz,46
bihbingz,46
gihbwnj,46
gienz,46
meijcouh,46
hu,46
als,46
cibbet,46
ciuqfap,46
veizgiek,45
doenggvaq,45
ginghci,45
gonq,45
da,45
gyoengqde,45
sich,45
times,45
hag,44
doengjit,44
gaijgwz,44
are,44
danghnaeuz,44
sou,44
ceiqdingh,44
iugouz,44
saeh,43
hingzveiz,43
doxhwnj,43
style,42
caemh,42
baih,42
roengz,42
haij,42
bienq,42
cingsaenz,42
guhbaenz,42
va,42
cizbing,42
yizcingz,42
yiemzgek,42
goyinz,42
background,41
gungh,41
caiqlij,41
gamj,41
be,41
fazgoz,41
iq,41
dox,41
georgia,41
not,41
ma,41
ein,41
hingzseiq,41
vertical,40
align,40
top,40
lumjbaenz,40
bonj,40
font,40
siengj,40
linux,40
giengiet,40
doengz,39
saehnieb,39
nobel,39
deihfueng,39
swnghvuz,39
roen,39
ffffff,39
padding,39
em,39
libertine,39
serif,39
mainpagebox,39
mf,39
fa,39
laebbaenz,38
cienz,38
hangh,38
dwk,37
also,37
daihhoih,37
dang,37
baenzlawz,37
gijmaz,37
einer,37
gezyi,37
dungzci,37
dangjcangh,37
bei,36
faen,36
yenzcwz,36
fatyienh,36
lienzciep,36
baenaj,36
buekguh,36
bouhfaenh,35
baekging,35
engq,35
dauq,35
hongdawz,35
mbanj,35
yindu,35
lingz,35
ndok,35
ra,35
vunzlai,35
haeuxgwn,35
famh,35
gaijgez,35
banhfap,35
yiemzsuk,35
fuzsuih,34
sawgej,34
you,34
has,34
saenq,34
ik,34
bonjfaenh,34
university,34
doxdaeuj,34
gaengawq,34
ywhag,34
mbaw,34
aus,34
zum,34
were,34
aizcwng,34
yinvu,34
lohsienq,34
gienzlig,34
vahcuengh,33
sawjyungh,33
gawq,33
soujfuj,33
minzgoz,33
laebhwnj,33
duzbya,33
siz,33
rongh,33
ciengj,33
gienzleih,33
moix,33
lwg,33
daengngoenz,33
wurde,33
giendingh,33
gozging,33
gapbaenz,33
baujcang,33
bouxgun,32
new,32
daihyangzcouh,32
bet,32
hoih,32
cingq,32
gaeuq,32
maenz,32
people,32
hai,32
ginbingz,32
daihngeih,32
prize,32
human,32
bouxvunz,32
swhgeij,32
banhlah,32
daiq,31
gwzming,31
gaxgonq,31
go,31
mbwnnamh,31
hanzgoz,31
or,31
caenh,31
diemj,31
geiq,31
giuznamh,31
yienghneix,31
cungdenj,31
panzerkampfwagen,31
werden,31
bis,31
ngoenzsinghgiz,31
ciuhai,31
ca,31
saedsaeh,31
baijbouh,31
nduknaeuh,31
yawhfuengz,31
gizyawz,30
angq,30
doeng,30
saenqsik,30
www,30
yingjyangj,30
cancwngh,30
yanghgangj,30
coh,30
cien,30
nanz,30
diucaz,30
cm,30
einem,30
wurden,30
rights,30
ciengzseiz,30
ninz,30
cwngzciu,30
haeujlaeg,30
cauhmoq,30
gagrox,30
nyinhcaen,30
baihbaek,29
ginggvaq,29
nem,29
bang,29
fwngz,29
ngaenz,29
but,29
mbangj,29
ak,29
other,29
okdaeuj,29
