word,count
de,42469
in,30740
van,21858
en,13305
is,11302
op,7284
een,7262
frankriek,5216
gemeênte,4460
hemeênt,4000
km,3921
het,3632
vogges,3526
die,3442
mee,3304
an,3202
nae,3003
jaer,2863
was,2733
over,2707
ok,2460
mins,2402
bie,2401
uut,2324
plekke,2297
te,2242
onder,2212
as,2208
hemeênte,2108
ze,2064
ier,2054
dat,1963
of,1951
rehio,1942
stad,1867
wier,1864
per,1863
oppervlak,1844
verdeêld,1827
departement,1815
bevolkienge,1811
lei,1804
aod,1787
bureau,1763
bevolkiengsdichteid,1761
statistiek,1756
coördinaot,1754
mie,1753
informaotie,1753
inweunersantal,1753
bevolkiengshroei,1753
omslit,1752
bedroe,1752
grafiek,1752
insee,1752
vog,1751
geograofische,1728
buten,1725
lienks,1700
aisne,1534
nie,1529
wor,1414
je,1372
nog,1361
provincie,1356
om,1272
land,1242
den,1231
dan,1215
inweuners,1189
zeêland,1185
bin,1168
deu,1114
der,1106
olland,1094
toet,1034
alpes,1025
deur,1016
zuud,1007
zien,1003
tot,995
vee,981
nederland,918
noord,829
weune,823
picardie,822
ain,788
ei,787
saint,775
voe,765
da,759
vlaonderen,756
braebant,751
um,741
nederlands,735
wat,735
dit,733
durp,678
zie,665
allier,653
noe,649
kalender,642
allecijfers,629
plaatsengids,619
dag,616
west,597
provence,582
eêuwe,575
toe,571
meer,561
wè,560
tussen,557
deze,546
er,543
ie,537
mae,531
staeten,528
oôdstad,524
ik,520
eiland,515
zeêuws,511
gregoriaonse,495
gebeurtenisse,492
mensen,478
sur,468
voor,464
nederlandse,461
ao,451
mè,451
kwam,448
gemeênten,444
rhône,439
belse,436
aore,434
vereênigde,431
toen,425
ouwe,422
la,420
voormaelige,417
politicus,415
voo,409
oôst,401
the,400
leit,399
daotum,399
et,394
al,393
eit,392
beveland,390
staet,389
paus,389
met,388
haute,388
vò,387
sins,384
twidde,384
ii,382
zo,381
jan,376
taelen,376
naem,372
nieuwe,372
konieng,371
eige,370
kan,370
oktober,370
juli,368
le,364
eên,357
meie,357
ni,354
ter,352
me,351
waeter,348
limburg,344
leven,343
auvergne,341
wiere,340
drie,339
friesland,337
mit,337
externe,337
bekend,334
geschiedenisse,328
binne,328
europa,328
tied,327
aan,326
september,326
vlaanderen,323
gin,322
komme,322
heslacht,315
kerke,314
antwerpen,311
enegouwe,311
jannewari,308
november,307
worre,307
taele,306
december,302
maerte,300
zen,300
belgië,300
weer,293
komt,292
auhustus,292
april,291
onger,289
afrika,288
schrikkeljaer,287
orde,286
ten,285
nieuw,284
juni,284
graef,282
gelderland,282
feberwari,281
vlaoms,279
middelburg,278
door,278
waere,277
lieste,274
frans,273
ut,273
rond,270
luuk,268
groôte,267
tegen,265
deêl,264
duutsland,263
toch,262
uvcw,262
vlissienge,259
utrecht,259
zeêuwse,257
zou,257
worn,257
god,254
kleine,253
zeê,252
ulder,251
mar,246
laeter,245
president,243
niet,240
kabinet,239
deel,237
za,237
groôste,236
uus,236
jaeren,235
ons,235
femielje,232
schouwen,230
zijn,229
vo,228
website,228
sint,226
politiek,225
zei,225
eêste,225
ook,225
dus,224
als,224
wordt,224
meter,221
bekende,221
wel,218
kon,218
luxemburg,217
terneuzen,215
eid,212
kom,210
iii,209
goed,209
les,209
duutse,208
wee,207
belhische,207
côte,205
azur,205
net,204
oor,204
èn,204
noôrd,202
eerste,200
riek,199
goes,199
aolle,198
amsterdam,198
parlement,196
leste,195
vier,195
veere,194
grifformeerde,194
antal,193
daer,190
tweê,189
eigen,188
man,187
uit,187
naer,186
lig,186
soms,184
eihen,183
lan,182
julder,181
zich,180
duveland,179
wan,179
ore,178
mi,178
soôrten,178
gebied,177
naemen,175
gebore,175
twi,174
plekken,173
klein,172
dialect,172
groôt,171
we,171
weg,171
un,170
liet,169
konienkriek,168
com,168
aol,167
werd,167
walchren,166
di,165
kreeg,164
pas,164
oud,164
willem,164
partij,163
premier,163
enoemd,161
slag,160
hebied,160
keizer,160
waels,160
want,159
lid,159
naar,157
rotterdam,156
miljoen,156
azië,156
oôrlog,155
omdat,155
achter,155
isbn,154
ollans,153
waereld,152
iv,152
zeune,151
amerika,151
sluus,150
zanger,150
maar,150
besti,150
boven,149
maer,149
franse,149
vanof,148
most,147
hroôte,147
israël,147
kaemer,146
goereê,146
rusland,145
poôl,145
wa,144
stik,144
midden,144
wil,142
unie,142
waols,142
durpen,141
eêuw,141
niks,141
bij,141
stoôt,141
dien,140
twee,140
eilan,140
overiessel,140
verwieziengen,140
wast,139
oorlog,137
cda,137
hroste,137
nde,137
vereênigd,136
polder,135
zelf,135
na,135
gebeurtenissen,135
aoltied,134
overflakkeê,134
toren,134
ende,134
vrouwe,134
meêr,133
zò,132
drenthe,132
tole,131
vanaf,131
kunne,131
hij,131
kaemerlid,131
zelfs,130
veugels,130
negentiende,129
oe,129
gregoriaanse,129
zoô,128
oppervlakte,128
ist,128
ebouwd,128
hendrik,128
oek,126
lange,126
are,126
vanuut,125
floris,124
minister,124
verschill,124
gesturve,124
vroeger,123
stit,123
weze,123
januari,123
veugel,123
wullem,123
fort,122
bossele,122
echter,122
provincies,121
gae,121
men,120
mekaore,120
binnen,120
langs,119
vadder,119
int,119
eihe,119
gemeêntehuus,119
eêl,118
gieng,118
komm,118
iengeland,118
officiële,118
doôd,117
saemen,117
geografie,116
at,116
ienkele,116
tehen,116
andere,115
schriever,115
binn,115
vergroôt,115
paer,114
reimerswaol,114
zoas,114
new,114
and,114
volk,114
genoemd,113
lag,113
gebouwd,113
dam,113
britse,112
zô,112
hun,112
vrie,111
doe,111
kant,111
von,111
bleef,110
iengels,110
twintegste,110
vaoder,110
ligt,109
vroeher,109
britannica,109
af,108
be,108
dialecten,108
maeken,108
ollands,108
nl,108
belangriekste,107
bitje,106
rivier,106
hin,106
ontstô,106
belangrieke,105
vvd,105
gebruuk,105
fries,105
hier,105
meule,105
dikkels,104
minder,104
alle,104
diek,104
meêste,104
zonder,104
greunienge,104
heit,104
verwiezieng,104
dae,103
buuten,103
gemeênteraed,103
zat,103
zwarte,103
nao,103
vin,103
had,103
ouwdurp,103
rieksmonument,103
lienk,102
eetn,102
vuuf,101
veel,101
john,101
telt,100
jaar,100
wallonië,100
dizze,99
brussels,99
boek,99
kanaol,98
waer,98
band,98
beêsten,98
kwamme,98
vooral,97
macht,97
politieke,97
prins,97
mijn,97
