word,count
sī,124409
tī,123792
chi,90365
chng,89392
nî,82802
kok,74387
jîn,69443
thâu,68510
kháu,62244
siā,49942
chham,48564
séng,48106
tē,47403
kūn,45628
chiu,42036
ūi,41701
khó,39022
kap,38636
lí,38282
chhī,38152
koān,37490
khu,36884
commune,36700
sì,35778
ûi,30937
lâng,30641
hoat,29297
siâ,28807
chū,28330
chiá,25607
liân,25233
bí,25077
he,23654
téng,23492
lân,22853
kong,22544
thé,21695
kiat,20307
ji,20018
chit,19823
sò,19321
kàu,19072
bāng,18760
chām,18688
goe,18447
pho,18401
saint,16588
pún,16340
toā,16335
sî,16061
bûn,16026
hong,14900
de,14869
koa,14699
tāi,14285
sè,14010
ha,13360
chèng,12909
chú,11354
hô,11315
la,10697
le,10568
lō,10544
se,10347
hng,10159
ka,9897
tōa,9740
eng,9288
kun,9186
oa,9128
gí,8923
hiu,8444
hêng,8326
chhut,8216
sin,8185
sur,8107
tiâu,8095
tián,7939
tiong,7932
bu,7475
sū,7455
gâ,7416
ông,7357
tō,7179
chāi,7050
ki,6884
italia,6819
lâm,6693
municipio,6664
só,6659
kòe,6418
czech,6411
kiōng,6229
kiā,6218
lāi,6194
kiû,6069
tek,6015
hông,5984
pak,5823
oân,5499
et,5467
jī,5362
tè,5268
goân,5244
city,5219
bīn,5167
hō,5056
kip,5042
sūi,5038
tâi,5026
su,5021
seng,4869
koan,4491
kî,4326
tan,4317
sòa,4298
pan,4286
loire,4149
sèng,4116
kài,4110
en,4108
kí,4095
chiàu,4026
chóng,4014
keng,3981
tô,3929
thian,3910
kì,3836
be,3832
siong,3791
hōe,3751
tang,3721
koân,3710
comune,3683
pa,3664
chu,3639
haute,3627
hòa,3569
si,3515
phû,3470
sú,3433
bêng,3430
liāu,3408
lâi,3386
chò,3381
bîn,3372
chân,3210
in,3198
thóng,3166
mā,3128
san,3124
les,3121
pō,3097
chong,3052
county,3032
magyar,3002
iû,2991
ìn,2977
tong,2960
faso,2949
burkina,2948
tio,2942
chióng,2925
tiān,2914
thài,2900
bô,2900
iá,2884
chè,2856
pang,2856
türkiye,2829
pyrénées,2772
ko,2728
sek,2725
município,2724
lô,2684
siāu,2582
im,2580
cha,2580
kùi,2562
kho,2554
hú,2538
kiàn,2521
au,2519
chok,2512
hui,2486
chōe,2461
alpes,2460
cdp,2443
ián,2420
miâ,2416
léng,2392
new,2374
hàn,2338
town,2320
to,2295
chêng,2255
pêng,2253
siōng,2199
iàu,2198
khí,2195
it,2192
gmina,2191
texas,2117
lès,2100
má,2074
sêng,2073
khì,2053
piàn,2053
li,2045
pennsylvania,2041
koh,2031
kó,2003
lo,1980
tōng,1966
kóng,1966
ga,1945
tìn,1926
gōa,1925
cho,1896
gī,1893
ui,1881
marne,1871
chhiú,1868
hái,1863
tùi,1819
rhône,1818
macedonia,1794
āu,1768
pau,1764
pas,1744
kha,1738
ohio,1723
calais,1720
hun,1717
ti,1707
val,1698
village,1690
the,1686
di,1680
seine,1673
sio,1657
nô,1652
kan,1648
nad,1646
du,1646
pāi,1634
lī,1623
lóng,1621
normandie,1610
lêng,1609
tiōng,1607
carolina,1602
illinois,1602
kù,1592
gē,1553
gia,1550
bavaria,1541
soán,1526
midi,1522
kīn,1518
slovakia,1515
castilla,1511
freguesia,1506
iōng,1497
chiàn,1490
venezia,1481
nord,1480
sainte,1480
romania,1469
hāng,1453
hâm,1448
hiān,1444
california,1439
chheng,1431
kah,1428
comună,1402
siú,1402
kang,1401
phó,1401
hit,1397
moselle,1392
north,1390
do,1378
sán,1363
kau,1361
lia,1356
chek,1353
sr,1352
tó,1348
del,1345
lu,1336
brabant,1331
obec,1328
sió,1313
tēng,1310
choân,1288
község,1282
chō,1268
côte,1261
missouri,1246
liû,1245
kim,1236
minnesota,1236
ōe,1229
oá,1228
saône,1224
chin,1222
algeria,1221
iowa,1221
khai,1216
sai,1215
lê,1214
chí,1212
maritime,1210
garonne,1200
io,1188
león,1184
ia,1178
cheng,1175
martin,1174
aquitaine,1174
bó,1173
sogn,1170
sí,1160
picardie,1160
gú,1152
lorraine,1152
pí,1150
eure,1145
phín,1144
soat,1141
york,1133
champagne,1131
ta,1130
ūn,1123
kò,1120
phi,1120
jīm,1115
kái,1108
