word,count
imithombo,8332
se,7269
futhi,7223
kanye,4925
noma,4654
afrika,4202
ngo,3905
zase,3770
ukuthi,3468
ase,3249
amadolobha,3242
kwesifundazwe,3210
izifunda,3157
yidolobha,2982
yisifunda,2935
aljeriya,2828
esingaphansi,2480
elikwisifundazwe,2161
lapho,2053
kakhulu,2050
itiyopiya,2010
ama,1995
abantu,1969
we,1736
eningizimu,1686
yi,1602
ne,1592
ku,1590
woreda,1547
of,1466
phakathi,1381
ka,1359
nge,1333
ngokuthi,1267
le,1210
ye,1193
base,1187
the,1119
omasipala,1104
kodwa,1082
khona,1075
ngemuva,1027
el,1010
ngumasipala,1000
ukuba,900
kapa,898
thuniziya,897
ukuze,893
kwe,845
lokhu,842
ngonyaka,820
kanti,819
kusukela,818
yakhe,815
wakhe,803
engaphansi,799
ngesikhathi,795
njengoba,794
no,771
uma,768
kinshasa,738
waseningizimu,727
eziningi,697
ngenxa,678
igama,678
angola,652
kuya,642
izifundazwe,640
khongo,637
owazalwa,627
ngaphandle,613
and,611
abazalwa,606
wonke,597
isikhathi,597
kube,585
ze,583
zonke,581
umsebenzi,568
sase,566
amazwe,559
ngoba,557
ethuniziya,554
african,552
kuphela,537
ezinye,530
south,525
leli,520
khenya,507
ngaphansi,490
indawo,484
waba,483
ngomhlaka,483
umuntu,482
emhlabeni,482
wase,476
ngaphambi,475
amaningi,469
yisifundazwe,460
lesi,457
anc,455
kwakhe,453
kepha,449
ke,440
elithi,432
kusuka,428
sudan,423
in,415
umlando,413
ngenkathi,407
ekhenya,397
yokuqala,395
ikakhulukazi,393
baseningizimu,393
njenge,382
esikwisifundazwe,377
united,373
oromia,371
ekhongo,370
ngu,369
iqembu,367
africa,367
yisigodi,365
kuka,364
sesifundazwe,362
baphilayo,362
lwe,361
university,354
yonke,354
endaweni,354
lakhe,348
wokuqala,347
elincane,347
cishe,347
abanye,342
izinto,339
with,337
ngokuvamile,336
ezifana,333
kwaba,329
omkhulu,328
natal,326
uhlelo,325
engu,322
lase,321
iminyaka,320
ukusetshenziswa,319
yize,318
kamuva,316
kahle,315
ekuqaleni,315
enamibhiya,315
kwi,314
namibhiya,313
enkulu,311
thanzaniya,311
ngaphakathi,310
izinhlobo,309
tv,308
isiqongo,307
natali,306
umasipala,305
lezi,304
izindawo,304
ezimbili,299
nezinye,297
impilo,297
central,295
amabili,294
sakhe,292
iningi,291
national,289
ulimi,288
kufaka,288
manje,287
abaningi,287
school,287
kwazulu,286
nje,286
yuganda,284
isiteshi,281
ethi,280
for,280
brazzaville,280
be,279
imali,278
yase,276
municipality,275
indlela,272
west,271
ezimbabwe,270
abe,269
kuze,268
umandela,268
aïn,268
lo,267
libhiya,266
izigodi,265
eyuganda,263
phansi,262
kwabantu,261
sikhathi,261
angama,261
nokuthi,254
uhlobo,253
kabusha,252
izilimi,251
gibhithe,251
dolobha,250
yabo,249
mpumalanga,247
somaliya,247
elikhulu,246
zakhe,246
ukudla,246
izinkomba,246
ntshonalanga,245
kuma,245
albhamu,243
phambili,242
eminingi,241
kufanele,240
waqala,240
bese,239
kukhona,239
